year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,118,1069,0,0
2020,3,12,128,1250,0,0
2020,3,13,136,1322,0,0
2020,3,14,142,1322,0,0
2020,3,15,148,1322,0,0
2020,3,16,152,1462,0,0
2020,3,17,152,1515,0,0
2020,3,18,154,1587,69,6
2020,3,19,157,1652,69,6
2020,3,20,158,1652,69,6
2020,3,21,159,1652,81,6
2020,3,22,162,1652,83,6
2020,3,23,162,1775,90,6
2020,3,24,163,1794,93,6
2020,3,25,167,1821,98,7
2020,3,26,168,1929,98,7
2020,3,27,169,1976,114,7
2020,3,28,172,1976,121,7
2020,3,29,176,1976,121,7
2020,3,30,177,2076,121,7
2020,3,31,177,2096,124,7
2020,4,1,182,2096,130,7
2020,4,2,185,2218,130,8
2020,4,3,190,2296,130,8
2020,4,4,193,2296,130,8
2020,4,5,194,2296,130,8
2020,4,6,194,2445,141,9
2020,4,7,198,2476,143,9
2020,4,8,208,2488,145,9
2020,4,9,226,2488,145,10
2020,4,10,239,2690,148,11
2020,4,11,255,2836,158,11
2020,4,12,267,2836,158,11
2020,4,13,272,3257,161,11
2020,4,14,279,3297,161,12
2020,4,15,302,3473,161,13
2020,4,16,336,3625,163,14
2020,4,17,370,3735,171,14
2020,4,18,407,3768,171,16
2020,4,19,434,3987,171,18
2020,4,20,451,4245,171,18
2020,4,21,473,4554,171,18
2020,4,22,495,4803,188,22
2020,4,23,540,5112,195,25
2020,4,24,562,5362,196,25
2020,4,25,601,5362,201,25
2020,4,26,615,5362,202,25
2020,4,27,650,6149,202,26
2020,4,28,688,6312,202,26
2020,4,29,726,6312,209,26
2020,4,30,767,6892,209,27
2020,5,1,790,7054,248,29
2020,5,2,823,7054,248,29
2020,5,3,847,7054,248,33
2020,5,4,847,7054,254,36
2020,5,5,891,7054,286,43
2020,5,6,914,7054,286,43
2020,5,7,928,7827,302,45
2020,5,8,928,8013,394,47
2020,5,9,934,8319,424,48
2020,5,10,945,8676,444,51
2020,5,11,954,8945,459,56
2020,5,12,966,9160,472,62
2020,5,13,979,9406,502,68
2020,5,14,983,9690,519,70
2020,5,15,989,9938,528,72
2020,5,16,999,10183,560,73
2020,5,17,1006,10485,589,74
2020,5,18,1014,10770,601,75
2020,5,19,1015,10885,620,76
2020,5,20,1018,11072,642,77
2020,5,21,1019,11435,670,77
2020,5,22,1024,11648,687,78
2020,5,23,1030,11853,711,78
2020,5,24,1039,12072,726,79
2020,5,25,1054,12285,734,81
2020,5,26,1057,12497,736,83
2020,5,27,1066,12686,755,84
2020,5,28,1071,12982,763,85
2020,5,29,1078,13329,770,86
2020,5,30,1081,13628,783,86
2020,5,31,1085,14000,799,86
2020,6,1,1091,14421,810,86
2020,6,2,1096,14593,812,87
2020,6,3,1099,14714,821,87
2020,6,4,1102,14931,831,88
2020,6,5,1105,15221,849,90
2020,6,6,1109,15427,863,90
2020,6,7,1117,15713,869,90
2020,6,8,1121,16024,881,90
2020,6,9,1125,16302,888,91
2020,6,10,1132,16456,906,91
2020,6,11,1137,16633,921,91
2020,6,12,1144,16866,931,91
2020,6,13,1154,17153,943,91
2020,6,14,1163,17390,950,91
2020,6,15,1170,17706,956,91
2020,6,16,1176,17875,959,91
2020,6,17,1178,18021,970,92
2020,6,18,1184,18301,977,92
2020,6,19,1189,18606,988,93
2020,6,20,1192,18834,1001,94
2020,6,21,1195,19059,1006,94
2020,6,22,1197,19203,1010,95
2020,6,23,1199,19327,1011,95
2020,6,24,1200,19481,1020,97
2020,6,25,1210,19687,1028,98
2020,6,26,1216,19905,1032,98
2020,6,27,1221,20182,1044,98
2020,6,28,1222,20326,1048,99
2020,6,29,1239,20523,1054,99
2020,6,30,1250,20719,1054,99
2020,7,1,1263,20920,1061,99
2020,7,2,1267,21190,1072,100
2020,7,3,1275,21408,1077,101
2020,7,4,1275,21674,1080,101
2020,7,5,1276,21946,1088,101
2020,7,6,1277,22118,1093,101
2020,7,7,1277,22261,1098,101
2020,7,8,1278,22347,1106,101
2020,7,9,1282,22533,1120,101
2020,7,10,1283,22763,1126,101
2020,7,11,1289,23073,1126,101
2020,7,12,1290,23261,1130,101
2020,7,13,1294,23417,1132,101
2020,7,14,1296,23539,1132,102
2020,7,15,1304,23694,1136,102
2020,7,16,1317,24041,1139,102
2020,7,17,1323,24496,1141,102
2020,7,18,1326,24768,1149,102
2020,7,19,1339,25042,1156,102
2020,7,20,1348,25289,1158,102
