year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,35,443,0,0
2020,3,12,43,540,0,0
2020,3,13,56,581,0,0
2020,3,14,60,581,0,0
2020,3,15,62,581,0,0
2020,3,16,81,874,0,0
2020,3,17,85,951,0,0
2020,3,18,90,1020,0,3
2020,3,19,91,1108,1,4
2020,3,20,100,1120,1,4
2020,3,21,106,1126,2,4
2020,3,22,110,1127,2,5
2020,3,23,112,1518,2,5
2020,3,24,115,1607,5,5
2020,3,25,116,1855,5,5
2020,3,26,118,2031,5,5
2020,3,27,122,2121,5,5
2020,3,28,125,2142,18,8
2020,3,29,132,2146,18,10
2020,3,30,136,2399,18,10
2020,3,31,147,2462,18,11
2020,4,1,161,2462,18,11
2020,4,2,167,2610,18,11
2020,4,3,172,2791,51,11
2020,4,4,182,2805,52,11
2020,4,5,195,2805,52,11
2020,4,6,201,3054,53,12
2020,4,7,216,3151,53,12
2020,4,8,216,3327,53,12
2020,4,9,273,3496,58,12
2020,4,10,316,3691,59,12
2020,4,11,358,3830,59,13
2020,4,12,375,3830,59,13
2020,4,13,384,4250,59,14
2020,4,14,403,4403,61,15
2020,4,15,423,4640,61,15
2020,4,16,453,4851,63,17
2020,4,17,480,5060,63,17
2020,4,18,502,5070,65,17
2020,4,19,513,5280,65,17
2020,4,20,524,5610,65,17
2020,4,21,546,5714,65,17
2020,4,22,563,5972,65,17
2020,4,23,581,6213,67,17
2020,4,24,605,6463,68,17
2020,4,25,619,6641,72,17
2020,4,26,627,6831,77,17
2020,4,27,629,6922,80,17
2020,4,28,636,7063,80,17
2020,4,29,642,7076,81,17
2020,4,30,645,7481,81,17
2020,5,1,650,7621,83,18
2020,5,2,654,7891,86,18
2020,5,3,667,8052,90,18
2020,5,4,667,8052,90,18
2020,5,5,673,8294,96,18
2020,5,6,676,8358,99,19
2020,5,7,679,8516,100,19
2020,5,8,681,8654,454,32
2020,5,9,688,8850,463,32
2020,5,10,688,9091,486,34
2020,5,11,693,9179,500,34
2020,5,12,694,9289,512,34
2020,5,13,694,9483,521,35
2020,5,14,697,9653,539,37
2020,5,15,698,9800,548,37
2020,5,16,698,9932,559,38
2020,5,17,699,10062,565,38
2020,5,18,700,10127,571,38
2020,5,19,699,10192,581,38
2020,5,20,699,10312,594,38
2020,5,21,699,10438,601,38
2020,5,22,699,10537,605,38
2020,5,23,699,10614,605,40
2020,5,24,699,10688,609,40
2020,5,25,699,10720,613,40
2020,5,26,699,10722,615,40
2020,5,27,699,10855,618,40
2020,5,28,699,10942,622,40
2020,5,29,699,11005,625,41
2020,5,30,699,11067,626,42
2020,5,31,699,11128,626,42
2020,6,1,699,11153,630,42
2020,6,2,699,11206,632,42
2020,6,3,699,11293,636,42
2020,6,4,699,11368,641,42
2020,6,5,699,11432,647,42
2020,6,6,699,11498,652,42
2020,6,7,699,11560,652,42
2020,6,8,699,11588,652,42
2020,6,9,699,11640,652,43
2020,6,10,699,11716,652,43
2020,6,11,699,11771,653,43
2020,6,12,699,11834,653,43
2020,6,13,699,11882,653,43
2020,6,14,699,11932,653,43
2020,6,15,699,11950,653,43
2020,6,16,699,11974,653,43
2020,6,17,699,12023,653,43
2020,6,18,699,13665,653,43
2020,6,19,699,13745,653,43
2020,6,20,700,13886,653,43
2020,6,21,700,13915,653,43
2020,6,22,702,13930,653,43
2020,6,23,702,14018,653,43
2020,6,24,703,14176,653,43
2020,6,25,704,14347,653,43
2020,6,26,704,14483,654,43
2020,6,27,705,14637,654,43
2020,6,28,705,14671,654,43
2020,6,29,705,14695,654,43
2020,6,30,705,14857,652,45
2020,7,1,706,14947,655,45
2020,7,2,708,15056,656,45
2020,7,3,709,15205,656,45
2020,7,4,709,15362,656,45
2020,7,5,710,15461,656,45
2020,7,6,712,15593,656,45
2020,7,7,716,15792,658,45
2020,7,8,717,16089,659,45
2020,7,9,720,16313,660,45
2020,7,10,722,16552,662,45
2020,7,11,726,16730,662,45
2020,7,12,731,16817,662,45
2020,7,13,738,16846,663,45
2020,7,14,739,17192,669,45
2020,7,15,748,17478,673,45
2020,7,16,760,17829,674,45
2020,7,17,777,18310,681,45
2020,7,18,801,18644,690,45
2020,7,19,813,18933,697,45
2020,7,20,834,19089,703,45
