year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,302,0,0
2020,3,12,0,342,0,0
2020,3,13,0,389,0,0
2020,3,14,0,389,0,0
2020,3,15,0,389,0,0
2020,3,16,0,419,0,0
2020,3,17,1,436,0,0
2020,3,18,2,454,0,0
2020,3,19,3,464,0,0
2020,3,20,3,464,0,0
2020,3,21,3,464,0,0
2020,3,22,3,464,0,0
2020,3,23,5,576,0,0
2020,3,24,5,576,0,0
2020,3,25,9,656,0,0
2020,3,26,10,716,0,0
2020,3,27,11,770,0,0
2020,3,28,13,770,0,0
2020,3,29,16,770,0,0
2020,3,30,20,921,0,0
2020,3,31,24,1028,0,0
2020,4,1,24,1028,0,1
2020,4,2,26,1266,0,2
2020,4,3,54,1383,1,2
2020,4,4,59,1383,1,2
2020,4,5,64,1383,1,2
2020,4,6,71,1806,1,2
2020,4,7,77,1927,1,2
2020,4,8,77,1927,4,2
2020,4,9,81,2140,4,2
2020,4,10,82,2221,7,3
2020,4,11,91,2221,8,3
2020,4,12,109,2221,9,3
2020,4,13,110,2501,10,3
2020,4,14,116,2719,10,3
2020,4,15,119,2883,10,5
2020,4,16,123,2883,10,5
2020,4,17,131,3159,11,5
2020,4,18,135,3159,14,5
2020,4,19,139,3159,16,5
2020,4,20,143,3343,16,6
2020,4,21,146,3571,16,6
2020,4,22,151,3687,18,6
2020,4,23,153,3887,21,6
2020,4,24,157,4031,24,6
2020,4,25,158,4031,24,6
2020,4,26,161,4031,24,6
2020,4,27,161,4273,31,6
2020,4,28,162,4473,31,6
2020,4,29,162,4473,33,6
2020,4,30,163,4623,35,7
2020,5,1,165,4835,35,7
2020,5,2,165,4835,38,7
2020,5,3,165,4835,45,7
2020,5,4,165,4835,61,8
2020,5,5,168,4835,69,9
2020,5,6,168,4835,71,9
2020,5,7,168,5281,73,9
2020,5,8,168,3826,78,9
2020,5,9,168,3826,78,9
2020,5,10,168,3826,78,9
2020,5,11,168,3957,92,9
2020,5,12,168,4008,93,9
2020,5,13,168,4060,94,9
2020,5,14,168,4145,98,9
2020,5,15,168,4252,105,9
2020,5,16,168,4202,111,9
2020,5,17,168,4202,130,9
2020,5,18,168,4252,133,9
2020,5,19,168,4346,133,9
2020,5,20,168,4385,137,9
2020,5,21,168,4427,139,9
2020,5,22,168,4469,142,9
2020,5,23,168,4469,145,9
2020,5,24,168,4469,145,9
2020,5,25,168,4534,145,9
2020,5,26,168,4540,145,10
2020,5,27,168,4574,147,10
2020,5,28,168,4601,149,10
2020,5,29,168,4628,151,10
2020,5,30,168,4628,151,10
2020,5,31,168,4628,151,10
2020,6,1,168,4684,152,10
2020,6,2,168,4691,153,10
2020,6,3,168,4721,153,10
2020,6,4,168,4746,155,10
2020,6,5,168,4772,155,10
2020,6,6,168,4772,155,10
2020,6,7,168,4772,155,10
2020,6,8,168,4866,155,10
2020,6,9,168,4872,155,10
2020,6,10,168,4934,155,10
2020,6,11,168,4962,155,10
2020,6,12,168,5005,155,10
2020,6,13,168,5005,155,10
2020,6,14,168,5005,155,10
2020,6,15,168,5050,155,10
2020,6,16,168,5053,155,10
2020,6,17,168,5082,155,10
2020,6,18,168,5107,155,10
2020,6,19,168,5125,155,10
2020,6,20,170,5125,155,10
2020,6,21,170,5125,155,10
2020,6,22,170,5163,155,10
2020,6,23,170,5168,155,10
2020,6,24,170,5192,155,10
2020,6,25,170,5209,155,10
2020,6,26,172,5235,156,10
2020,6,27,172,5235,157,10
2020,6,28,173,5235,157,10
2020,6,29,174,5278,159,10
2020,6,30,174,5283,159,10
2020,7,1,174,5325,159,10
2020,7,2,176,5366,159,10
2020,7,3,182,5417,160,10
2020,7,4,183,5417,160,10
2020,7,5,183,5417,160,10
2020,7,6,186,5531,160,10
2020,7,7,187,5561,163,10
2020,7,8,188,5621,163,10
2020,7,9,189,5685,165,10
2020,7,10,196,5714,167,10
2020,7,11,196,5714,167,10
2020,7,12,199,5714,169,10
2020,7,13,202,5846,171,10
2020,7,14,204,5854,172,10
2020,7,15,209,5930,177,10
2020,7,16,211,6007,181,10
2020,7,17,215,6066,186,10
2020,7,18,220,6066,190,10
2020,7,19,225,6066,193,10
2020,7,20,226,6311,194,10
