year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,7,134,0,0
2020,3,12,7,144,0,0
2020,3,13,7,146,0,0
2020,3,14,7,146,0,0
2020,3,15,7,146,0,0
2020,3,16,7,156,0,0
2020,3,17,7,162,0,0
2020,3,18,7,165,1,0
2020,3,19,7,171,2,0
2020,3,20,8,175,2,0
2020,3,21,8,176,3,0
2020,3,22,8,179,3,0
2020,3,23,8,181,3,0
2020,3,24,8,192,3,0
2020,3,25,8,193,3,0
2020,3,26,8,195,3,0
2020,3,27,8,199,3,0
2020,3,28,9,205,5,0
2020,3,29,9,211,5,0
2020,3,30,11,211,5,0
2020,3,31,13,228,5,0
2020,4,1,15,228,5,0
2020,4,2,16,248,5,0
2020,4,3,24,264,5,0
2020,4,4,32,264,5,0
2020,4,5,43,264,5,0
2020,4,6,45,384,5,0
2020,4,7,51,430,5,0
2020,4,8,66,472,5,0
2020,4,9,72,494,5,0
2020,4,10,92,562,5,0
2020,4,11,104,562,5,0
2020,4,12,113,562,5,0
2020,4,13,121,718,5,0
2020,4,14,131,778,5,1
2020,4,15,140,826,5,4
2020,4,16,146,903,5,4
2020,4,17,160,977,5,4
2020,4,18,173,977,5,4
2020,4,19,178,977,5,4
2020,4,20,180,1115,14,4
2020,4,21,190,1181,14,4
2020,4,22,199,1244,16,5
2020,4,23,216,1338,16,5
2020,4,24,222,1424,16,5
2020,4,25,224,1424,16,5
2020,4,26,229,1424,16,5
2020,4,27,236,1703,16,5
2020,4,28,245,1796,22,5
2020,4,29,250,1796,22,6
2020,4,30,251,1937,22,6
2020,5,1,254,1977,23,7
2020,5,2,260,1977,23,13
2020,5,3,264,1977,23,13
2020,5,4,264,1977,23,13
2020,5,5,268,1977,23,13
2020,5,6,271,1977,46,13
2020,5,7,275,2175,46,13
2020,5,8,275,2175,127,16
2020,5,9,277,2207,130,16
2020,5,10,278,2237,132,16
2020,5,11,280,2276,136,17
2020,5,12,283,2354,150,19
2020,5,13,284,2390,152,19
2020,5,14,284,2426,159,20
2020,5,15,285,2448,166,20
2020,5,16,286,2448,170,21
2020,5,17,287,2448,177,21
2020,5,18,287,2501,182,22
2020,5,19,290,2513,191,22
2020,5,20,290,2543,195,22
2020,5,21,292,2558,198,22
2020,5,22,294,2579,201,24
2020,5,23,295,2590,210,24
2020,5,24,295,2612,210,24
2020,5,25,295,2624,211,24
2020,5,26,296,2636,211,24
2020,5,27,296,2656,211,24
2020,5,28,297,2667,215,24
2020,5,29,298,2688,218,24
2020,5,30,298,2713,219,25
2020,5,31,298,2723,219,25
2020,6,1,298,2727,221,25
2020,6,2,298,2733,227,25
2020,6,3,298,2746,233,26
2020,6,4,298,2758,233,26
2020,6,5,299,2770,236,27
2020,6,6,299,2783,237,27
2020,6,7,299,2791,237,27
2020,6,8,299,2798,238,27
2020,6,9,299,2800,239,27
2020,6,10,299,2806,239,27
2020,6,11,299,2815,239,27
2020,6,12,299,2824,241,27
2020,6,13,299,2830,241,27
2020,6,14,299,2838,241,27
2020,6,15,299,2845,241,27
2020,6,16,299,2847,243,27
2020,6,17,299,2853,244,27
2020,6,18,299,2857,247,27
2020,6,19,299,2860,247,27
2020,6,20,299,2863,248,27
2020,6,21,299,2869,248,27
2020,6,22,300,2871,248,27
2020,6,23,300,2873,249,27
2020,6,24,300,2879,249,27
2020,6,25,300,2881,250,27
2020,6,26,300,2884,251,27
2020,6,27,300,2895,251,27
2020,6,28,300,2898,252,27
2020,6,29,300,2904,256,27
2020,6,30,300,2905,257,27
2020,7,1,300,2911,257,27
2020,7,2,300,2918,257,27
2020,7,3,300,2922,257,27
2020,7,4,300,2925,260,27
2020,7,5,300,2932,261,27
2020,7,6,300,2934,261,27
2020,7,7,300,2937,265,27
2020,7,8,300,2944,266,27
2020,7,9,300,2950,267,27
2020,7,10,300,2956,267,27
2020,7,11,300,2958,267,27
2020,7,12,300,2959,267,27
2020,7,13,300,2964,267,27
2020,7,14,300,2964,269,27
2020,7,15,300,2968,269,27
2020,7,16,300,2976,269,27
2020,7,17,301,2983,269,27
2020,7,18,303,3002,269,27
2020,7,19,303,3005,270,27
2020,7,20,303,3017,270,27
