year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,88,0,0
2020,3,12,0,91,0,0
2020,3,13,0,98,0,0
2020,3,14,0,98,0,0
2020,3,15,0,98,0,0
2020,3,16,0,102,0,0
2020,3,17,1,109,0,0
2020,3,18,1,122,0,0
2020,3,19,1,128,0,0
2020,3,20,1,133,0,0
2020,3,21,1,142,0,0
2020,3,22,1,147,0,0
2020,3,23,1,157,0,0
2020,3,24,1,160,0,0
2020,3,25,1,168,0,0
2020,3,26,1,191,0,0
2020,3,27,1,197,0,0
2020,3,28,1,197,0,0
2020,3,29,1,212,0,0
2020,3,30,1,243,0,0
2020,3,31,2,243,0,0
2020,4,1,2,243,0,0
2020,4,2,2,304,0,0
2020,4,3,2,344,0,0
2020,4,4,2,344,0,0
2020,4,5,2,344,0,0
2020,4,6,2,371,0,0
2020,4,7,2,398,0,0
2020,4,8,3,415,0,0
2020,4,9,3,441,0,0
2020,4,10,4,480,0,0
2020,4,11,4,480,1,0
2020,4,12,8,480,1,0
2020,4,13,16,546,1,0
2020,4,14,20,637,1,0
2020,4,15,20,721,1,0
2020,4,16,21,833,1,0
2020,4,17,24,967,1,0
2020,4,18,24,967,1,0
2020,4,19,25,967,1,0
2020,4,20,26,967,1,0
2020,4,21,26,1273,1,0
2020,4,22,26,1350,2,0
2020,4,23,28,1393,4,0
2020,4,24,28,1427,4,0
2020,4,25,28,1427,5,0
2020,4,26,28,1427,5,0
2020,4,27,28,1512,5,0
2020,4,28,28,1537,6,0
2020,4,29,28,1537,7,0
2020,4,30,28,1613,7,0
2020,5,1,28,1643,7,0
2020,5,2,28,1643,7,0
2020,5,3,28,1711,9,0
2020,5,4,28,1711,11,0
2020,5,5,28,1731,11,0
2020,5,6,28,1739,11,0
2020,5,7,28,1753,12,0
2020,5,8,28,1787,13,0
2020,5,9,28,1820,13,0
2020,5,10,28,1841,20,0
2020,5,11,28,1852,21,0
2020,5,12,28,1875,21,0
2020,5,13,28,1894,22,0
2020,5,14,28,1907,26,0
2020,5,15,28,1935,26,0
2020,5,16,28,1962,26,0
2020,5,17,28,1983,27,0
2020,5,18,28,1988,27,0
2020,5,19,28,2013,27,0
2020,5,20,28,2023,27,0
2020,5,21,28,2046,27,0
2020,5,22,28,2065,27,0
2020,5,23,28,2086,27,0
2020,5,24,28,2094,28,0
2020,5,25,28,2099,28,0
2020,5,26,28,2112,28,0
2020,5,27,28,2131,28,0
2020,5,28,28,2155,28,0
2020,5,29,28,2169,28,0
2020,5,30,28,2178,28,0
2020,5,31,28,2187,28,0
2020,6,1,28,2192,28,0
2020,6,2,28,2202,28,0
2020,6,3,28,2225,28,0
2020,6,4,28,2245,28,0
2020,6,5,28,2256,28,0
2020,6,6,28,2274,28,0
2020,6,7,28,2283,28,0
2020,6,8,28,2288,28,0
2020,6,9,28,2312,28,0
2020,6,10,28,2344,28,0
2020,6,11,28,2362,28,0
2020,6,12,28,2365,28,0
2020,6,13,28,2375,28,0
2020,6,14,28,2380,28,0
2020,6,15,28,2380,28,0
2020,6,16,28,2386,28,0
2020,6,17,28,2421,28,0
2020,6,18,28,2460,28,0
2020,6,19,28,2467,28,0
2020,6,20,28,2511,28,0
2020,6,21,28,2513,28,0
2020,6,22,28,2513,28,0
2020,6,23,28,2522,28,0
2020,6,24,28,2570,28,0
2020,6,25,28,2583,28,0
2020,6,26,28,2593,28,0
2020,6,27,28,2636,28,0
2020,6,28,28,2646,28,0
2020,6,29,28,2649,28,0
2020,6,30,28,2698,28,0
2020,7,1,28,2754,28,0
2020,7,2,28,2754,28,0
2020,7,3,28,2776,28,0
2020,7,4,28,2792,28,0
2020,7,5,28,2822,28,0
2020,7,6,28,2822,28,0
2020,7,7,28,2842,28,0
2020,7,8,28,2895,28,0
2020,7,9,28,2919,28,0
2020,7,10,28,2952,28,0
2020,7,11,29,2975,28,0
2020,7,12,29,2975,28,0
2020,7,13,29,2991,28,0
2020,7,14,30,3045,28,0
2020,7,15,31,3229,28,0
2020,7,16,42,3287,28,0
2020,7,17,42,3287,28,0
2020,7,18,42,3418,28,0
2020,7,19,44,3607,28,0
2020,7,20,44,3836,28,0
