year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,0,0,0
2020,3,12,0,0,0,0
2020,3,13,0,0,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,0,0,0
2020,3,17,0,0,0,0
2020,3,18,0,0,0,0
2020,3,19,0,171,0,0
2020,3,20,0,171,0,0
2020,3,21,0,171,0,0
2020,3,22,0,171,0,0
2020,3,23,0,193,0,0
2020,3,24,0,196,0,0
2020,3,25,0,208,0,0
2020,3,26,1,215,0,0
2020,3,27,1,219,0,0
2020,3,28,1,219,0,0
2020,3,29,1,219,0,0
2020,3,30,1,263,0,0
2020,3,31,1,265,0,0
2020,4,1,2,265,0,0
2020,4,2,3,308,0,0
2020,4,3,3,346,0,0
2020,4,4,3,346,0,0
2020,4,5,3,346,0,0
2020,4,6,3,414,0,0
2020,4,7,3,449,0,0
2020,4,8,3,483,0,0
2020,4,9,3,483,0,0
2020,4,10,3,523,0,0
2020,4,11,4,523,0,0
2020,4,12,4,523,0,0
2020,4,13,4,614,0,0
2020,4,14,4,628,0,0
2020,4,15,4,699,0,0
2020,4,16,4,699,1,0
2020,4,17,6,732,1,0
2020,4,18,7,734,1,0
2020,4,19,8,734,1,0
2020,4,20,10,841,1,0
2020,4,21,10,852,1,0
2020,4,22,10,895,2,0
2020,4,23,10,1017,2,0
2020,4,24,10,1109,3,0
2020,4,25,10,1109,3,0
2020,4,26,10,1109,3,0
2020,4,27,10,1176,4,0
2020,4,28,10,1199,4,0
2020,4,29,10,1199,4,0
2020,4,30,10,1260,4,0
2020,5,1,10,1287,4,0
2020,5,2,10,1287,4,0
2020,5,3,10,1287,4,0
2020,5,4,10,1287,4,0
2020,5,5,10,1287,4,0
2020,5,6,10,1287,5,0
2020,5,7,10,1378,5,0
2020,5,8,11,1446,7,0
2020,5,9,11,1446,7,0
2020,5,10,11,1500,8,0
2020,5,11,11,1513,8,0
2020,5,12,11,1544,8,0
2020,5,13,11,1516,8,0
2020,5,14,10,1536,7,0
2020,5,15,10,1585,7,0
2020,5,16,10,1599,7,0
2020,5,17,10,1616,7,0
2020,5,18,10,1616,7,0
2020,5,19,10,1623,7,0
2020,5,20,10,1653,8,0
2020,5,21,10,1666,9,0
2020,5,22,10,1685,9,0
2020,5,23,10,1685,9,0
2020,5,24,10,1685,9,0
2020,5,25,10,1713,9,0
2020,5,26,10,1739,10,0
2020,5,27,10,1745,10,0
2020,5,28,10,1852,10,0
2020,5,29,10,1859,10,0
2020,5,30,10,1859,10,0
2020,5,31,10,1859,10,0
2020,6,1,10,1871,10,0
2020,6,2,10,1880,10,0
2020,6,3,10,1918,10,0
2020,6,4,10,1964,10,0
2020,6,5,10,1964,10,0
2020,6,6,10,1982,10,0
2020,6,7,10,1998,10,0
2020,6,8,10,2009,10,0
2020,6,9,10,2009,10,0
2020,6,10,10,2049,10,0
2020,6,11,10,2157,10,0
2020,6,12,11,2163,10,0
2020,6,13,11,2163,10,0
2020,6,14,11,2289,10,0
2020,6,15,11,2305,10,0
2020,6,16,11,2305,10,0
2020,6,17,11,2341,10,0
2020,6,18,11,2384,10,0
2020,6,19,11,2413,10,0
2020,6,20,11,2423,10,0
2020,6,21,11,2452,10,0
2020,6,22,11,2465,10,0
2020,6,23,11,2494,10,0
2020,6,24,11,2494,10,0
2020,6,25,11,2507,10,0
2020,6,26,11,2534,10,0
2020,6,27,11,2561,10,0
2020,6,28,11,2561,10,0
2020,6,29,11,2563,10,0
2020,6,30,11,2587,11,0
2020,7,1,12,2611,11,0
2020,7,2,21,2628,11,0
2020,7,3,21,2654,11,0
2020,7,4,51,2784,11,0
2020,7,5,85,2784,11,0
2020,7,6,107,3726,11,0
2020,7,7,110,4237,11,0
2020,7,8,122,4841,11,0
2020,7,9,122,4841,11,0
2020,7,10,124,6048,11,0
2020,7,11,132,6512,11,0
2020,7,12,145,6949,11,0
2020,7,13,150,6949,14,0
2020,7,14,155,7150,30,0
2020,7,15,158,7605,49,0
2020,7,16,162,8023,74,0
2020,7,17,162,8156,88,0
2020,7,18,164,8267,89,0
2020,7,19,165,8314,89,0
2020,7,20,170,8314,101,0
