year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,43,0,0,0
2020,3,12,43,0,0,0
2020,3,13,46,0,0,0
2020,3,14,49,0,0,0
2020,3,15,54,0,0,0
2020,3,16,54,0,0,0
2020,3,17,55,0,0,0
2020,3,18,59,0,6,4
2020,3,19,64,0,6,4
2020,3,20,65,0,6,4
2020,3,21,68,0,12,4
2020,3,22,74,0,14,4
2020,3,23,75,0,17,4
2020,3,24,80,69,17,4
2020,3,25,84,74,17,4
2020,3,26,89,218,18,4
2020,3,27,95,276,18,4
2020,3,28,104,276,20,5
2020,3,29,107,276,20,5
2020,3,30,115,476,20,6
2020,3,31,120,614,27,6
2020,4,1,138,614,28,6
2020,4,2,153,954,28,6
2020,4,3,181,1099,32,6
2020,4,4,197,1099,32,6
2020,4,5,226,1100,32,6
2020,4,6,261,1799,32,6
2020,4,7,279,1996,35,6
2020,4,8,327,2203,37,6
2020,4,9,375,2203,37,6
2020,4,10,425,2600,44,6
2020,4,11,465,2604,44,6
2020,4,12,478,2604,44,7
2020,4,13,572,3116,55,12
2020,4,14,594,3306,55,14
2020,4,15,614,3476,55,15
2020,4,16,673,3682,55,16
2020,4,17,710,3888,55,16
2020,4,18,754,3911,68,16
2020,4,19,784,3912,73,17
2020,4,20,802,3912,88,19
2020,4,21,816,4628,88,19
2020,4,22,841,4628,111,23
2020,4,23,880,4828,114,24
2020,4,24,912,5075,120,24
2020,4,25,943,5075,120,25
2020,4,26,959,5075,120,26
2020,4,27,965,5439,122,27
2020,4,28,975,5536,150,29
2020,4,29,1002,5536,150,31
2020,4,30,1028,5871,168,32
2020,5,1,1042,6002,172,32
2020,5,2,1060,6002,177,33
2020,5,3,1101,6002,184,35
2020,5,4,1101,6002,185,40
2020,5,5,1125,6002,185,41
2020,5,6,1132,6002,188,43
2020,5,7,1145,6913,188,44
2020,5,8,1150,6913,645,47
2020,5,9,1150,6913,645,47
2020,5,10,1150,6913,645,47
2020,5,11,1178,6913,709,50
2020,5,12,1193,6913,732,57
2020,5,13,1203,6913,768,59
2020,5,14,1236,6913,808,62
2020,5,15,1251,7931,809,63
2020,5,16,1251,7931,809,63
2020,5,17,1251,7931,809,63
2020,5,18,1276,8220,888,64
2020,5,19,1284,8317,904,68
2020,5,20,1302,8483,933,68
2020,5,21,1315,8681,935,69
2020,5,22,1322,8780,965,71
2020,5,23,1322,8780,965,71
2020,5,24,1322,8780,965,71
2020,5,25,1333,8984,991,73
2020,5,26,1336,9073,1012,76
2020,5,27,1341,9225,1034,78
2020,5,28,1341,9225,1034,78
2020,5,29,1359,9446,1080,82
2020,5,30,1359,9446,1080,82
2020,5,31,1359,9446,1080,82
2020,6,1,1370,9637,1102,84
2020,6,2,1373,9974,1123,86
2020,6,3,1375,10103,1130,86
2020,6,4,1381,10210,1151,87
2020,6,5,1387,10327,1163,87
2020,6,6,1387,10327,1163,87
2020,6,7,1387,10327,1163,87
2020,6,8,1397,10601,1181,87
2020,6,9,1398,10756,1185,88
2020,6,10,1398,10918,1194,89
2020,6,11,1399,11046,1202,89
2020,6,12,1402,11129,1213,89
2020,6,13,1402,11129,1213,89
2020,6,14,1402,11129,1213,89
2020,6,15,1411,11329,1183,90
2020,6,16,1413,11489,1249,91
2020,6,17,1420,11628,1255,93
2020,6,18,1426,11724,1271,93
2020,6,19,1428,11826,1265,93
2020,6,20,1428,11826,1265,93
2020,6,21,1428,11826,1265,93
2020,6,22,1433,12033,1276,93
2020,6,23,1434,12108,1283,94
2020,6,24,1438,12202,1283,94
2020,6,25,1444,12278,1290,94
2020,6,26,1451,12347,1291,96
2020,6,27,1455,12347,1295,96
2020,6,28,1464,12347,1304,96
2020,6,29,1471,12480,1306,96
2020,6,30,1502,12551,1338,96
2020,7,1,1508,12709,1326,96
2020,7,2,1521,12813,1321,96
2020,7,3,1545,12898,1342,96
2020,7,4,1565,12898,1362,96
2020,7,5,1585,12898,1382,96
2020,7,6,1596,13257,1364,96
2020,7,7,1605,13437,1382,96
2020,7,8,1628,13695,1378,96
2020,7,9,1653,13894,1409,97
2020,7,10,1685,14021,1430,97
2020,7,11,1720,14021,1464,97
2020,7,12,1743,14021,1488,97
2020,7,13,1760,14411,1484,97
2020,7,14,1786,14495,1497,98
2020,7,15,1826,14758,1522,98
2020,7,16,1876,14758,1555,98
2020,7,17,1919,15233,1559,98
2020,7,18,1968,15233,1608,98
2020,7,19,1998,15233,1638,98
2020,7,20,2009,15655,1614,98
