year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,12,157,0,0
2020,3,12,12,221,0,0
2020,3,13,12,229,0,0
2020,3,14,12,229,0,0
2020,3,15,12,229,0,0
2020,3,16,12,246,0,0
2020,3,17,12,256,0,0
2020,3,18,12,267,6,0
2020,3,19,12,270,11,0
2020,3,20,12,270,11,0
2020,3,21,12,272,11,0
2020,3,22,12,279,11,0
2020,3,23,12,281,11,0
2020,3,24,12,307,11,0
2020,3,25,12,313,11,0
2020,3,26,12,314,11,0
2020,3,27,13,332,11,0
2020,3,28,13,342,12,0
2020,3,29,14,353,12,0
2020,3,30,15,359,12,0
2020,3,31,17,389,12,0
2020,4,1,20,389,12,0
2020,4,2,21,417,12,0
2020,4,3,21,454,12,0
2020,4,4,24,482,12,0
2020,4,5,31,498,12,0
2020,4,6,34,565,12,0
2020,4,7,36,591,12,0
2020,4,8,37,646,12,0
2020,4,9,47,709,12,0
2020,4,10,52,781,12,0
2020,4,11,54,814,13,0
2020,4,12,60,814,14,0
2020,4,13,60,913,16,0
2020,4,14,60,935,16,0
2020,4,15,62,1007,16,0
2020,4,16,62,1039,18,1
2020,4,17,63,1039,18,1
2020,4,18,64,1084,18,1
2020,4,19,68,1131,18,1
2020,4,20,69,1167,22,2
2020,4,21,69,1181,22,2
2020,4,22,70,1230,28,2
2020,4,23,71,1260,28,2
2020,4,24,71,1294,28,2
2020,4,25,72,1302,28,2
2020,4,26,73,1344,28,2
2020,4,27,73,1362,28,2
2020,4,28,73,1368,28,3
2020,4,29,74,1398,28,3
2020,4,30,74,1439,28,3
2020,5,1,74,1446,49,3
2020,5,2,74,1461,49,3
2020,5,3,74,1496,49,3
2020,5,4,74,1496,49,3
2020,5,5,74,1506,49,3
2020,5,6,74,1520,49,3
2020,5,7,74,1528,49,3
2020,5,8,74,1527,61,3
2020,5,9,74,1527,61,3
2020,5,10,74,1583,64,3
2020,5,11,74,1584,65,3
2020,5,12,74,1594,65,3
2020,5,13,74,1604,66,3
2020,5,14,74,1624,66,3
2020,5,15,74,1650,66,3
2020,5,16,74,1624,66,3
2020,5,17,74,1681,67,3
2020,5,18,74,1684,67,3
2020,5,19,74,1689,67,3
2020,5,20,74,1703,68,3
2020,5,21,74,1718,68,3
2020,5,22,74,1732,69,3
2020,5,23,74,1738,69,3
2020,5,24,74,1749,69,3
2020,5,25,74,1749,69,3
2020,5,26,74,1753,70,3
2020,5,27,74,1755,70,3
2020,5,28,74,1770,70,3
2020,5,29,74,1778,70,3
2020,5,30,74,1785,70,3
2020,5,31,74,1793,71,3
2020,6,1,74,1798,71,3
2020,6,2,74,1801,71,3
2020,6,3,74,1812,71,3
2020,6,4,74,1818,71,3
2020,6,5,74,1824,71,3
2020,6,6,74,1832,71,3
2020,6,7,74,1845,71,3
2020,6,8,74,1848,71,3
2020,6,9,74,1848,71,3
2020,6,10,74,1863,71,3
2020,6,11,74,1873,71,3
2020,6,12,74,1879,71,3
2020,6,13,74,1884,71,3
2020,6,14,74,1893,71,3
2020,6,15,74,1893,71,3
2020,6,16,74,1893,71,3
2020,6,17,74,1905,71,3
2020,6,18,74,1913,71,3
2020,6,19,74,1917,71,3
2020,6,20,74,1919,71,3
2020,6,21,74,1926,71,3
2020,6,22,74,1929,71,3
2020,6,23,74,1935,71,3
2020,6,24,74,1943,71,3
2020,6,25,74,1946,71,3
2020,6,26,74,1953,71,3
2020,6,27,74,1958,71,3
2020,6,28,74,1969,71,3
2020,6,29,74,1971,71,3
2020,6,30,74,1971,71,3
2020,7,1,74,1977,71,3
2020,7,2,74,1980,71,3
2020,7,3,74,1985,71,3
2020,7,4,74,1991,71,3
2020,7,5,74,1996,71,3
2020,7,6,74,1998,71,3
2020,7,7,74,1998,71,3
2020,7,8,74,2006,71,3
2020,7,9,74,2006,71,3
2020,7,10,74,2014,71,3
2020,7,11,74,2015,71,3
2020,7,12,74,2025,71,3
2020,7,13,75,2028,71,3
2020,7,14,75,2028,71,3
2020,7,15,75,2051,71,3
2020,7,16,76,2089,71,3
2020,7,17,76,2103,71,3
2020,7,18,76,2116,71,3
2020,7,19,76,2130,71,3
2020,7,20,76,2136,71,3
