year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,6,0,0,0
2020,3,12,6,0,0,0
2020,3,13,6,0,0,0
2020,3,14,6,0,0,0
2020,3,15,6,0,0,0
2020,3,16,6,393,0,0
2020,3,17,6,393,0,0
2020,3,18,6,393,0,0
2020,3,19,7,467,0,0
2020,3,20,7,476,0,0
2020,3,21,7,487,1,0
2020,3,22,7,490,1,0
2020,3,23,7,521,1,0
2020,3,24,7,543,1,0
2020,3,25,7,567,2,0
2020,3,26,8,595,2,0
2020,3,27,10,658,2,0
2020,3,28,10,674,3,0
2020,3,29,10,693,3,0
2020,3,30,11,856,3,0
2020,3,31,14,925,3,0
2020,4,1,15,925,3,0
2020,4,2,15,1036,3,0
2020,4,3,15,1095,3,0
2020,4,4,16,1125,3,0
2020,4,5,20,1144,3,0
2020,4,6,20,1420,3,0
2020,4,7,21,1461,3,0
2020,4,8,23,1552,3,0
2020,4,9,23,1639,4,0
2020,4,10,23,1693,4,1
2020,4,11,23,1728,4,1
2020,4,12,28,1728,4,1
2020,4,13,28,1877,5,1
2020,4,14,29,1944,5,1
2020,4,15,31,2056,5,1
2020,4,16,31,2131,5,1
2020,4,17,35,2204,6,1
2020,4,18,35,2208,6,1
2020,4,19,39,2274,6,1
2020,4,20,40,2350,7,1
2020,4,21,41,2465,7,1
2020,4,22,41,2518,7,1
2020,4,23,43,2577,8,1
2020,4,24,43,2623,9,1
2020,4,25,43,2623,9,1
2020,4,26,45,2623,11,1
2020,4,27,45,2912,12,1
2020,4,28,45,3002,12,1
2020,4,29,47,3002,12,1
2020,4,30,47,3148,13,1
2020,5,1,47,3178,13,1
2020,5,2,47,3178,13,1
2020,5,3,47,3178,13,2
2020,5,4,47,3178,13,2
2020,5,5,47,3178,13,2
2020,5,6,47,3178,16,2
2020,5,7,47,3313,16,2
2020,5,8,48,3375,17,2
2020,5,9,48,3375,18,3
2020,5,10,48,3415,18,3
2020,5,11,48,3492,23,3
2020,5,12,48,3547,24,3
2020,5,13,48,3592,25,3
2020,5,14,48,3623,31,3
2020,5,15,48,3656,31,3
2020,5,16,48,3656,31,3
2020,5,17,48,3725,35,3
2020,5,18,48,3741,35,3
2020,5,19,48,3755,35,3
2020,5,20,48,3778,35,3
2020,5,21,48,3778,35,3
2020,5,22,48,3820,35,3
2020,5,23,48,3835,37,3
2020,5,24,48,3851,37,3
2020,5,25,48,3851,37,3
2020,5,26,48,3863,38,3
2020,5,27,48,3878,38,3
2020,5,28,48,3885,39,3
2020,5,29,48,3903,39,3
2020,5,30,48,3911,42,3
2020,5,31,48,3924,43,3
2020,6,1,48,3930,43,3
2020,6,2,48,3939,44,3
2020,6,3,48,3962,44,3
2020,6,4,48,3974,44,3
2020,6,5,48,3990,44,3
2020,6,6,48,4015,44,3
2020,6,7,48,4028,44,3
2020,6,8,48,4033,44,3
2020,6,9,48,4055,44,3
2020,6,10,48,4070,44,3
2020,6,11,48,4080,45,3
2020,6,12,48,4092,45,3
2020,6,13,48,4092,45,3
2020,6,14,48,4092,45,3
2020,6,15,48,4092,45,3
2020,6,16,48,4130,45,3
2020,6,17,48,4138,45,3
2020,6,18,48,4153,45,3
2020,6,19,48,4164,45,3
2020,6,20,48,4164,45,3
2020,6,21,48,4164,45,3
2020,6,22,48,4178,45,3
2020,6,23,49,4178,45,3
2020,6,24,49,4203,45,3
2020,6,25,49,4219,45,3
2020,6,26,49,4234,45,3
2020,6,27,49,4234,45,3
2020,6,28,49,4234,45,3
2020,6,29,49,4273,45,3
2020,6,30,49,4273,45,3
2020,7,1,49,4287,45,3
2020,7,2,49,4310,46,3
2020,7,3,49,4310,46,3
2020,7,4,49,4325,46,3
2020,7,5,49,4325,46,3
2020,7,6,49,4366,46,3
2020,7,7,49,4381,46,3
2020,7,8,49,4395,46,3
2020,7,9,49,4410,46,3
2020,7,10,49,4421,46,3
2020,7,11,49,4421,46,3
2020,7,12,49,4421,46,3
2020,7,13,49,4456,46,3
2020,7,14,49,4465,46,3
2020,7,15,49,4465,46,3
2020,7,16,49,4508,46,3
2020,7,17,50,4527,46,3
2020,7,18,50,4527,46,3
2020,7,19,50,4527,46,3
2020,7,20,50,4554,46,3
