year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,15,440,0,0
2020,3,12,17,544,0,0
2020,3,13,17,628,0,0
2020,3,14,17,628,0,0
2020,3,15,17,628,0,0
2020,3,16,17,741,0,0
2020,3,17,19,743,0,0
2020,3,18,20,770,6,0
2020,3,19,20,800,6,0
2020,3,20,21,806,6,0
2020,3,21,22,813,7,0
2020,3,22,23,815,7,0
2020,3,23,24,857,7,0
2020,3,24,26,930,7,0
2020,3,25,30,967,7,0
2020,3,26,32,996,8,0
2020,3,27,34,1035,11,0
2020,3,28,37,1035,13,0
2020,3,29,46,1035,13,0
2020,3,30,54,1080,13,0
2020,3,31,68,1178,15,0
2020,4,1,71,1178,16,0
2020,4,2,79,1189,18,0
2020,4,3,91,1398,18,0
2020,4,4,105,1398,18,0
2020,4,5,111,1405,18,0
2020,4,6,119,1472,18,0
2020,4,7,139,1683,18,0
2020,4,8,149,1787,23,0
2020,4,9,159,1867,29,1
2020,4,10,168,1968,29,1
2020,4,11,181,1968,33,1
2020,4,12,193,1968,33,3
2020,4,13,205,2225,33,3
2020,4,14,210,2275,34,3
2020,4,15,215,2362,37,3
2020,4,16,225,2464,39,3
2020,4,17,235,2565,53,3
2020,4,18,242,2565,53,3
2020,4,19,251,2565,70,3
2020,4,20,259,2811,77,5
2020,4,21,264,2883,77,5
2020,4,22,275,2906,88,7
2020,4,23,282,3397,93,7
2020,4,24,286,3614,93,7
2020,4,25,290,3614,137,7
2020,4,26,294,3614,140,7
2020,4,27,309,3894,140,8
2020,4,28,313,3950,140,8
2020,4,29,316,3950,156,9
2020,4,30,319,4177,159,9
2020,5,1,323,4343,159,10
2020,5,2,328,4343,168,11
2020,5,3,331,4343,176,11
2020,5,4,331,4343,176,11
2020,5,5,338,4343,185,12
2020,5,6,341,4343,206,12
2020,5,7,347,5138,212,12
2020,5,8,347,5267,227,13
2020,5,9,347,5267,227,13
2020,5,10,347,5267,227,13
2020,5,11,352,5613,247,13
2020,5,12,352,5652,251,13
2020,5,13,356,5961,269,13
2020,5,14,357,6032,277,13
2020,5,15,358,6285,283,13
2020,5,16,358,6285,283,13
2020,5,17,358,6285,283,13
2020,5,18,358,7092,291,14
2020,5,19,358,7109,297,14
2020,5,20,358,7228,303,14
2020,5,21,358,7335,304,14
2020,5,22,358,7493,309,14
2020,5,23,358,7493,309,14
2020,5,24,358,7493,309,14
2020,5,25,358,7640,312,15
2020,5,26,358,7703,318,15
2020,5,27,358,7773,322,16
2020,5,28,358,7846,321,16
2020,5,29,358,7933,323,17
2020,5,30,358,7933,323,17
2020,5,31,358,7933,323,17
2020,6,1,358,8085,325,17
2020,6,2,358,8135,325,17
2020,6,3,358,8257,331,17
2020,6,4,358,8354,331,17
2020,6,5,358,8435,332,18
2020,6,6,358,8435,332,18
2020,6,7,358,8435,332,18
2020,6,8,359,8608,332,18
2020,6,9,359,8644,334,18
2020,6,10,360,8793,337,18
2020,6,11,360,8864,337,18
2020,6,12,360,8953,338,18
2020,6,13,360,8953,338,18
2020,6,14,360,8953,338,18
2020,6,15,360,9129,338,18
2020,6,16,360,9200,339,18
2020,6,17,363,9255,340,18
2020,6,18,363,9329,341,18
2020,6,19,363,9418,341,18
2020,6,20,363,9418,341,18
2020,6,21,363,9418,341,18
2020,6,22,365,9565,342,18
2020,6,23,365,9653,342,18
2020,6,24,365,9722,342,18
2020,6,25,365,9818,342,18
2020,6,26,366,9896,344,18
2020,6,27,366,9896,344,18
2020,6,28,366,9896,344,18
2020,6,29,375,10074,345,18
2020,6,30,379,10146,346,18
2020,7,1,381,10346,346,18
2020,7,2,383,10442,346,18
2020,7,3,386,10600,347,18
2020,7,4,386,10600,347,18
2020,7,5,386,10600,347,18
2020,7,6,401,11061,348,18
2020,7,7,404,11133,352,18
2020,7,8,413,11314,353,18
2020,7,9,415,11482,356,18
2020,7,10,420,11599,362,18
2020,7,11,420,11599,362,18
2020,7,12,420,11599,362,18
2020,7,13,447,12044,366,18
2020,7,14,456,12393,382,18
2020,7,15,468,12781,385,18
2020,7,16,477,13115,391,18
2020,7,17,490,13461,395,18
2020,7,18,490,13461,395,18
2020,7,19,490,13461,395,18
2020,7,20,539,14205,403,18
