year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2,155,0,0
2020,3,12,7,181,0,0
2020,3,13,7,198,0,0
2020,3,14,8,198,0,0
2020,3,15,8,198,0,0
2020,3,16,8,257,0,0
2020,3,17,8,277,0,0
2020,3,18,8,277,1,0
2020,3,19,9,318,1,0
2020,3,20,9,318,1,0
2020,3,21,9,318,1,0
2020,3,22,9,318,2,0
2020,3,23,9,344,2,0
2020,3,24,9,368,2,0
2020,3,25,9,380,2,0
2020,3,26,9,387,2,0
2020,3,27,9,408,2,0
2020,3,28,9,408,2,0
2020,3,29,9,408,2,0
2020,3,30,11,437,2,0
2020,3,31,11,458,2,0
2020,4,1,11,458,2,0
2020,4,2,12,507,2,0
2020,4,3,12,598,4,0
2020,4,4,12,598,4,0
2020,4,5,13,598,4,0
2020,4,6,13,759,4,0
2020,4,7,13,781,4,0
2020,4,8,13,824,5,0
2020,4,9,15,861,5,0
2020,4,10,15,906,5,0
2020,4,11,17,906,5,0
2020,4,12,17,906,9,0
2020,4,13,17,995,11,0
2020,4,14,19,1002,11,0
2020,4,15,20,1039,11,0
2020,4,16,26,1092,11,1
2020,4,17,32,1144,11,1
2020,4,18,35,1144,11,1
2020,4,19,36,1144,11,1
2020,4,20,39,1397,11,1
2020,4,21,41,1436,11,1
2020,4,22,43,1494,11,1
2020,4,23,43,1578,11,1
2020,4,24,45,1653,11,1
2020,4,25,45,1653,16,1
2020,4,26,45,1653,16,1
2020,4,27,45,1799,16,1
2020,4,28,45,1835,16,1
2020,4,29,45,1835,19,1
2020,4,30,45,1903,19,1
2020,5,1,45,1938,19,1
2020,5,2,45,1938,19,1
2020,5,3,45,1938,19,1
2020,5,4,45,1938,19,1
2020,5,5,45,1938,20,1
2020,5,6,45,1938,29,1
2020,5,7,45,2084,29,1
2020,5,8,45,2093,30,1
2020,5,9,45,2132,32,1
2020,5,10,45,2153,33,1
2020,5,11,45,2153,34,1
2020,5,12,45,2153,34,1
2020,5,13,45,2163,34,1
2020,5,14,45,2219,36,1
2020,5,15,45,2264,37,1
2020,5,16,45,2335,37,1
2020,5,17,45,2347,38,1
2020,5,18,45,2360,39,1
2020,5,19,45,2362,39,1
2020,5,20,45,2367,39,1
2020,5,21,45,2406,39,1
2020,5,22,45,2422,39,1
2020,5,23,45,2450,39,1
2020,5,24,45,2456,40,1
2020,5,25,45,2460,40,1
2020,5,26,45,2462,41,1
2020,5,27,45,2466,41,1
2020,5,28,45,2480,41,1
2020,5,29,45,2486,41,1
2020,5,30,45,2495,41,1
2020,5,31,45,2505,44,1
2020,6,1,45,2508,44,1
2020,6,2,45,2508,44,1
2020,6,3,45,2527,44,1
2020,6,4,45,2552,44,1
2020,6,5,45,2561,44,1
2020,6,6,45,2561,44,1
2020,6,7,45,2561,44,1
2020,6,8,45,2579,44,1
2020,6,9,45,2587,44,1
2020,6,10,45,2599,44,1
2020,6,11,45,2609,44,1
2020,6,12,45,2620,44,1
2020,6,13,45,2632,44,1
2020,6,14,45,2632,44,1
2020,6,15,45,2645,44,1
2020,6,16,45,2668,44,1
2020,6,17,45,2675,44,1
2020,6,18,45,2687,44,1
2020,6,19,46,2690,44,1
2020,6,20,46,2705,44,1
2020,6,21,46,2777,44,1
2020,6,22,46,2779,44,1
2020,6,23,46,2791,44,1
2020,6,24,46,2798,44,1
2020,6,25,46,2816,44,1
2020,6,26,46,2823,44,1
2020,6,27,46,2847,44,1
2020,6,28,46,2854,44,1
2020,6,29,46,2856,44,1
2020,6,30,46,2876,45,1
2020,7,1,46,2881,45,1
2020,7,2,46,2901,45,1
2020,7,3,46,2920,45,1
2020,7,4,46,2945,45,1
2020,7,5,46,2951,45,1
2020,7,6,46,2955,45,1
2020,7,7,46,2980,45,1
2020,7,8,46,2993,45,1
2020,7,9,46,3009,45,1
2020,7,10,46,3021,45,1
2020,7,11,47,3051,45,1
2020,7,12,48,3075,45,1
2020,7,13,50,3084,45,1
2020,7,14,50,3107,45,1
2020,7,15,50,3123,45,1
2020,7,16,52,3198,46,1
2020,7,17,55,3227,46,1
2020,7,18,55,3236,46,1
2020,7,19,56,3299,46,1
2020,7,20,57,3307,46,1
