year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,1,94,0,0
2020,3,12,1,100,0,0
2020,3,13,1,109,0,0
2020,3,14,1,109,0,0
2020,3,15,1,109,0,0
2020,3,16,1,129,0,0
2020,3,17,1,129,0,0
2020,3,18,1,138,1,0
2020,3,19,1,144,1,0
2020,3,20,1,148,1,0
2020,3,21,1,150,1,0
2020,3,22,1,150,1,0
2020,3,23,1,161,1,0
2020,3,24,1,162,1,0
2020,3,25,1,175,1,0
2020,3,26,2,180,1,0
2020,3,27,2,187,1,0
2020,3,28,2,187,1,0
2020,3,29,2,188,1,0
2020,3,30,6,208,1,0
2020,3,31,7,208,1,0
2020,4,1,7,208,1,0
2020,4,2,12,244,1,0
2020,4,3,13,348,1,0
2020,4,4,20,348,1,0
2020,4,5,23,348,1,0
2020,4,6,26,514,1,0
2020,4,7,27,558,1,0
2020,4,8,34,558,1,0
2020,4,9,36,558,1,0
2020,4,10,37,660,1,0
2020,4,11,46,660,1,0
2020,4,12,52,660,2,0
2020,4,13,54,816,5,0
2020,4,14,64,852,5,0
2020,4,15,65,992,6,0
2020,4,16,75,1109,8,0
2020,4,17,79,1203,8,0
2020,4,18,83,1203,8,0
2020,4,19,83,1203,8,0
2020,4,20,84,1369,8,0
2020,4,21,84,1387,8,0
2020,4,22,84,1438,14,0
2020,4,23,84,1491,23,0
2020,4,24,84,1568,29,0
2020,4,25,85,1568,31,0
2020,4,26,85,1568,31,0
2020,4,27,86,1714,32,0
2020,4,28,87,1744,32,0
2020,4,29,88,1744,32,0
2020,4,30,88,1885,32,0
2020,5,1,88,1910,50,0
2020,5,2,88,1910,61,0
2020,5,3,88,1910,61,0
2020,5,4,88,1910,61,0
2020,5,5,88,1910,65,0
2020,5,6,88,1910,69,0
2020,5,7,88,2166,72,0
2020,5,8,88,2183,75,0
2020,5,9,88,2183,79,1
2020,5,10,88,2183,80,1
2020,5,11,88,2297,80,1
2020,5,12,88,2322,80,1
2020,5,13,88,2371,81,1
2020,5,14,88,2428,82,1
2020,5,15,88,2475,82,1
2020,5,16,88,2511,84,1
2020,5,17,88,2511,85,1
2020,5,18,88,2575,85,1
2020,5,19,88,2588,85,1
2020,5,20,88,2616,86,1
2020,5,21,88,2642,86,1
2020,5,22,88,2684,86,1
2020,5,23,88,2819,86,1
2020,5,24,88,2835,86,1
2020,5,25,88,2843,86,1
2020,5,26,88,2850,86,1
2020,5,27,88,2868,87,1
2020,5,28,88,2884,87,1
2020,5,29,88,2900,87,1
2020,5,30,88,2923,87,1
2020,5,31,88,2944,87,1
2020,6,1,88,2950,87,1
2020,6,2,88,2952,87,1
2020,6,3,88,2979,87,1
2020,6,4,88,3012,87,1
2020,6,5,88,3034,87,1
2020,6,6,88,3064,87,1
2020,6,7,88,3086,87,1
2020,6,8,88,3108,87,1
2020,6,9,88,3119,87,1
2020,6,10,88,3136,87,1
2020,6,11,88,3168,87,1
2020,6,12,88,3253,87,1
2020,6,13,88,3253,87,1
2020,6,14,88,3291,87,1
2020,6,15,88,3314,87,1
2020,6,16,88,3333,87,1
2020,6,17,88,3356,87,1
2020,6,18,88,3372,87,1
2020,6,19,89,3398,87,1
2020,6,20,89,3422,87,1
2020,6,21,89,3474,87,1
2020,6,22,89,3486,87,1
2020,6,23,90,3509,87,1
2020,6,24,90,3534,87,1
2020,6,25,91,3572,87,1
2020,6,26,91,3623,87,1
2020,6,27,92,3652,87,1
2020,6,28,92,3682,88,1
2020,6,29,94,3698,88,1
2020,6,30,94,3751,88,1
2020,7,1,94,3826,88,1
2020,7,2,95,3868,90,1
2020,7,3,95,3925,90,1
2020,7,4,97,3951,90,1
2020,7,5,98,3995,90,1
2020,7,6,98,4018,90,1
2020,7,7,98,4089,90,1
2020,7,8,98,4251,91,1
2020,7,9,99,4286,91,1
2020,7,10,100,4410,92,1
2020,7,11,100,4446,92,1
2020,7,12,104,4544,94,1
2020,7,13,106,4609,94,1
2020,7,14,108,4652,95,1
2020,7,15,110,4748,100,1
2020,7,16,112,4798,100,1
2020,7,17,126,4914,100,1
2020,7,18,129,5001,100,1
2020,7,19,132,5103,100,1
2020,7,20,132,5132,104,1
