year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,1,78,0,0
2020,3,12,1,97,0,0
2020,3,13,1,113,0,0
2020,3,14,1,113,0,0
2020,3,15,1,113,0,0
2020,3,16,1,114,0,0
2020,3,17,3,129,0,0
2020,3,18,3,143,0,0
2020,3,19,3,170,0,0
2020,3,20,3,179,0,0
2020,3,21,3,186,0,0
2020,3,22,3,189,0,0
2020,3,23,3,197,0,0
2020,3,24,3,205,1,0
2020,3,25,3,222,1,0
2020,3,26,3,235,1,0
2020,3,27,3,236,1,0
2020,3,28,3,241,1,0
2020,3,29,3,242,1,0
2020,3,30,3,272,1,0
2020,3,31,3,284,1,0
2020,4,1,3,284,1,0
2020,4,2,3,326,1,0
2020,4,3,4,338,2,0
2020,4,4,4,346,2,0
2020,4,5,6,356,2,0
2020,4,6,7,425,3,0
2020,4,7,7,453,3,0
2020,4,8,12,498,3,0
2020,4,9,16,545,3,0
2020,4,10,16,585,3,0
2020,4,11,17,612,3,0
2020,4,12,17,612,3,0
2020,4,13,17,703,3,0
2020,4,14,17,733,3,0
2020,4,15,17,790,4,0
2020,4,16,17,802,4,0
2020,4,17,17,841,4,0
2020,4,18,17,841,4,0
2020,4,19,17,841,4,0
2020,4,20,17,925,4,0
2020,4,21,17,943,4,0
2020,4,22,17,965,4,0
2020,4,23,17,993,7,0
2020,4,24,17,1010,7,0
2020,4,25,17,1010,7,0
2020,4,26,17,1010,8,0
2020,4,27,17,1053,9,0
2020,4,28,17,1068,10,0
2020,4,29,17,1068,10,0
2020,4,30,17,1105,11,0
2020,5,1,17,1122,11,0
2020,5,2,17,1122,11,0
2020,5,3,17,1122,11,0
2020,5,4,17,1122,11,0
2020,5,5,17,1122,11,0
2020,5,6,17,1122,11,0
2020,5,7,17,1192,11,0
2020,5,8,17,1213,11,0
2020,5,9,17,1213,12,0
2020,5,10,17,1213,12,0
2020,5,11,17,1243,12,0
2020,5,12,17,1250,12,0
2020,5,13,17,1268,12,0
2020,5,14,17,1278,12,0
2020,5,15,17,1290,13,0
2020,5,16,17,1290,14,0
2020,5,17,17,1290,14,0
2020,5,18,17,1308,14,0
2020,5,19,17,1314,14,0
2020,5,20,17,1324,14,0
2020,5,21,17,1333,14,0
2020,5,22,17,1339,14,0
2020,5,23,17,1339,15,0
2020,5,24,17,1339,15,0
2020,5,25,17,1351,16,0
2020,5,26,17,1358,17,0
2020,5,27,17,1362,17,0
2020,5,28,17,1363,17,0
2020,5,29,17,1368,17,0
2020,5,30,17,1368,17,0
2020,5,31,17,1368,17,0
2020,6,1,17,1386,17,0
2020,6,2,17,1391,17,0
2020,6,3,17,1402,17,0
2020,6,4,17,1407,17,0
2020,6,5,17,1414,17,0
2020,6,6,17,1414,17,0
2020,6,7,17,1414,17,0
2020,6,8,17,1434,17,0
2020,6,9,17,1441,17,0
2020,6,10,17,1453,17,0
2020,6,11,17,1461,17,0
2020,6,12,17,1470,17,0
2020,6,13,17,1470,17,0
2020,6,14,17,1470,17,0
2020,6,15,17,1480,17,0
2020,6,16,17,1487,17,0
2020,6,17,17,1494,17,0
2020,6,18,17,1504,17,0
2020,6,19,17,1509,17,0
2020,6,20,17,1509,17,0
2020,6,21,17,1509,17,0
2020,6,22,17,1520,17,0
2020,6,23,17,1525,17,0
2020,6,24,17,1536,17,0
2020,6,25,17,1543,17,0
2020,6,26,17,1549,17,0
2020,6,27,17,1549,17,0
2020,6,28,17,1549,17,0
2020,6,29,17,1562,17,0
2020,6,30,17,1567,17,0
2020,7,1,17,1578,17,0
2020,7,2,17,1582,17,0
2020,7,3,17,1589,17,0
2020,7,4,17,1589,17,0
2020,7,5,17,1589,17,0
2020,7,6,18,1609,17,0
2020,7,7,18,1624,17,0
2020,7,8,18,1645,17,0
2020,7,9,18,1661,17,0
2020,7,10,18,1674,17,0
2020,7,11,18,1674,17,0
2020,7,12,18,1674,17,0
2020,7,13,20,1701,17,0
2020,7,14,20,1716,17,0
2020,7,15,20,1748,17,0
2020,7,16,20,1759,17,0
2020,7,17,20,1770,18,0
2020,7,18,20,1770,18,0
2020,7,19,20,1770,18,0
2020,7,20,20,1823,18,0
