year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,3,231,0,0
2020,3,12,3,245,0,0
2020,3,13,3,255,0,0
2020,3,14,4,255,0,0
2020,3,15,4,255,0,0
2020,3,16,4,280,0,0
2020,3,17,4,284,0,0
2020,3,18,4,295,0,0
2020,3,19,4,306,0,0
2020,3,20,4,306,1,0
2020,3,21,4,306,1,0
2020,3,22,4,306,1,0
2020,3,23,4,336,1,0
2020,3,24,5,339,2,0
2020,3,25,5,339,2,0
2020,3,26,5,371,2,0
2020,3,27,6,396,2,0
2020,3,28,6,397,3,0
2020,3,29,8,397,3,0
2020,3,30,8,475,3,0
2020,3,31,8,506,3,0
2020,4,1,9,506,3,0
2020,4,2,9,596,3,0
2020,4,3,10,667,3,0
2020,4,4,11,669,3,0
2020,4,5,12,670,3,0
2020,4,6,14,736,3,0
2020,4,7,14,762,3,0
2020,4,8,19,783,3,0
2020,4,9,21,841,3,0
2020,4,10,28,892,3,0
2020,4,11,28,899,3,0
2020,4,12,29,899,3,0
2020,4,13,34,1068,4,0
2020,4,14,35,1106,4,0
2020,4,15,36,1159,4,0
2020,4,16,45,1219,4,0
2020,4,17,47,1271,4,0
2020,4,18,47,1273,4,0
2020,4,19,52,1273,4,0
2020,4,20,52,1401,6,0
2020,4,21,54,1417,6,0
2020,4,22,56,1468,6,0
2020,4,23,59,1514,8,0
2020,4,24,66,1548,8,0
2020,4,25,66,1552,8,0
2020,4,26,66,1553,17,0
2020,4,27,66,1680,17,0
2020,4,28,66,1703,17,0
2020,4,29,66,1703,17,0
2020,4,30,66,1798,17,0
2020,5,1,66,1818,17,0
2020,5,2,69,1818,23,0
2020,5,3,70,1818,23,0
2020,5,4,70,1818,28,0
2020,5,5,72,1818,28,0
2020,5,6,73,1818,32,0
2020,5,7,73,2027,34,0
2020,5,8,74,2054,37,0
2020,5,9,74,2054,37,0
2020,5,10,74,2054,37,0
2020,5,11,75,2199,48,0
2020,5,12,75,2216,50,0
2020,5,13,76,2247,51,0
2020,5,14,76,2285,51,0
2020,5,15,76,2324,52,0
2020,5,16,76,2324,52,0
2020,5,17,76,2324,52,0
2020,5,18,76,2433,54,0
2020,5,19,76,2450,55,0
2020,5,20,76,2492,55,0
2020,5,21,76,2524,59,0
2020,5,22,76,2552,60,0
2020,5,23,76,2552,60,0
2020,5,24,76,2589,60,0
2020,5,25,76,2605,64,0
2020,5,26,76,2610,65,0
2020,5,27,76,2630,65,0
2020,5,28,76,2662,66,0
2020,5,29,76,2674,67,0
2020,5,30,76,2701,69,0
2020,5,31,76,2714,69,0
2020,6,1,76,2727,69,0
2020,6,2,76,2733,71,0
2020,6,3,76,2766,71,0
2020,6,4,76,2801,71,0
2020,6,5,76,2818,71,0
2020,6,6,76,2839,71,0
2020,6,7,76,2865,71,0
2020,6,8,76,2889,71,0
2020,6,9,76,2901,71,0
2020,6,10,76,2930,72,0
2020,6,11,76,2957,72,0
2020,6,12,76,2983,72,0
2020,6,13,76,2995,73,0
2020,6,14,76,3015,73,0
2020,6,15,76,3021,75,0
2020,6,16,76,3026,75,0
2020,6,17,76,3045,75,0
2020,6,18,76,3063,75,0
2020,6,19,77,3088,75,0
2020,6,20,77,3105,75,0
2020,6,21,77,3127,75,0
2020,6,22,77,3139,75,0
2020,6,23,77,3141,75,0
2020,6,24,77,3166,75,0
2020,6,25,77,3188,75,0
2020,6,26,77,3210,76,0
2020,6,27,77,3227,76,0
2020,6,28,77,3255,76,0
2020,6,29,77,3264,76,0
2020,6,30,77,3270,76,0
2020,7,1,77,3292,76,0
2020,7,2,77,3312,76,0
2020,7,3,77,3334,76,0
2020,7,4,77,3351,76,0
2020,7,5,77,3367,76,0
2020,7,6,77,3380,76,0
2020,7,7,77,3382,76,0
2020,7,8,77,3411,76,0
2020,7,9,77,3434,76,0
2020,7,10,77,3454,76,0
2020,7,11,77,3472,76,0
2020,7,12,78,3485,76,0
2020,7,13,79,4564,76,0
2020,7,14,79,4640,76,0
2020,7,15,80,4878,76,0
2020,7,16,81,4972,76,0
2020,7,17,83,5055,76,0
2020,7,18,84,5055,76,0
2020,7,19,84,5055,76,0
2020,7,20,84,5206,77,0
