year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,133,0,0
2020,3,12,0,140,0,0
2020,3,13,0,150,0,0
2020,3,14,1,150,0,0
2020,3,15,1,150,0,0
2020,3,16,1,173,0,0
2020,3,17,1,179,0,0
2020,3,18,1,200,0,0
2020,3,19,1,213,0,0
2020,3,20,1,213,0,0
2020,3,21,1,213,0,0
2020,3,22,1,213,0,0
2020,3,23,1,246,0,0
2020,3,24,1,253,0,0
2020,3,25,2,266,0,0
2020,3,26,2,279,0,0
2020,3,27,2,292,0,0
2020,3,28,2,292,0,0
2020,3,29,2,292,0,0
2020,3,30,2,331,0,0
2020,3,31,2,351,1,0
2020,4,1,5,351,1,0
2020,4,2,5,429,1,0
2020,4,3,7,505,2,0
2020,4,4,8,505,2,0
2020,4,5,9,505,2,0
2020,4,6,9,665,2,0
2020,4,7,9,709,2,0
2020,4,8,12,813,2,0
2020,4,9,14,880,2,0
2020,4,10,14,933,2,0
2020,4,11,14,933,2,0
2020,4,12,14,933,2,0
2020,4,13,14,1106,2,0
2020,4,14,14,1142,2,0
2020,4,15,15,1221,2,0
2020,4,16,16,1258,2,0
2020,4,17,16,1325,2,0
2020,4,18,16,1325,2,0
2020,4,19,16,1325,2,0
2020,4,20,16,1461,4,0
2020,4,21,16,1551,4,0
2020,4,22,16,1612,5,0
2020,4,23,16,1676,5,1
2020,4,24,16,1728,6,1
2020,4,25,16,1728,6,1
2020,4,26,16,1728,6,1
2020,4,27,16,1851,8,1
2020,4,28,16,1911,9,1
2020,4,29,17,1911,9,1
2020,4,30,17,2008,9,1
2020,5,1,17,2050,9,1
2020,5,2,17,2050,9,1
2020,5,3,17,2050,10,1
2020,5,4,17,2050,10,1
2020,5,5,17,2050,10,1
2020,5,6,17,2050,10,1
2020,5,7,17,2215,10,1
2020,5,8,17,2320,14,1
2020,5,9,17,2320,14,1
2020,5,10,17,2345,14,1
2020,5,11,17,2361,14,1
2020,5,12,17,2405,14,1
2020,5,13,17,2430,15,1
2020,5,14,17,2477,15,1
2020,5,15,17,2500,15,1
2020,5,16,17,2535,15,1
2020,5,17,17,2552,15,1
2020,5,18,17,2556,16,1
2020,5,19,17,2577,16,1
2020,5,20,17,2587,16,1
2020,5,21,17,2625,16,1
2020,5,22,17,2645,16,1
2020,5,23,17,2655,16,1
2020,5,24,17,2655,16,1
2020,5,25,17,2675,16,1
2020,5,26,17,2684,16,1
2020,5,27,17,2699,16,1
2020,5,28,17,2715,16,1
2020,5,29,17,2736,16,1
2020,5,30,17,2754,16,1
2020,5,31,17,2754,16,1
2020,6,1,17,2770,16,1
2020,6,2,17,2798,16,1
2020,6,3,17,2814,16,1
2020,6,4,17,2844,16,1
2020,6,5,17,2883,16,1
2020,6,6,17,2883,16,1
2020,6,7,17,2920,16,1
2020,6,8,17,2925,16,1
2020,6,9,17,2956,16,1
2020,6,10,17,2972,16,1
2020,6,11,17,2993,16,1
2020,6,12,17,3006,16,1
2020,6,13,17,3019,16,1
2020,6,14,17,3019,16,1
2020,6,15,17,3034,16,1
2020,6,16,17,3044,16,1
2020,6,17,17,3052,16,1
2020,6,18,17,3074,16,1
2020,6,19,17,3093,16,1
2020,6,20,17,3104,16,1
2020,6,21,17,3110,16,1
2020,6,22,17,3110,16,1
2020,6,23,17,3136,16,1
2020,6,24,17,3152,16,1
2020,6,25,17,3165,16,1
2020,6,26,17,3177,16,1
2020,6,27,17,3177,16,1
2020,6,28,17,3198,16,1
2020,6,29,17,3199,16,1
2020,6,30,17,3236,16,1
2020,7,1,17,3265,16,1
2020,7,2,17,3294,16,1
2020,7,3,17,3324,16,1
2020,7,4,17,3343,16,1
2020,7,5,17,3366,16,1
2020,7,6,18,3367,16,1
2020,7,7,18,3489,16,1
2020,7,8,18,3544,16,1
2020,7,9,19,3645,16,1
2020,7,10,19,3725,16,1
2020,7,11,19,3806,16,1
2020,7,12,19,3878,16,1
2020,7,13,26,4071,16,1
2020,7,14,30,4151,16,1
2020,7,15,31,4277,16,1
2020,7,16,32,4424,16,1
2020,7,17,32,4519,16,1
2020,7,18,32,4692,16,1
2020,7,19,40,4753,16,1
2020,7,20,40,4789,16,1
