year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,8,102,0,0
2020,3,12,8,113,0,0
2020,3,13,8,131,0,0
2020,3,14,8,131,0,0
2020,3,15,8,131,0,0
2020,3,16,8,143,0,0
2020,3,17,8,153,0,0
2020,3,18,8,163,2,0
2020,3,19,8,176,2,0
2020,3,20,8,177,2,0
2020,3,21,8,184,2,0
2020,3,22,9,187,2,0
2020,3,23,9,205,3,0
2020,3,24,9,214,3,0
2020,3,25,9,225,3,0
2020,3,26,9,231,3,0
2020,3,27,9,253,3,0
2020,3,28,11,263,8,0
2020,3,29,11,263,8,0
2020,3,30,11,292,8,0
2020,3,31,11,314,8,0
2020,4,1,15,314,8,0
2020,4,2,19,355,8,0
2020,4,3,21,359,8,0
2020,4,4,24,364,8,0
2020,4,5,25,368,8,0
2020,4,6,26,374,8,0
2020,4,7,28,452,8,0
2020,4,8,30,482,8,0
2020,4,9,34,509,8,0
2020,4,10,37,523,8,0
2020,4,11,39,539,8,0
2020,4,12,41,539,8,0
2020,4,13,44,618,8,0
2020,4,14,47,641,8,0
2020,4,15,53,676,9,1
2020,4,16,54,733,9,1
2020,4,17,56,777,12,1
2020,4,18,60,777,12,1
2020,4,19,62,777,14,1
2020,4,20,64,919,14,1
2020,4,21,73,1020,14,1
2020,4,22,75,1071,14,1
2020,4,23,76,1140,14,1
2020,4,24,76,1173,14,1
2020,4,25,76,1173,14,1
2020,4,26,76,1173,14,1
2020,4,27,78,1329,14,1
2020,4,28,80,1397,14,1
2020,4,29,82,1397,14,1
2020,4,30,82,1508,14,1
2020,5,1,85,1605,14,1
2020,5,2,86,1605,38,1
2020,5,3,87,1605,38,1
2020,5,4,87,1605,38,2
2020,5,5,88,1605,38,2
2020,5,6,88,1605,38,2
2020,5,7,89,1907,52,2
2020,5,8,89,2035,62,2
2020,5,9,90,2035,66,2
2020,5,10,90,2035,67,2
2020,5,11,90,2035,67,2
2020,5,12,90,2035,68,2
2020,5,13,90,2383,70,2
2020,5,14,90,2383,74,2
2020,5,15,90,2383,76,2
2020,5,16,90,2383,77,2
2020,5,17,90,2383,79,2
2020,5,18,90,2383,79,2
2020,5,19,90,2383,81,2
2020,5,20,91,2754,81,2
2020,5,21,91,2754,82,2
2020,5,22,91,2754,82,2
2020,5,23,91,2754,82,2
2020,5,24,91,2754,82,2
2020,5,25,91,2754,82,2
2020,5,26,91,2754,84,2
2020,5,27,92,2545,84,2
2020,5,28,92,2545,85,2
2020,5,29,92,2545,86,2
2020,5,30,92,2545,88,2
2020,5,31,92,2545,88,2
2020,6,1,92,2545,88,2
2020,6,2,92,2545,88,2
2020,6,3,92,2898,89,2
2020,6,4,92,2898,89,2
2020,6,5,92,2898,89,2
2020,6,6,92,2898,89,2
2020,6,7,92,2898,89,2
2020,6,8,92,2898,89,2
2020,6,9,92,2898,89,2
2020,6,10,92,3240,89,2
2020,6,11,92,3240,89,2
2020,6,12,92,3240,89,2
2020,6,13,92,3240,90,2
2020,6,14,92,3240,90,2
2020,6,15,92,3240,90,2
2020,6,16,92,3240,90,2
2020,6,17,92,3491,90,2
2020,6,18,92,3491,90,2
2020,6,19,92,3491,90,2
2020,6,20,92,3491,90,2
2020,6,21,92,3491,90,2
2020,6,22,92,3491,90,2
2020,6,23,92,3491,90,2
2020,6,24,92,3760,90,2
2020,6,25,92,3760,90,2
2020,6,26,92,3760,90,2
2020,6,27,92,3760,90,2
2020,6,28,92,3760,90,2
2020,6,29,92,3760,90,2
2020,6,30,92,3760,90,2
2020,7,1,92,3943,90,2
2020,7,2,92,3943,90,2
2020,7,3,92,3943,90,2
2020,7,4,93,3943,90,2
2020,7,5,95,3943,90,2
2020,7,6,96,3943,90,2
2020,7,7,98,3943,90,2
2020,7,8,100,4383,90,2
2020,7,9,102,4383,90,2
2020,7,10,107,4383,90,2
2020,7,11,114,4383,90,2
2020,7,12,119,4383,90,2
2020,7,13,123,4383,91,2
2020,7,14,126,4383,91,2
2020,7,15,131,5045,92,2
2020,7,16,138,5045,98,2
2020,7,17,143,5045,100,2
2020,7,18,151,5045,103,2
2020,7,19,154,5045,103,2
2020,7,20,156,5045,105,2
