year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,11,0,0,0
2020,3,12,14,0,0,0
2020,3,13,14,0,0,0
2020,3,14,14,0,0,0
2020,3,15,14,0,0,0
2020,3,16,14,0,0,0
2020,3,17,20,0,0,0
2020,3,18,21,0,1,0
2020,3,19,21,647,1,0
2020,3,20,21,647,1,0
2020,3,21,26,647,2,0
2020,3,22,26,648,3,0
2020,3,23,26,786,3,0
2020,3,24,28,812,3,0
2020,3,25,29,845,3,0
2020,3,26,29,920,3,0
2020,3,27,29,977,7,0
2020,3,28,31,977,7,0
2020,3,29,31,977,7,0
2020,3,30,31,1024,7,0
2020,3,31,31,1061,10,0
2020,4,1,31,1061,10,0
2020,4,2,31,1139,10,0
2020,4,3,32,1248,11,0
2020,4,4,32,1248,11,0
2020,4,5,32,1248,11,0
2020,4,6,32,1345,11,0
2020,4,7,34,1413,15,0
2020,4,8,37,1462,17,0
2020,4,9,39,1462,17,0
2020,4,10,41,1587,24,0
2020,4,11,41,1587,24,0
2020,4,12,42,1587,24,0
2020,4,13,42,1670,25,0
2020,4,14,45,1787,25,0
2020,4,15,46,1874,25,0
2020,4,16,47,1910,29,0
2020,4,17,53,2024,29,0
2020,4,18,56,2024,29,0
2020,4,19,56,2024,29,0
2020,4,20,56,2107,29,0
2020,4,21,58,2217,29,0
2020,4,22,61,2283,32,0
2020,4,23,62,2354,32,0
2020,4,24,65,2491,32,0
2020,4,25,65,2491,32,0
2020,4,26,69,2491,32,0
2020,4,27,69,2578,32,0
2020,4,28,75,2775,32,0
2020,4,29,75,2775,32,0
2020,4,30,75,2903,32,0
2020,5,1,77,3044,32,0
2020,5,2,77,3044,32,0
2020,5,3,77,3044,32,0
2020,5,4,77,3044,32,0
2020,5,5,78,3044,32,0
2020,5,6,78,3044,32,0
2020,5,7,78,3238,32,0
2020,5,8,82,3345,46,0
2020,5,9,82,3345,46,0
2020,5,10,82,3396,47,0
2020,5,11,82,3402,50,0
2020,5,12,82,3533,50,0
2020,5,13,82,3570,51,0
2020,5,14,82,3605,51,0
2020,5,15,83,3710,60,0
2020,5,16,83,3710,60,0
2020,5,17,83,3710,60,0
2020,5,18,83,3762,64,0
2020,5,19,83,3843,64,0
2020,5,20,83,3874,67,0
2020,5,21,83,3902,68,0
2020,5,22,83,3994,69,0
2020,5,23,83,3994,69,0
2020,5,24,83,3994,69,0
2020,5,25,83,4030,74,0
2020,5,26,83,4085,74,0
2020,5,27,83,4104,75,0
2020,5,28,83,4121,75,0
2020,5,29,83,4157,77,0
2020,5,30,83,4174,77,0
2020,5,31,83,4180,77,0
2020,6,1,83,4180,79,0
2020,6,2,83,4216,81,0
2020,6,3,83,4262,81,0
2020,6,4,83,4291,81,0
2020,6,5,83,4334,81,0
2020,6,6,83,4334,81,0
2020,6,7,83,4334,81,0
2020,6,8,83,4392,81,0
2020,6,9,83,4428,81,0
2020,6,10,83,4465,81,0
2020,6,11,83,4507,81,0
2020,6,12,83,4553,81,0
2020,6,13,83,4553,81,0
2020,6,14,83,4553,81,0
2020,6,15,83,4595,81,0
2020,6,16,83,4627,81,0
2020,6,17,83,4657,81,0
2020,6,18,83,4686,81,0
2020,6,19,84,4711,81,0
2020,6,20,84,4711,81,0
2020,6,21,84,4711,81,0
2020,6,22,84,4764,81,0
2020,6,23,84,4799,81,0
2020,6,24,84,4815,81,0
2020,6,25,84,4842,81,0
2020,6,26,84,4860,81,0
2020,6,27,84,4860,81,0
2020,6,28,84,4860,81,0
2020,6,29,84,4913,82,0
2020,6,30,84,4936,82,0
2020,7,1,84,4987,82,0
2020,7,2,84,5020,83,0
2020,7,3,84,5054,83,0
2020,7,4,84,5054,83,0
2020,7,5,84,5054,83,0
2020,7,6,85,5098,83,0
2020,7,7,85,5137,83,0
2020,7,8,86,5170,83,0
2020,7,9,86,5212,83,0
2020,7,10,86,5253,83,0
2020,7,11,87,5285,83,0
2020,7,12,87,5290,83,0
2020,7,13,87,5305,83,0
2020,7,14,87,5365,83,0
2020,7,15,89,5419,83,0
2020,7,16,89,5484,83,0
2020,7,17,89,5578,83,0
2020,7,18,89,5578,83,0
2020,7,19,89,5578,83,0
2020,7,20,90,5716,84,0
