year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,1,137,0,0
2020,3,12,1,138,0,0
2020,3,13,1,148,0,0
2020,3,14,1,148,0,0
2020,3,15,1,148,0,0
2020,3,16,1,153,0,0
2020,3,17,1,155,0,0
2020,3,18,1,163,1,0
2020,3,19,3,167,1,0
2020,3,20,8,175,1,0
2020,3,21,13,175,1,0
2020,3,22,17,175,1,0
2020,3,23,17,356,1,0
2020,3,24,18,743,1,0
2020,3,25,25,1171,1,0
2020,3,26,25,1389,1,0
2020,3,27,25,1489,1,0
2020,3,28,27,1489,1,0
2020,3,29,28,1489,1,0
2020,3,30,28,1626,1,0
2020,3,31,29,1647,1,0
2020,4,1,29,1647,1,0
2020,4,2,30,1710,1,0
2020,4,3,31,1739,6,0
2020,4,4,31,1739,6,0
2020,4,5,31,1739,6,0
2020,4,6,32,1843,8,0
2020,4,7,32,1862,8,0
2020,4,8,41,1907,8,0
2020,4,9,41,2035,10,0
2020,4,10,42,2070,10,0
2020,4,11,42,2070,10,0
2020,4,12,42,2070,10,0
2020,4,13,43,2161,10,0
2020,4,14,43,2172,13,0
2020,4,15,50,2239,13,0
2020,4,16,50,2325,17,1
2020,4,17,54,2399,17,1
2020,4,18,54,2426,17,1
2020,4,19,54,2426,18,1
2020,4,20,55,2657,19,1
2020,4,21,60,2691,19,1
2020,4,22,60,2752,19,1
2020,4,23,60,2910,26,1
2020,4,24,60,2910,26,1
2020,4,25,60,2910,26,1
2020,4,26,60,2910,26,1
2020,4,27,60,3039,27,1
2020,4,28,60,3065,27,1
2020,4,29,60,3065,28,1
2020,4,30,60,3157,30,1
2020,5,1,60,3175,31,1
2020,5,2,60,3175,31,1
2020,5,3,60,3175,32,1
2020,5,4,60,3175,32,1
2020,5,5,60,3175,33,1
2020,5,6,60,3175,33,1
2020,5,7,60,3349,33,1
2020,5,8,60,3382,51,1
2020,5,9,60,3415,51,1
2020,5,10,60,3482,52,1
2020,5,11,60,3499,54,1
2020,5,12,60,3540,54,1
2020,5,13,60,3590,55,1
2020,5,14,60,3590,55,1
2020,5,15,60,3644,56,1
2020,5,16,60,3668,56,1
2020,5,17,60,3677,56,1
2020,5,18,60,3692,56,1
2020,5,19,60,3728,56,1
2020,5,20,60,3761,57,1
2020,5,21,60,3776,57,1
2020,5,22,60,3801,57,1
2020,5,23,60,3828,57,1
2020,5,24,60,3836,57,1
2020,5,25,60,3847,57,1
2020,5,26,60,3877,57,1
2020,5,27,60,3908,58,1
2020,5,28,60,3927,58,1
2020,5,29,60,3963,58,1
2020,5,30,60,3980,58,1
2020,5,31,60,3988,58,1
2020,6,1,60,4003,58,1
2020,6,2,60,4050,58,1
2020,6,3,60,4081,58,1
2020,6,4,60,4127,58,1
2020,6,5,60,4169,58,1
2020,6,6,60,4202,58,1
2020,6,7,60,4217,58,1
2020,6,8,60,4231,58,1
2020,6,9,60,4278,59,1
2020,6,10,60,4309,59,1
2020,6,11,60,4342,59,1
2020,6,12,60,4364,59,1
2020,6,13,60,4400,59,1
2020,6,14,60,4409,59,1
2020,6,15,60,4421,59,1
2020,6,16,60,4462,59,1
2020,6,17,60,4500,59,1
2020,6,18,60,4531,59,1
2020,6,19,60,4556,59,1
2020,6,20,60,4583,59,1
2020,6,21,60,4592,59,1
2020,6,22,60,4614,59,1
2020,6,23,60,4663,59,1
2020,6,24,60,4691,59,1
2020,6,25,60,4748,59,1
2020,6,26,60,4772,59,1
2020,6,27,60,4803,59,1
2020,6,28,60,4807,59,1
2020,6,29,60,4834,59,1
2020,6,30,60,4883,59,1
2020,7,1,60,4930,59,1
2020,7,2,60,4977,59,1
2020,7,3,60,5018,59,1
2020,7,4,60,5039,59,1
2020,7,5,60,5041,59,1
2020,7,6,60,5080,59,1
2020,7,7,60,5131,59,1
2020,7,8,60,5219,59,1
2020,7,9,60,5280,59,1
2020,7,10,60,5313,59,1
2020,7,11,60,5325,59,1
2020,7,12,60,5331,59,1
2020,7,13,60,5390,59,1
2020,7,14,60,5457,59,1
2020,7,15,60,5522,59,1
2020,7,16,60,5589,59,1
2020,7,17,60,5644,59,1
2020,7,18,60,5675,59,1
2020,7,19,60,5689,59,1
2020,7,20,60,5729,59,1
