year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,125,0,0
2020,3,12,0,141,0,0
2020,3,13,0,141,0,0
2020,3,14,0,141,0,0
2020,3,15,0,141,0,0
2020,3,16,0,160,0,0
2020,3,17,0,166,0,0
2020,3,18,0,175,0,0
2020,3,19,0,181,0,0
2020,3,20,0,181,0,0
2020,3,21,0,181,0,0
2020,3,22,1,181,0,0
2020,3,23,1,206,0,0
2020,3,24,1,219,0,0
2020,3,25,1,233,0,0
2020,3,26,1,243,0,0
2020,3,27,2,251,0,0
2020,3,28,3,251,0,0
2020,3,29,3,251,0,0
2020,3,30,4,309,0,0
2020,3,31,4,321,0,0
2020,4,1,4,321,0,0
2020,4,2,7,365,0,0
2020,4,3,9,390,0,0
2020,4,4,10,390,0,0
2020,4,5,11,390,0,0
2020,4,6,11,479,0,0
2020,4,7,12,496,0,0
2020,4,8,15,534,0,0
2020,4,9,16,564,0,0
2020,4,10,16,595,1,0
2020,4,11,16,595,1,0
2020,4,12,16,595,1,0
2020,4,13,16,669,1,0
2020,4,14,16,688,1,0
2020,4,15,16,722,1,0
2020,4,16,18,748,1,0
2020,4,17,18,775,1,0
2020,4,18,18,775,3,0
2020,4,19,19,887,3,0
2020,4,20,19,930,4,0
2020,4,21,19,992,4,0
2020,4,22,19,992,4,0
2020,4,23,19,1015,5,0
2020,4,24,20,1041,5,0
2020,4,25,21,1041,5,0
2020,4,26,22,1041,5,0
2020,4,27,22,1129,5,0
2020,4,28,22,1141,5,0
2020,4,29,23,1141,5,0
2020,4,30,23,1196,10,0
2020,5,1,23,1131,10,0
2020,5,2,23,1131,10,0
2020,5,3,23,1131,10,0
2020,5,4,23,1131,10,0
2020,5,5,23,1131,10,0
2020,5,6,23,1131,10,0
2020,5,7,23,1303,11,0
2020,5,8,23,1321,15,0
2020,5,9,24,1344,15,0
2020,5,10,24,1372,15,0
2020,5,11,24,1377,18,0
2020,5,12,25,1397,18,0
2020,5,13,25,1434,21,0
2020,5,14,25,1466,21,0
2020,5,15,25,1483,23,0
2020,5,16,25,1536,23,0
2020,5,17,25,1555,23,0
2020,5,18,25,1560,23,0
2020,5,19,25,1570,23,0
2020,5,20,25,1589,24,0
2020,5,21,25,1607,25,0
2020,5,22,25,1621,25,0
2020,5,23,25,1643,25,0
2020,5,24,25,1646,25,0
2020,5,25,25,1646,25,0
2020,5,26,25,1655,25,0
2020,5,27,25,1664,25,0
2020,5,28,25,1677,25,0
2020,5,29,25,1689,25,0
2020,5,30,25,1698,25,0
2020,5,31,25,1705,25,0
2020,6,1,25,1709,25,0
2020,6,2,25,1716,25,0
2020,6,3,25,1731,25,0
2020,6,4,25,1738,25,0
2020,6,5,25,1747,25,0
2020,6,6,25,1757,25,0
2020,6,7,25,1771,25,0
2020,6,8,25,1774,25,0
2020,6,9,25,1780,25,0
2020,6,10,25,1790,25,0
2020,6,11,25,1800,25,0
2020,6,12,25,1809,25,0
2020,6,13,25,1817,25,0
2020,6,14,25,1827,25,0
2020,6,15,25,1833,25,0
2020,6,16,25,1836,25,0
2020,6,17,25,1849,25,0
2020,6,18,25,1853,25,0
2020,6,19,25,1860,25,0
2020,6,20,25,1863,25,0
2020,6,21,25,1863,25,0
2020,6,22,25,1865,25,0
2020,6,23,25,1870,25,0
2020,6,24,26,1882,25,0
2020,6,25,26,1891,25,0
2020,6,26,26,1900,25,0
2020,6,27,26,1906,25,0
2020,6,28,26,1920,25,0
2020,6,29,26,1926,25,0
2020,6,30,26,1935,25,0
2020,7,1,26,1943,25,0
2020,7,2,28,1954,25,0
2020,7,3,28,1964,26,0
2020,7,4,28,1976,26,0
2020,7,5,28,1983,26,0
2020,7,6,28,1988,26,0
2020,7,7,28,1999,26,0
2020,7,8,28,2014,26,0
2020,7,9,28,2026,26,0
2020,7,10,28,2031,26,0
2020,7,11,28,2031,26,0
2020,7,12,28,2038,26,0
2020,7,13,28,2046,26,0
2020,7,14,28,2056,26,0
2020,7,15,30,2066,28,0
2020,7,16,32,2094,28,0
2020,7,17,34,2140,28,0
2020,7,18,36,2286,28,0
2020,7,19,41,2341,28,0
2020,7,20,43,2369,30,0
