year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,3,190,0,0
2020,3,12,3,196,0,0
2020,3,13,3,198,0,0
2020,3,14,3,198,0,0
2020,3,15,3,198,0,0
2020,3,16,3,210,0,0
2020,3,17,3,217,0,0
2020,3,18,3,230,2,0
2020,3,19,3,238,2,0
2020,3,20,3,238,2,0
2020,3,21,3,238,2,0
2020,3,22,3,238,2,0
2020,3,23,3,263,2,0
2020,3,24,4,271,2,0
2020,3,25,4,271,2,0
2020,3,26,4,285,2,0
2020,3,27,6,303,2,0
2020,3,28,6,303,2,0
2020,3,29,8,303,2,0
2020,3,30,9,332,2,0
2020,3,31,9,356,2,0
2020,4,1,9,356,2,0
2020,4,2,9,399,2,0
2020,4,3,9,430,2,0
2020,4,4,9,430,2,0
2020,4,5,9,430,2,0
2020,4,6,15,480,2,0
2020,4,7,27,521,2,0
2020,4,8,32,588,3,0
2020,4,9,42,619,3,0
2020,4,10,49,680,3,0
2020,4,11,49,680,3,0
2020,4,12,66,680,3,0
2020,4,13,72,816,3,0
2020,4,14,76,856,3,0
2020,4,15,86,931,3,0
2020,4,16,86,1025,6,1
2020,4,17,101,1030,6,1
2020,4,18,101,1030,6,1
2020,4,19,110,1213,6,1
2020,4,20,121,1292,11,3
2020,4,21,125,1420,11,3
2020,4,22,130,1583,11,3
2020,4,23,132,1589,11,3
2020,4,24,133,1715,11,4
2020,4,25,133,1715,11,4
2020,4,26,133,1715,11,4
2020,4,27,137,1896,23,4
2020,4,28,141,1918,24,4
2020,4,29,141,1918,24,4
2020,4,30,142,2113,24,4
2020,5,1,142,2155,24,4
2020,5,2,142,2211,24,4
2020,5,3,142,2211,24,4
2020,5,4,142,2211,24,4
2020,5,5,142,2211,24,4
2020,5,6,142,2312,24,4
2020,5,7,142,2366,24,4
2020,5,8,142,2403,82,5
2020,5,9,142,2403,82,5
2020,5,10,142,2483,92,5
2020,5,11,142,2511,96,5
2020,5,12,142,2535,106,6
2020,5,13,142,2608,111,6
2020,5,14,142,2643,115,6
2020,5,15,142,2643,115,6
2020,5,16,142,2693,124,6
2020,5,17,142,2724,123,6
2020,5,18,142,2735,125,6
2020,5,19,142,2752,127,6
2020,5,20,142,2773,130,6
2020,5,21,142,2795,131,6
2020,5,22,142,2806,132,6
2020,5,23,142,2806,132,6
2020,5,24,142,2821,133,6
2020,5,25,142,2826,134,6
2020,5,26,142,2829,135,6
2020,5,27,142,2836,135,6
2020,5,28,142,2843,136,6
2020,5,29,142,2847,136,6
2020,5,30,142,2852,137,6
2020,5,31,142,2863,137,6
2020,6,1,142,2870,137,6
2020,6,2,142,2872,137,6
2020,6,3,142,2880,137,7
2020,6,4,142,2895,137,7
2020,6,5,142,2908,137,7
2020,6,6,142,2908,137,7
2020,6,7,142,2908,137,7
2020,6,8,142,2908,137,7
2020,6,9,142,2925,139,7
2020,6,10,142,2930,139,7
2020,6,11,142,2935,139,7
2020,6,12,142,2940,139,7
2020,6,13,142,2949,139,7
2020,6,14,142,2957,139,7
2020,6,15,142,2962,139,7
2020,6,16,142,2966,139,7
2020,6,17,142,2976,139,7
2020,6,18,142,2983,139,7
2020,6,19,142,2986,139,7
2020,6,20,142,2986,139,7
2020,6,21,142,2986,139,7
2020,6,22,142,3000,139,7
2020,6,23,142,3000,139,7
2020,6,24,142,3003,139,7
2020,6,25,142,3004,139,7
2020,6,26,142,3012,139,7
2020,6,27,142,3012,139,7
2020,6,28,142,3015,139,7
2020,6,29,142,3016,139,7
2020,6,30,142,3019,139,7
2020,7,1,142,3023,139,7
2020,7,2,142,3028,139,7
2020,7,3,142,3037,139,7
2020,7,4,142,3037,139,7
2020,7,5,142,3037,139,7
2020,7,6,142,3047,139,7
2020,7,7,142,3047,139,7
2020,7,8,144,3062,139,7
2020,7,9,145,3062,139,7
2020,7,10,145,3097,139,7
2020,7,11,148,3097,139,7
2020,7,12,148,3097,139,7
2020,7,13,148,3177,139,7
2020,7,14,148,3326,141,7
2020,7,15,148,3381,141,7
2020,7,16,149,3414,141,7
2020,7,17,149,3457,141,7
2020,7,18,149,3457,142,7
2020,7,19,151,3457,142,7
2020,7,20,153,3655,142,7
