year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,80,0,0,0
2020,3,12,89,0,0,0
2020,3,13,92,0,0,0
2020,3,14,102,0,0,0
2020,3,15,106,0,0,0
2020,3,16,108,0,0,0
2020,3,17,112,0,0,0
2020,3,18,117,0,22,0
2020,3,19,119,0,22,1
2020,3,20,123,0,22,1
2020,3,21,125,0,26,1
2020,3,22,131,0,26,2
2020,3,23,134,0,27,2
2020,3,24,142,169,27,2
2020,3,25,149,250,37,2
2020,3,26,156,362,41,2
2020,3,27,176,501,41,2
2020,3,28,191,532,48,2
2020,3,29,208,553,48,2
2020,3,30,216,630,48,2
2020,3,31,244,630,70,2
2020,4,1,278,630,70,2
2020,4,2,311,1149,71,2
2020,4,3,346,1251,73,2
2020,4,4,387,1292,80,2
2020,4,5,408,1311,82,3
2020,4,6,428,1751,83,3
2020,4,7,481,1792,83,3
2020,4,8,524,1792,116,6
2020,4,9,616,1792,118,6
2020,4,10,696,2133,121,6
2020,4,11,766,2362,121,6
2020,4,12,811,2362,127,6
2020,4,13,835,3073,147,6
2020,4,14,894,3140,152,7
2020,4,15,968,3504,155,8
2020,4,16,1020,3903,175,8
2020,4,17,1075,4373,182,9
2020,4,18,1163,4383,220,10
2020,4,19,1211,4535,233,12
2020,4,20,1295,4938,233,13
2020,4,21,1349,5368,233,13
2020,4,22,1380,5798,246,17
2020,4,23,1415,6346,246,19
2020,4,24,1446,6895,246,25
2020,4,25,1475,6900,246,27
2020,4,26,1491,6937,252,27
2020,4,27,1521,7380,260,32
2020,4,28,1553,7799,274,36
2020,4,29,1597,8186,281,37
2020,4,30,1625,8965,551,41
2020,5,1,1639,12492,555,44
2020,5,2,1656,12492,557,45
2020,5,3,1666,12492,575,49
2020,5,4,1679,12492,576,52
2020,5,5,1686,12492,576,52
2020,5,6,1698,12492,629,56
2020,5,7,1706,14939,674,59
2020,5,8,1716,17308,978,59
2020,5,9,1732,17308,990,59
2020,5,10,1743,17308,1031,59
2020,5,11,1744,17308,1068,61
2020,5,12,1750,17308,1101,61
2020,5,13,1762,17885,1176,62
2020,5,14,1765,18416,1228,63
2020,5,15,1768,18932,1256,66
2020,5,16,1770,18932,1265,70
2020,5,17,1768,25638,1281,70
2020,5,18,1771,25983,1294,70
2020,5,19,1774,25983,1294,70
2020,5,20,1777,26485,1323,71
2020,5,21,1780,27552,1399,76
2020,5,22,1781,27552,1399,76
2020,5,23,1781,28565,1449,78
2020,5,24,1781,28565,1449,78
2020,5,25,1781,29006,1480,78
2020,5,26,1781,29307,1502,80
2020,5,27,1782,29739,1525,80
2020,5,28,1782,30162,1539,82
2020,5,29,1782,30162,1539,82
2020,5,30,1782,30951,1552,83
2020,5,31,1783,31156,1565,83
2020,6,1,1783,31276,1594,83
2020,6,2,1783,31646,1602,84
2020,6,3,1783,31646,1602,84
2020,6,4,1783,32063,1610,84
2020,6,5,1783,32461,1617,84
2020,6,6,1784,33273,1628,84
2020,6,7,1785,33273,1628,84
2020,6,8,1784,33273,1628,84
2020,6,9,1785,33639,1635,84
2020,6,10,1785,34037,1646,84
2020,6,11,1786,34423,1655,85
2020,6,12,1786,34808,1663,85
2020,6,13,1786,35176,1668,85
2020,6,14,1787,35176,1668,85
2020,6,15,1786,35176,1668,85
2020,6,16,1790,35807,1675,86
2020,6,17,1794,36124,1677,86
2020,6,18,1798,36520,1680,86
2020,6,19,1800,36938,1681,86
2020,6,20,1806,37550,1681,86
2020,6,21,1809,37550,1681,86
2020,6,22,1806,37550,1681,86
2020,6,23,1809,37925,1684,86
2020,6,24,1811,38259,1687,86
2020,6,25,1812,38699,1693,86
2020,6,26,1814,39103,1696,86
2020,6,27,1816,39556,1699,86
2020,6,28,1821,39970,1705,86
2020,6,29,1828,39970,1705,86
2020,6,30,1833,39970,1705,86
2020,7,1,1843,41251,1712,86
2020,7,2,1851,41726,1714,86
2020,7,3,1862,41726,1714,86
2020,7,4,1879,41726,1714,86
2020,7,5,1885,43039,1723,86
2020,7,6,1893,43319,1730,86
2020,7,7,1905,43972,1742,86
2020,7,8,1915,43972,1742,86
2020,7,9,1945,44724,1750,86
2020,7,10,1967,45469,1763,86
2020,7,11,1995,46112,1777,86
2020,7,12,2027,46112,1777,86
2020,7,13,2045,46112,1806,86
2020,7,14,2065,47608,1806,86
2020,7,15,2126,48476,1826,86
2020,7,16,2126,49535,1830,86
2020,7,17,2245,51997,1873,86
2020,7,18,2245,51997,1873,86
2020,7,19,2245,51997,1873,86
2020,7,20,2469,54929,1931,86
