year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,47,0,0
2020,3,12,0,50,0,0
2020,3,13,1,52,0,0
2020,3,14,1,52,0,0
2020,3,15,1,52,0,0
2020,3,16,1,82,0,0
2020,3,17,1,85,0,0
2020,3,18,1,91,0,0
2020,3,19,1,100,0,0
2020,3,20,1,102,0,0
2020,3,21,1,102,0,0
2020,3,22,1,103,0,0
2020,3,23,1,111,0,0
2020,3,24,1,115,0,0
2020,3,25,1,121,0,0
2020,3,26,1,124,0,0
2020,3,27,1,129,0,0
2020,3,28,1,129,0,0
2020,3,29,1,130,0,0
2020,3,30,1,137,0,0
2020,3,31,2,150,0,0
2020,4,1,4,150,0,0
2020,4,2,4,153,0,0
2020,4,3,5,184,0,0
2020,4,4,6,184,0,0
2020,4,5,8,189,1,0
2020,4,6,8,223,1,0
2020,4,7,9,245,1,0
2020,4,8,11,271,1,0
2020,4,9,11,334,1,0
2020,4,10,12,356,1,0
2020,4,11,12,367,1,0
2020,4,12,13,367,1,0
2020,4,13,13,405,1,0
2020,4,14,15,422,1,0
2020,4,15,15,451,1,0
2020,4,16,15,489,1,0
2020,4,17,16,513,1,0
2020,4,18,16,583,1,0
2020,4,19,17,587,1,0
2020,4,20,17,587,1,0
2020,4,21,17,602,1,0
2020,4,22,18,636,2,0
2020,4,23,21,682,2,0
2020,4,24,32,711,6,0
2020,4,25,36,711,6,0
2020,4,26,36,750,6,0
2020,4,27,36,912,6,0
2020,4,28,37,930,6,0
2020,4,29,38,950,6,0
2020,4,30,41,1027,7,0
2020,5,1,42,1077,7,0
2020,5,2,42,1077,7,0
2020,5,3,44,1077,9,0
2020,5,4,44,1077,10,0
2020,5,5,45,1077,10,0
2020,5,6,45,1077,10,0
2020,5,7,45,1143,10,0
2020,5,8,45,1209,20,0
2020,5,9,45,1219,21,0
2020,5,10,45,1226,22,0
2020,5,11,45,1235,23,0
2020,5,12,45,1265,23,0
2020,5,13,46,1281,27,0
2020,5,14,46,1285,27,0
2020,5,15,46,1301,29,0
2020,5,16,47,1310,29,0
2020,5,17,47,1317,30,0
2020,5,18,47,1320,30,0
2020,5,19,47,1339,31,0
2020,5,20,47,1354,31,0
2020,5,21,47,1361,32,0
2020,5,22,47,1372,32,0
2020,5,23,47,1376,33,0
2020,5,24,47,1377,33,0
2020,5,25,47,1377,34,0
2020,5,26,47,1386,35,0
2020,5,27,47,1389,35,0
2020,5,28,47,1398,35,0
2020,5,29,47,1407,37,0
2020,5,30,47,1410,37,0
2020,5,31,47,1417,37,0
2020,6,1,47,1418,42,0
2020,6,2,47,1428,45,0
2020,6,3,47,1443,45,0
2020,6,4,47,1449,45,0
2020,6,5,47,1467,45,0
2020,6,6,47,1482,45,0
2020,6,7,47,1483,45,0
2020,6,8,47,1487,45,0
2020,6,9,47,1505,45,0
2020,6,10,47,1513,45,0
2020,6,11,47,1523,47,0
2020,6,12,47,1531,47,0
2020,6,13,47,1540,47,0
2020,6,14,47,1552,47,0
2020,6,15,47,1559,47,0
2020,6,16,47,1568,47,0
2020,6,17,47,1575,47,0
2020,6,18,47,1579,47,0
2020,6,19,47,1588,47,0
2020,6,20,47,1592,47,0
2020,6,21,47,1592,47,0
2020,6,22,47,1595,47,0
2020,6,23,47,1600,47,0
2020,6,24,47,1603,47,0
2020,6,25,47,1605,47,0
2020,6,26,47,1609,47,0
2020,6,27,47,1611,47,0
2020,6,28,47,1615,47,0
2020,6,29,47,1618,47,0
2020,6,30,47,1625,47,0
2020,7,1,47,1625,47,0
2020,7,2,47,1649,47,0
2020,7,3,47,1659,47,0
2020,7,4,47,1665,47,0
2020,7,5,47,1666,47,0
2020,7,6,47,1668,47,0
2020,7,7,47,1677,47,0
2020,7,8,47,1682,47,0
2020,7,9,47,1686,47,0
2020,7,10,47,1690,47,0
2020,7,11,47,1697,47,0
2020,7,12,47,1700,47,0
2020,7,13,47,1703,47,0
2020,7,14,47,1725,47,0
2020,7,15,47,1738,47,0
2020,7,16,47,1747,47,0
2020,7,17,47,1766,47,0
2020,7,18,47,1774,47,0
2020,7,19,47,1781,47,0
2020,7,20,48,1789,47,0
