year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,12,264,0,0
2020,3,12,18,440,0,0
2020,3,13,21,440,0,0
2020,3,14,28,440,0,0
2020,3,15,28,440,0,0
2020,3,16,28,584,0,0
2020,3,17,33,614,0,0
2020,3,18,34,646,4,0
2020,3,19,38,684,4,0
2020,3,20,41,684,6,0
2020,3,21,44,684,7,0
2020,3,22,50,684,10,1
2020,3,23,51,875,11,1
2020,3,24,58,898,11,1
2020,3,25,59,901,12,1
2020,3,26,66,1033,13,1
2020,3,27,72,1104,13,2
2020,3,28,78,1104,15,3
2020,3,29,83,1105,15,3
2020,3,30,84,1249,15,3
2020,3,31,98,1293,15,3
2020,4,1,101,1293,20,4
2020,4,2,113,1476,21,4
2020,4,3,131,1547,23,4
2020,4,4,153,1547,23,4
2020,4,5,174,1550,23,4
2020,4,6,195,1647,23,4
2020,4,7,209,1776,23,4
2020,4,8,242,1839,23,4
2020,4,9,271,1934,25,5
2020,4,10,325,1973,25,5
2020,4,11,345,2216,25,5
2020,4,12,386,2216,26,5
2020,4,13,414,2415,26,5
2020,4,14,433,3056,27,7
2020,4,15,479,3635,28,7
2020,4,16,535,3836,32,9
2020,4,17,575,3836,32,9
2020,4,18,610,3836,32,9
2020,4,19,642,4618,32,9
2020,4,20,662,4732,32,9
2020,4,21,681,5119,32,9
2020,4,22,714,5432,34,10
2020,4,23,753,5630,34,14
2020,4,24,767,5889,34,15
2020,4,25,786,6110,34,15
2020,4,26,806,6256,36,15
2020,4,27,823,6368,42,15
2020,4,28,828,7007,42,15
2020,4,29,843,7007,49,15
2020,4,30,851,7818,49,17
2020,5,1,857,8050,52,17
2020,5,2,878,8778,52,17
2020,5,3,888,8939,54,25
2020,5,4,888,8939,54,26
2020,5,5,901,9243,60,27
2020,5,6,909,9324,62,27
2020,5,7,922,9456,73,28
2020,5,8,946,11394,514,41
2020,5,9,962,11661,525,41
2020,5,10,967,11917,548,42
2020,5,11,969,12884,616,42
2020,5,12,970,13327,642,43
2020,5,13,973,14266,674,44
2020,5,14,977,14908,691,45
2020,5,15,979,15348,730,45
2020,5,16,984,15430,742,46
2020,5,17,988,15507,750,46
2020,5,18,991,16277,763,46
2020,5,19,991,16890,802,46
2020,5,20,996,17335,812,46
2020,5,21,997,17759,831,46
2020,5,22,998,18101,842,46
2020,5,23,999,18160,848,46
2020,5,24,999,18197,852,46
2020,5,25,999,18686,865,47
2020,5,26,1000,19092,870,47
2020,5,27,1000,19289,875,47
2020,5,28,1002,20156,882,47
2020,5,29,1004,20623,888,48
2020,5,30,1003,20686,890,48
2020,5,31,1003,20735,888,48
2020,6,1,1003,20933,896,48
2020,6,2,1003,21810,905,48
2020,6,3,1005,22228,909,49
2020,6,4,1005,22634,912,50
2020,6,5,1006,23184,918,51
2020,6,6,1007,23212,920,51
2020,6,7,1007,23291,920,51
2020,6,8,1007,23877,920,51
2020,6,9,1008,24572,928,51
2020,6,10,1014,25132,929,51
2020,6,11,1017,25662,936,51
2020,6,12,1019,26579,941,51
2020,6,13,1019,26614,943,51
2020,6,14,1021,26670,943,51
2020,6,15,1021,27215,947,52
2020,6,16,1022,28059,950,52
2020,6,17,1023,28344,951,52
2020,6,18,1025,29050,951,52
2020,6,19,1027,29886,941,65
2020,6,20,1031,29928,941,65
2020,6,21,1038,29958,941,65
2020,6,22,1042,30832,941,65
2020,6,23,1054,31321,942,65
2020,6,24,1063,32115,946,65
2020,6,25,1074,32451,947,65
2020,6,26,1090,33065,950,65
2020,6,27,1101,33141,950,65
2020,6,28,1109,33238,951,65
2020,6,29,1122,33985,954,65
2020,6,30,1132,34582,958,65
2020,7,1,1146,35516,960,65
2020,7,2,1165,36009,969,65
2020,7,3,1191,37440,976,65
2020,7,4,1218,37535,978,65
2020,7,5,1239,37659,984,65
2020,7,6,1255,38502,1007,66
2020,7,7,1282,40308,1016,67
2020,7,8,1330,41312,1032,67
2020,7,9,1352,42105,1041,67
2020,7,10,1396,42723,1060,67
2020,7,11,1431,42988,1083,67
2020,7,12,1462,43157,1087,67
2020,7,13,1488,43923,1103,67
2020,7,14,1530,46737,1129,67
2020,7,15,1568,47612,1144,67
2020,7,16,1617,48560,1161,67
2020,7,17,1668,50480,1192,67
2020,7,18,1668,50480,1192,67
2020,7,19,1754,50742,1247,67
2020,7,20,1783,51993,1292,69
