year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,1,88,0,0
2020,3,12,1,91,0,0
2020,3,13,1,99,0,0
2020,3,14,1,99,0,0
2020,3,15,2,99,0,0
2020,3,16,3,107,0,0
2020,3,17,4,124,0,0
2020,3,18,4,140,0,0
2020,3,19,4,144,0,0
2020,3,20,4,144,0,0
2020,3,21,4,144,0,0
2020,3,22,4,144,0,0
2020,3,23,5,168,1,0
2020,3,24,5,173,1,0
2020,3,25,5,176,1,0
2020,3,26,6,176,1,0
2020,3,27,6,196,1,0
2020,3,28,6,197,1,0
2020,3,29,6,197,1,0
2020,3,30,6,217,1,0
2020,3,31,7,232,2,0
2020,4,1,8,232,3,0
2020,4,2,8,259,3,0
2020,4,3,14,293,3,0
2020,4,4,17,293,3,0
2020,4,5,18,293,3,0
2020,4,6,18,334,3,0
2020,4,7,18,379,3,0
2020,4,8,24,409,3,0
2020,4,9,26,453,3,0
2020,4,10,34,487,3,0
2020,4,11,38,487,3,0
2020,4,12,38,487,3,0
2020,4,13,40,552,5,0
2020,4,14,51,599,5,0
2020,4,15,52,636,5,0
2020,4,16,57,715,8,1
2020,4,17,68,760,10,1
2020,4,18,70,760,10,1
2020,4,19,71,760,10,1
2020,4,20,72,776,13,1
2020,4,21,76,937,13,1
2020,4,22,88,971,13,1
2020,4,23,92,1067,13,1
2020,4,24,93,1141,13,1
2020,4,25,94,1141,22,1
2020,4,26,94,1141,22,1
2020,4,27,94,1209,22,1
2020,4,28,94,1246,22,1
2020,4,29,96,1246,35,1
2020,4,30,96,1289,35,1
2020,5,1,96,1314,35,1
2020,5,2,96,1314,35,1
2020,5,3,96,1314,35,1
2020,5,4,96,1314,35,1
2020,5,5,98,1314,36,1
2020,5,6,98,1314,36,1
2020,5,7,98,1378,52,1
2020,5,8,97,1419,60,1
2020,5,9,97,1444,65,1
2020,5,10,97,1456,66,1
2020,5,11,97,1462,67,1
2020,5,12,97,1490,72,1
2020,5,13,97,1490,76,1
2020,5,14,97,1529,77,1
2020,5,15,98,1556,77,1
2020,5,16,99,1582,78,1
2020,5,17,99,1596,78,1
2020,5,18,99,1599,79,1
2020,5,19,99,1623,81,1
2020,5,20,99,1649,80,1
2020,5,21,99,1668,83,1
2020,5,22,99,1686,83,1
2020,5,23,100,1714,83,1
2020,5,24,100,1718,87,1
2020,5,25,100,1721,89,1
2020,5,26,100,1743,89,1
2020,5,27,100,1776,89,1
2020,5,28,100,1804,89,1
2020,5,29,100,1822,91,1
2020,5,30,100,1852,91,1
2020,5,31,100,1856,91,1
2020,6,1,100,1859,91,1
2020,6,2,100,1874,91,1
2020,6,3,100,1896,92,1
2020,6,4,100,1911,94,1
2020,6,5,100,1931,94,1
2020,6,6,100,1957,97,1
2020,6,7,100,1967,97,1
2020,6,8,100,1970,97,1
2020,6,9,100,1978,97,1
2020,6,10,100,2003,97,1
2020,6,11,100,2024,97,1
2020,6,12,100,2039,97,1
2020,6,13,100,2077,98,1
2020,6,14,100,2089,98,1
2020,6,15,100,2091,98,1
2020,6,16,100,2099,98,1
2020,6,17,100,2133,98,1
2020,6,18,101,2148,98,1
2020,6,19,101,2172,98,1
2020,6,20,101,2212,98,1
2020,6,21,101,2214,98,1
2020,6,22,101,2239,98,1
2020,6,23,101,2244,98,1
2020,6,24,101,2270,98,1
2020,6,25,101,2285,98,1
2020,6,26,101,2310,99,1
2020,6,27,101,2340,99,1
2020,6,28,101,2344,99,1
2020,6,29,101,2345,99,1
2020,6,30,101,2353,99,1
2020,7,1,103,2379,99,1
2020,7,2,103,2409,99,1
2020,7,3,103,2471,99,1
2020,7,4,103,2524,99,1
2020,7,5,103,2527,99,1
2020,7,6,103,2527,99,1
2020,7,7,103,2566,99,1
2020,7,8,104,2593,99,1
2020,7,9,104,2626,99,1
2020,7,10,104,2677,99,1
2020,7,11,104,2735,100,1
2020,7,12,106,2737,100,1
2020,7,13,106,2742,100,1
2020,7,14,106,2847,100,1
2020,7,15,107,3026,101,1
2020,7,16,108,3131,101,1
2020,7,17,109,3177,103,1
2020,7,18,109,3285,103,1
2020,7,19,110,3296,103,1
2020,7,20,111,3310,103,1
