year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,64,0,0
2020,3,12,0,76,0,0
2020,3,13,0,80,0,0
2020,3,14,0,80,0,0
2020,3,15,0,80,0,0
2020,3,16,0,82,0,0
2020,3,17,0,84,0,0
2020,3,18,0,86,0,0
2020,3,19,0,91,0,0
2020,3,20,0,91,0,0
2020,3,21,0,92,0,0
2020,3,22,0,95,0,0
2020,3,23,0,101,0,0
2020,3,24,0,105,0,0
2020,3,25,0,106,0,0
2020,3,26,0,109,0,0
2020,3,27,0,117,0,0
2020,3,28,0,121,0,0
2020,3,29,0,128,0,0
2020,3,30,0,130,0,0
2020,3,31,0,136,0,0
2020,4,1,0,136,0,0
2020,4,2,0,152,0,0
2020,4,3,0,158,0,0
2020,4,4,0,161,0,0
2020,4,5,0,163,0,0
2020,4,6,0,166,0,0
2020,4,7,0,170,0,0
2020,4,8,0,185,0,0
2020,4,9,1,191,0,0
2020,4,10,2,205,0,0
2020,4,11,6,205,0,0
2020,4,12,7,205,0,0
2020,4,13,8,366,0,0
2020,4,14,10,442,0,0
2020,4,15,13,517,0,0
2020,4,16,14,558,0,0
2020,4,17,15,606,0,0
2020,4,18,15,649,0,0
2020,4,19,16,680,0,0
2020,4,20,16,681,0,0
2020,4,21,16,697,0,0
2020,4,22,16,719,0,0
2020,4,23,16,733,2,0
2020,4,24,16,750,2,0
2020,4,25,16,750,2,0
2020,4,26,22,757,2,0
2020,4,27,22,790,2,0
2020,4,28,23,797,2,0
2020,4,29,23,806,3,0
2020,4,30,23,820,7,0
2020,5,1,23,830,7,0
2020,5,2,23,830,7,0
2020,5,3,24,830,7,0
2020,5,4,24,830,7,0
2020,5,5,24,830,9,0
2020,5,6,24,830,9,0
2020,5,7,24,888,10,0
2020,5,8,24,888,10,0
2020,5,9,24,896,11,0
2020,5,10,24,904,11,0
2020,5,11,24,911,12,0
2020,5,12,24,926,12,0
2020,5,13,24,944,14,0
2020,5,14,24,957,15,0
2020,5,15,24,967,16,0
2020,5,16,24,979,16,0
2020,5,17,24,993,16,0
2020,5,18,24,1003,16,0
2020,5,19,24,1044,16,0
2020,5,20,24,1052,16,0
2020,5,21,24,1069,19,0
2020,5,22,24,1078,20,0
2020,5,23,24,1082,20,0
2020,5,24,24,1083,20,0
2020,5,25,24,1084,20,0
2020,5,26,24,1088,20,0
2020,5,27,24,1098,20,0
2020,5,28,24,1099,22,0
2020,5,29,24,1107,22,0
2020,5,30,24,1121,22,0
2020,5,31,24,1125,22,0
2020,6,1,24,1128,22,0
2020,6,2,24,1132,22,0
2020,6,3,24,1138,23,0
2020,6,4,24,1142,23,0
2020,6,5,24,1153,23,0
2020,6,6,24,1159,23,0
2020,6,7,24,1166,23,0
2020,6,8,24,1167,23,0
2020,6,9,24,1169,23,0
2020,6,10,24,1176,23,0
2020,6,11,24,1182,23,0
2020,6,12,24,1190,23,0
2020,6,13,24,1199,23,0
2020,6,14,24,1200,23,0
2020,6,15,24,1202,23,0
2020,6,16,24,1202,23,0
2020,6,17,24,1206,23,0
2020,6,18,24,1208,23,0
2020,6,19,24,1208,23,0
2020,6,20,24,1210,23,0
2020,6,21,24,1211,23,0
2020,6,22,24,1212,23,0
2020,6,23,24,1219,23,0
2020,6,24,24,1225,23,0
2020,6,25,24,1228,23,0
2020,6,26,24,1232,23,0
2020,6,27,24,1238,23,0
2020,6,28,24,1239,23,0
2020,6,29,24,1240,23,0
2020,6,30,24,1245,24,0
2020,7,1,24,1247,24,0
2020,7,2,24,1249,24,0
2020,7,3,24,1254,24,0
2020,7,4,24,1256,24,0
2020,7,5,24,1257,24,0
2020,7,6,24,1260,24,0
2020,7,7,24,1263,24,0
2020,7,8,24,1267,24,0
2020,7,9,24,1278,24,0
2020,7,10,24,1281,24,0
2020,7,11,24,1284,24,0
2020,7,12,24,1285,24,0
2020,7,13,24,1286,24,0
2020,7,14,24,1291,24,0
2020,7,15,25,1299,25,0
2020,7,16,25,1405,24,0
2020,7,17,25,1536,24,0
2020,7,18,25,1848,24,0
2020,7,19,25,1992,24,0
2020,7,20,25,1997,24,0
