year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2,0,0,0
2020,3,12,3,0,0,0
2020,3,13,3,0,0,0
2020,3,14,3,0,0,0
2020,3,15,3,0,0,0
2020,3,16,3,0,0,0
2020,3,17,3,0,0,0
2020,3,18,3,0,1,0
2020,3,19,3,0,1,0
2020,3,20,3,0,1,0
2020,3,21,3,0,1,0
2020,3,22,3,0,1,0
2020,3,23,3,581,1,0
2020,3,24,3,584,1,0
2020,3,25,3,611,2,0
2020,3,26,3,645,2,0
2020,3,27,3,648,2,0
2020,3,28,4,660,2,0
2020,3,29,4,665,2,0
2020,3,30,4,701,2,0
2020,3,31,6,745,3,0
2020,4,1,6,745,3,0
2020,4,2,6,957,3,0
2020,4,3,8,1006,3,0
2020,4,4,10,1006,3,0
2020,4,5,10,1006,3,0
2020,4,6,10,1203,3,0
2020,4,7,10,1221,3,0
2020,4,8,15,1295,3,0
2020,4,9,16,1389,3,0
2020,4,10,34,1426,3,0
2020,4,11,39,1426,3,0
2020,4,12,41,1426,3,0
2020,4,13,46,1606,3,0
2020,4,14,46,1647,3,0
2020,4,15,47,1790,3,0
2020,4,16,48,1867,5,0
2020,4,17,50,2011,5,0
2020,4,18,50,2011,8,0
2020,4,19,52,2040,8,0
2020,4,20,52,2089,8,0
2020,4,21,53,2221,8,0
2020,4,22,57,2292,13,0
2020,4,23,58,2306,13,0
2020,4,24,59,2366,13,0
2020,4,25,62,2366,13,0
2020,4,26,63,2366,13,0
2020,4,27,64,2547,13,0
2020,4,28,67,2635,24,0
2020,4,29,68,2635,24,0
2020,4,30,72,2736,24,1
2020,5,1,73,2780,24,1
2020,5,2,73,2780,24,1
2020,5,3,73,2780,24,1
2020,5,4,73,2780,24,1
2020,5,5,73,2780,24,1
2020,5,6,73,2780,42,1
2020,5,7,73,2792,42,1
2020,5,8,73,3036,46,1
2020,5,9,73,3075,46,1
2020,5,10,73,3102,46,1
2020,5,11,73,3116,57,1
2020,5,12,73,3165,57,1
2020,5,13,73,3206,60,1
2020,5,14,73,3237,61,1
2020,5,15,73,3261,66,1
2020,5,16,73,3282,66,1
2020,5,17,73,3290,66,1
2020,5,18,73,3295,70,1
2020,5,19,73,3315,70,1
2020,5,20,73,3332,70,1
2020,5,21,74,3355,70,1
2020,5,22,74,3369,70,1
2020,5,23,74,3384,70,1
2020,5,24,75,3423,70,1
2020,5,25,75,3423,70,1
2020,5,26,75,3454,71,1
2020,5,27,75,3468,71,1
2020,5,28,76,3491,71,1
2020,5,29,76,3505,72,1
2020,5,30,76,3517,72,1
2020,5,31,76,3521,72,1
2020,6,1,76,3526,73,1
2020,6,2,76,3539,73,1
2020,6,3,76,3554,73,1
2020,6,4,76,3566,73,1
2020,6,5,75,3593,72,1
2020,6,6,75,3603,72,1
2020,6,7,75,3612,72,1
2020,6,8,75,3619,73,1
2020,6,9,75,3637,73,1
2020,6,10,76,3644,73,1
2020,6,11,77,3653,73,1
2020,6,12,77,3653,73,1
2020,6,13,77,3666,73,1
2020,6,14,77,3671,73,1
2020,6,15,77,3680,73,1
2020,6,16,78,3698,73,1
2020,6,17,79,3711,74,1
2020,6,18,79,3724,74,1
2020,6,19,80,3744,74,1
2020,6,20,80,3749,74,1
2020,6,21,80,6928,74,1
2020,6,22,80,7051,75,1
2020,6,23,80,7108,75,1
2020,6,24,80,7108,75,1
2020,6,25,80,7108,75,1
2020,6,26,80,7324,75,1
2020,6,27,80,7324,75,1
2020,6,28,80,7324,75,1
2020,6,29,81,7448,77,1
2020,6,30,81,7551,77,1
2020,7,1,81,7675,79,1
2020,7,2,81,7766,79,1
2020,7,3,86,7829,79,1
2020,7,4,86,7829,79,1
2020,7,5,86,7829,79,1
2020,7,6,86,8040,81,1
2020,7,7,86,8040,81,1
2020,7,8,88,8188,81,1
2020,7,9,91,8458,82,1
2020,7,10,92,8602,82,1
2020,7,11,92,8602,82,1
2020,7,12,94,8602,82,1
2020,7,13,94,8933,82,1
2020,7,14,96,9063,82,1
2020,7,15,97,9243,83,1
2020,7,16,99,9373,83,1
2020,7,17,102,9608,84,1
2020,7,18,104,9608,84,1
2020,7,19,104,9608,84,1
2020,7,20,109,9608,88,1
