year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2,170,0,0
2020,3,12,2,193,0,0
2020,3,13,2,201,0,0
2020,3,14,2,201,0,0
2020,3,15,2,201,0,0
2020,3,16,2,221,0,0
2020,3,17,2,227,0,0
2020,3,18,3,242,1,0
2020,3,19,3,263,1,0
2020,3,20,3,263,1,0
2020,3,21,4,263,1,0
2020,3,22,4,263,2,0
2020,3,23,4,297,2,0
2020,3,24,6,299,2,0
2020,3,25,7,320,2,0
2020,3,26,10,343,2,0
2020,3,27,11,377,2,0
2020,3,28,11,377,2,0
2020,3,29,12,377,2,0
2020,3,30,12,439,2,0
2020,3,31,14,456,2,0
2020,4,1,14,456,2,0
2020,4,2,14,571,2,0
2020,4,3,14,657,3,0
2020,4,4,14,657,3,0
2020,4,5,14,657,3,0
2020,4,6,14,759,3,0
2020,4,7,15,784,3,0
2020,4,8,21,831,5,0
2020,4,9,31,871,5,0
2020,4,10,31,1003,5,0
2020,4,11,32,1003,5,0
2020,4,12,35,1003,5,0
2020,4,13,36,1082,7,0
2020,4,14,38,1121,7,0
2020,4,15,39,1167,7,0
2020,4,16,42,1233,8,0
2020,4,17,44,1328,8,0
2020,4,18,44,1330,8,0
2020,4,19,46,1330,8,0
2020,4,20,49,1481,8,0
2020,4,21,51,1537,8,0
2020,4,22,52,1560,8,0
2020,4,23,52,1617,8,0
2020,4,24,52,1673,13,0
2020,4,25,52,1673,13,0
2020,4,26,52,1673,13,0
2020,4,27,54,1826,13,0
2020,4,28,54,1857,13,0
2020,4,29,54,1857,13,0
2020,4,30,54,2010,16,0
2020,5,1,54,2015,16,0
2020,5,2,54,2015,16,0
2020,5,3,54,2015,16,0
2020,5,4,54,2015,22,0
2020,5,5,54,2015,25,0
2020,5,6,54,2015,25,0
2020,5,7,54,2287,25,0
2020,5,8,54,2287,25,0
2020,5,9,54,2287,25,0
2020,5,10,56,2497,32,0
2020,5,11,56,2535,32,0
2020,5,12,56,2535,32,0
2020,5,13,57,2642,38,0
2020,5,14,57,2642,39,0
2020,5,15,58,2795,40,0
2020,5,16,60,2844,40,0
2020,5,17,60,2888,40,0
2020,5,18,60,2915,40,0
2020,5,19,61,2952,44,0
2020,5,20,62,3024,46,0
2020,5,21,64,3087,46,0
2020,5,22,64,3336,46,0
2020,5,23,64,3414,47,0
2020,5,24,64,3433,47,0
2020,5,25,65,3465,47,0
2020,5,26,65,3549,47,0
2020,5,27,65,3617,48,0
2020,5,28,65,3674,48,0
2020,5,29,65,3784,49,0
2020,5,30,65,3843,49,0
2020,5,31,65,3871,49,0
2020,6,1,65,3909,53,0
2020,6,2,66,3973,53,0
2020,6,3,66,4105,53,0
2020,6,4,66,4438,57,0
2020,6,5,66,4567,58,0
2020,6,6,66,4700,60,0
2020,6,7,66,4840,60,0
2020,6,8,66,4886,61,0
2020,6,9,66,5034,62,0
2020,6,10,66,5141,62,0
2020,6,11,66,5264,63,0
2020,6,12,66,5375,64,0
2020,6,13,66,5463,65,0
2020,6,14,66,5501,65,0
2020,6,15,66,5520,65,0
2020,6,16,66,5523,65,0
2020,6,17,66,5832,65,0
2020,6,18,66,5889,65,0
2020,6,19,66,6007,65,0
2020,6,20,66,6095,65,0
2020,6,21,66,6231,65,0
2020,6,22,66,6241,65,0
2020,6,23,66,6255,65,0
2020,6,24,66,6407,65,0
2020,6,25,66,6574,65,0
2020,6,26,66,6699,65,0
2020,6,27,69,6699,65,0
2020,6,28,69,6954,65,0
2020,6,29,76,7018,65,0
2020,6,30,76,7113,65,0
2020,7,1,79,7288,66,0
2020,7,2,82,7456,66,0
2020,7,3,84,7707,66,0
2020,7,4,86,7829,66,0
2020,7,5,87,7948,66,0
2020,7,6,87,8065,67,0
2020,7,7,87,8201,67,0
2020,7,8,88,8464,72,0
2020,7,9,90,8652,74,0
2020,7,10,90,8866,82,0
2020,7,11,93,9109,82,0
2020,7,12,93,9229,82,0
2020,7,13,95,9301,82,0
2020,7,14,98,9645,83,0
2020,7,15,103,9645,86,0
2020,7,16,107,10106,87,0
2020,7,17,112,10326,87,0
2020,7,18,118,10552,90,0
2020,7,19,124,10851,90,0
2020,7,20,133,10936,90,0
