year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,1,62,0,0
2020,3,12,1,67,0,0
2020,3,13,1,70,0,0
2020,3,14,1,70,0,0
2020,3,15,1,70,0,0
2020,3,16,1,73,0,0
2020,3,17,1,79,0,0
2020,3,18,1,79,0,0
2020,3,19,1,83,0,0
2020,3,20,1,83,0,0
2020,3,21,1,83,0,0
2020,3,22,1,83,0,0
2020,3,23,1,93,0,0
2020,3,24,1,96,0,0
2020,3,25,1,99,0,0
2020,3,26,1,104,0,0
2020,3,27,1,110,0,0
2020,3,28,1,110,1,0
2020,3,29,1,110,1,0
2020,3,30,1,123,1,0
2020,3,31,3,144,1,0
2020,4,1,3,144,1,0
2020,4,2,3,156,1,0
2020,4,3,3,164,1,0
2020,4,4,3,164,1,0
2020,4,5,3,164,1,0
2020,4,6,3,174,1,0
2020,4,7,3,193,1,0
2020,4,8,3,206,1,0
2020,4,9,3,217,1,0
2020,4,10,3,228,1,0
2020,4,11,3,228,3,0
2020,4,12,3,228,3,0
2020,4,13,3,236,3,0
2020,4,14,3,248,3,0
2020,4,15,3,259,3,0
2020,4,16,3,277,3,0
2020,4,17,3,298,3,0
2020,4,18,3,298,3,0
2020,4,19,3,336,3,0
2020,4,20,3,336,3,0
2020,4,21,5,341,3,0
2020,4,22,5,353,3,0
2020,4,23,5,368,3,0
2020,4,24,5,386,3,0
2020,4,25,5,386,3,0
2020,4,26,5,386,3,0
2020,4,27,5,423,3,0
2020,4,28,5,440,3,0
2020,4,29,5,440,3,0
2020,4,30,5,459,3,0
2020,5,1,5,469,3,0
2020,5,2,5,469,3,1
2020,5,3,5,469,3,1
2020,5,4,5,469,3,1
2020,5,5,5,469,3,1
2020,5,6,5,469,3,1
2020,5,7,5,518,3,1
2020,5,8,5,569,3,0
2020,5,9,5,582,3,0
2020,5,10,5,597,3,1
2020,5,11,5,611,3,1
2020,5,12,5,635,4,1
2020,5,13,5,635,4,1
2020,5,14,5,635,4,1
2020,5,15,5,663,4,1
2020,5,16,5,663,4,1
2020,5,17,5,669,4,1
2020,5,18,5,673,4,1
2020,5,19,5,675,4,1
2020,5,20,5,684,4,1
2020,5,21,5,692,4,1
2020,5,22,5,699,4,1
2020,5,23,5,703,4,1
2020,5,24,5,708,4,1
2020,5,25,5,708,4,1
2020,5,26,5,711,4,1
2020,5,27,5,719,4,1
2020,5,28,5,726,4,1
2020,5,29,5,734,4,1
2020,5,30,5,739,4,1
2020,5,31,5,741,4,1
2020,6,1,5,744,4,1
2020,6,2,5,745,4,1
2020,6,3,5,752,4,1
2020,6,4,5,761,4,1
2020,6,5,5,768,4,1
2020,6,6,5,773,4,1
2020,6,7,5,778,4,1
2020,6,8,5,782,4,1
2020,6,9,5,784,4,1
2020,6,10,5,789,4,1
2020,6,11,5,798,4,1
2020,6,12,5,806,4,1
2020,6,13,5,812,4,1
2020,6,14,5,819,4,1
2020,6,15,5,824,4,1
2020,6,16,5,827,4,1
2020,6,17,5,829,4,1
2020,6,18,5,834,4,1
2020,6,19,5,838,4,1
2020,6,20,5,844,4,1
2020,6,21,5,845,4,1
2020,6,22,5,845,4,1
2020,6,23,5,848,4,1
2020,6,24,5,851,4,1
2020,6,25,5,854,4,1
2020,6,26,6,858,4,1
2020,6,27,6,869,4,1
2020,6,28,6,890,4,1
2020,6,29,6,900,4,1
2020,6,30,6,908,4,1
2020,7,1,6,925,4,1
2020,7,2,6,935,4,1
2020,7,3,6,943,4,1
2020,7,4,6,953,4,1
2020,7,5,6,955,4,1
2020,7,6,6,960,4,1
2020,7,7,9,973,4,1
2020,7,8,9,1018,4,1
2020,7,9,9,1053,4,1
2020,7,10,10,1104,4,1
2020,7,11,10,1144,4,1
2020,7,12,10,1183,4,1
2020,7,13,10,1200,4,1
2020,7,14,10,1227,4,1
2020,7,15,10,1268,4,1
2020,7,16,10,1293,4,1
2020,7,17,10,1314,4,1
2020,7,18,10,1347,4,1
2020,7,19,10,1415,4,1
2020,7,20,10,1430,4,1
