year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,73,1440,0,0
2020,3,12,75,1524,0,0
2020,3,13,77,1582,0,0
2020,3,14,87,1653,0,0
2020,3,15,90,1653,0,0
2020,3,16,90,1672,0,0
2020,3,17,102,1743,0,0
2020,3,18,111,1848,30,2
2020,3,19,118,1897,31,2
2020,3,20,129,1912,31,3
2020,3,21,136,1956,31,4
2020,3,22,139,1957,31,4
2020,3,23,155,2013,31,4
2020,3,24,173,2087,31,5
2020,3,25,214,2182,31,5
2020,3,26,260,2269,31,5
2020,3,27,300,2412,40,6
2020,3,28,364,2656,40,7
2020,3,29,436,2987,40,8
2020,3,30,448,3028,40,9
2020,3,31,526,3173,40,15
2020,4,1,593,3337,40,16
2020,4,2,691,3806,40,16
2020,4,3,783,4357,51,18
2020,4,4,901,4422,51,23
2020,4,5,1042,4484,52,30
2020,4,6,1127,4840,52,30
2020,4,7,1214,5111,52,31
2020,4,8,1370,5477,52,35
2020,4,9,1553,5821,52,36
2020,4,10,1752,6183,52,40
2020,4,11,1950,6686,52,40
2020,4,12,2124,6743,52,42
2020,4,13,2226,6993,52,42
2020,4,14,2385,7084,52,47
2020,4,15,2512,7244,52,53
2020,4,16,2663,7754,52,56
2020,4,17,2869,8083,52,63
2020,4,18,3055,8442,52,68
2020,4,19,3164,8746,297,71
2020,4,20,3265,9042,600,77
2020,4,21,3388,9209,600,77
2020,4,22,3511,9470,897,81
2020,4,23,3645,9962,937,87
2020,4,24,3815,10282,952,93
2020,4,25,3934,10599,970,100
2020,4,26,4016,10912,994,100
2020,4,27,4057,11210,1173,106
2020,4,28,4170,11337,1261,108
2020,4,29,4217,11573,1271,117
2020,4,30,4276,12073,1424,120
2020,5,1,4441,12380,1518,126
2020,5,2,4597,12679,1550,141
2020,5,3,4690,13157,1567,145
2020,5,4,4777,13424,1589,150
2020,5,5,4834,13568,1612,150
2020,5,6,4871,13673,1619,155
2020,5,7,4894,14804,1932,160
2020,5,8,4933,16027,2136,171
2020,5,9,4969,16991,2152,180
2020,5,10,4991,17619,2170,180
2020,5,11,5006,18811,2185,189
2020,5,12,5034,20230,2901,196
2020,5,13,5044,21591,3039,203
2020,5,14,5074,23065,3232,212
2020,5,15,5083,24379,3386,219
2020,5,16,5097,25210,3474,230
2020,5,17,5102,25624,3512,237
2020,5,18,5112,26742,3632,241
2020,5,19,5117,27916,3848,244
2020,5,20,5122,29000,3941,247
2020,5,21,5133,30076,4073,256
2020,5,22,5136,31202,4189,263
2020,5,23,5138,31763,4229,271
2020,5,24,5152,32124,4239,280
2020,5,25,5160,33078,4311,288
2020,5,26,5170,34182,4379,292
2020,5,27,5180,35287,4413,296
2020,5,28,5195,36397,4443,299
2020,5,29,5217,37603,4501,302
2020,5,30,5231,38216,4508,304
2020,5,31,5236,38605,4510,305
2020,6,1,5249,40102,4539,305
2020,6,2,5283,41631,4586,306
2020,6,3,5295,43325,4623,306
2020,6,4,5323,45111,4648,307
2020,6,5,5343,47107,4687,309
2020,6,6,5369,48294,4695,311
2020,6,7,5383,48735,4696,311
2020,6,8,5396,50580,4716,311
2020,6,9,5408,52491,4758,311
2020,6,10,5426,54489,4785,311
2020,6,11,5448,56391,4824,311
2020,6,12,5473,58617,4856,313
2020,6,13,5497,59795,4862,314
2020,6,14,5544,60299,4866,314
2020,6,15,5592,62300,4887,314
2020,6,16,5619,64212,4936,316
2020,6,17,5633,66158,4978,317
2020,6,18,5674,68110,5017,317
2020,6,19,5709,70298,5071,320
2020,6,20,5748,71459,5084,320
2020,6,21,5783,71887,5100,320
2020,6,22,5812,73978,5148,321
2020,6,23,5840,75958,5183,323
2020,6,24,5895,78053,5215,325
2020,6,25,5943,80066,5258,325
2020,6,26,5997,82437,5295,325
2020,6,27,6054,83893,5320,325
2020,6,28,6114,84462,5346,325
2020,6,29,6171,86908,5395,325
2020,6,30,6225,89341,5447,325
2020,7,1,6292,91863,5474,325
2020,7,2,6399,94383,5540,325
2020,7,3,6523,97363,5582,325
2020,7,4,6654,99040,5617,325
2020,7,5,6765,99912,5642,325
2020,7,6,6867,103048,5706,325
2020,7,7,6973,105982,5772,325
2020,7,8,7048,109386,5876,325
2020,7,9,7272,112543,5979,325
2020,7,10,7515,115915,6094,325
2020,7,11,7721,117754,6169,325
2020,7,12,7927,118474,6223,325
2020,7,13,8046,118474,6336,325
2020,7,14,8189,121821,6472,325
2020,7,15,8354,125898,6608,326
2020,7,16,8640,130595,6771,326
2020,7,17,8933,134889,6909,326
2020,7,18,9223,137338,7003,326
2020,7,19,9411,137338,7057,326
2020,7,20,9579,143292,7312,327
