year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,82,0,0
2020,3,12,0,86,0,0
2020,3,13,0,93,0,0
2020,3,14,0,93,0,0
2020,3,15,0,93,0,0
2020,3,16,0,95,0,0
2020,3,17,0,104,0,0
2020,3,18,0,110,0,0
2020,3,19,0,115,0,0
2020,3,20,0,115,0,0
2020,3,21,0,115,0,0
2020,3,22,0,115,0,0
2020,3,23,0,126,0,0
2020,3,24,0,129,0,0
2020,3,25,0,134,0,0
2020,3,26,0,141,0,0
2020,3,27,0,146,0,0
2020,3,28,0,146,0,0
2020,3,29,0,146,0,0
2020,3,30,0,169,0,0
2020,3,31,0,182,0,0
2020,4,1,0,182,0,0
2020,4,2,0,201,0,0
2020,4,3,0,227,0,0
2020,4,4,0,227,0,0
2020,4,5,0,227,0,0
2020,4,6,0,242,0,0
2020,4,7,0,249,0,0
2020,4,8,0,258,0,0
2020,4,9,0,277,0,0
2020,4,10,1,299,0,0
2020,4,11,1,299,0,0
2020,4,12,1,299,0,0
2020,4,13,1,378,0,0
2020,4,14,1,432,0,0
2020,4,15,1,446,0,0
2020,4,16,1,477,0,0
2020,4,17,1,543,0,0
2020,4,18,3,543,0,0
2020,4,19,3,543,0,0
2020,4,20,3,711,0,0
2020,4,21,3,794,0,0
2020,4,22,3,823,0,0
2020,4,23,3,880,0,0
2020,4,24,3,929,0,0
2020,4,25,3,943,1,0
2020,4,26,3,971,1,0
2020,4,27,3,982,1,0
2020,4,28,3,1003,1,0
2020,4,29,3,1003,1,0
2020,4,30,3,1048,1,0
2020,5,1,3,1092,1,0
2020,5,2,3,1092,1,0
2020,5,3,3,1103,1,0
2020,5,4,3,1103,1,0
2020,5,5,3,1111,1,0
2020,5,6,3,1124,1,0
2020,5,7,3,1142,1,0
2020,5,8,3,1142,1,0
2020,5,9,3,1154,1,0
2020,5,10,3,1167,1,0
2020,5,11,3,1167,1,0
2020,5,12,3,1198,1,0
2020,5,13,3,1198,1,0
2020,5,14,3,1213,1,0
2020,5,15,3,1223,1,0
2020,5,16,3,1237,1,0
2020,5,17,3,1247,1,0
2020,5,18,3,1249,1,0
2020,5,19,3,1260,1,0
2020,5,20,3,1269,2,0
2020,5,21,3,1279,2,0
2020,5,22,3,1288,2,0
2020,5,23,3,1295,2,0
2020,5,24,3,1301,2,0
2020,5,25,3,1303,3,0
2020,5,26,3,1309,3,0
2020,5,27,3,1314,3,0
2020,5,28,3,1321,3,0
2020,5,29,3,1328,3,0
2020,5,30,3,1336,3,0
2020,5,31,3,1338,3,0
2020,6,1,3,1343,3,0
2020,6,2,3,1353,3,0
2020,6,3,3,1357,3,0
2020,6,4,3,1363,3,0
2020,6,5,3,1375,3,0
2020,6,6,3,1385,3,0
2020,6,7,3,1392,3,0
2020,6,8,3,1395,3,0
2020,6,9,3,1402,3,0
2020,6,10,3,1405,3,0
2020,6,11,3,1411,3,0
2020,6,12,3,1419,3,0
2020,6,13,3,1422,3,0
2020,6,14,3,1422,3,0
2020,6,15,3,1425,3,0
2020,6,16,3,1429,3,0
2020,6,17,3,1435,3,0
2020,6,18,3,1437,3,0
2020,6,19,3,1441,3,0
2020,6,20,3,1445,3,0
2020,6,21,3,1448,3,0
2020,6,22,3,1448,3,0
2020,6,23,3,1456,3,0
2020,6,24,3,1461,3,0
2020,6,25,3,1465,3,0
2020,6,26,3,1466,3,0
2020,6,27,3,1471,3,0
2020,6,28,3,1477,3,0
2020,6,29,3,1478,3,0
2020,6,30,3,1485,3,0
2020,7,1,3,1489,3,0
2020,7,2,4,1497,3,0
2020,7,3,4,1504,3,0
2020,7,4,4,1645,3,0
2020,7,5,4,1753,3,0
2020,7,6,4,1816,3,0
2020,7,7,4,1848,3,0
2020,7,8,4,1877,3,0
2020,7,9,4,1922,3,0
2020,7,10,4,1935,3,0
2020,7,11,4,1935,3,0
2020,7,12,5,1950,3,0
2020,7,13,5,2022,3,0
2020,7,14,5,2108,3,0
2020,7,15,5,2145,3,0
2020,7,16,5,2172,3,0
2020,7,17,5,2195,3,0
2020,7,18,5,2210,3,0
2020,7,19,5,2214,3,0
2020,7,20,5,2232,3,0
