year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,44,0,0
2020,3,12,0,47,0,0
2020,3,13,0,49,0,0
2020,3,14,0,49,0,0
2020,3,15,0,49,0,0
2020,3,16,0,49,0,0
2020,3,17,0,51,0,0
2020,3,18,0,54,0,0
2020,3,19,0,54,0,0
2020,3,20,0,54,0,0
2020,3,21,0,54,0,0
2020,3,22,0,55,0,0
2020,3,23,0,62,0,0
2020,3,24,0,67,0,0
2020,3,25,0,69,0,0
2020,3,26,0,69,0,0
2020,3,27,0,70,0,0
2020,3,28,0,71,0,0
2020,3,29,0,72,0,0
2020,3,30,1,79,0,0
2020,3,31,3,90,0,0
2020,4,1,5,90,0,0
2020,4,2,8,137,0,0
2020,4,3,8,198,0,0
2020,4,4,10,198,0,0
2020,4,5,10,198,0,0
2020,4,6,11,381,0,0
2020,4,7,12,435,0,0
2020,4,8,14,499,0,0
2020,4,9,16,602,0,0
2020,4,10,23,639,0,0
2020,4,11,23,646,0,0
2020,4,12,30,646,0,0
2020,4,13,49,910,1,0
2020,4,14,54,956,1,0
2020,4,15,54,1021,1,0
2020,4,16,65,1177,2,0
2020,4,17,69,1274,2,0
2020,4,18,79,1274,2,0
2020,4,19,92,1274,4,1
2020,4,20,114,1454,8,2
2020,4,21,115,1515,8,2
2020,4,22,115,1633,8,2
2020,4,23,150,1781,8,3
2020,4,24,163,1885,9,3
2020,4,25,175,1885,9,3
2020,4,26,177,1885,9,3
2020,4,27,181,2102,9,3
2020,4,28,190,2137,9,3
2020,4,29,190,2137,9,3
2020,4,30,202,2535,9,7
2020,5,1,201,2392,9,7
2020,5,2,209,2392,37,9
2020,5,3,212,2392,37,10
2020,5,4,212,2392,37,10
2020,5,5,216,2392,37,10
2020,5,6,219,2392,37,10
2020,5,7,220,2392,38,10
2020,5,8,216,2664,77,13
2020,5,9,216,2709,77,13
2020,5,10,216,2709,77,13
2020,5,11,221,2849,99,14
2020,5,12,221,2858,105,15
2020,5,13,222,2891,122,16
2020,5,14,224,2915,126,18
2020,5,15,224,2935,137,18
2020,5,16,225,2915,156,18
2020,5,17,225,2935,156,18
2020,5,18,227,2997,165,20
2020,5,19,227,3000,166,20
2020,5,20,227,3025,166,20
2020,5,21,227,3037,168,21
2020,5,22,227,3067,171,21
2020,5,23,227,3067,178,21
2020,5,24,227,3067,178,21
2020,5,25,227,3101,180,21
2020,5,26,227,3103,182,21
2020,5,27,227,3122,185,22
2020,5,28,227,3133,186,22
2020,5,29,227,3144,187,22
2020,5,30,227,3144,187,22
2020,5,31,227,3144,189,22
2020,6,1,227,3190,190,22
2020,6,2,227,3407,193,22
2020,6,3,227,3431,196,22
2020,6,4,227,3454,196,22
2020,6,5,227,3482,198,22
2020,6,6,227,3482,198,22
2020,6,7,227,3482,199,22
2020,6,8,227,3531,199,22
2020,6,9,227,3537,199,22
2020,6,10,227,3542,202,22
2020,6,11,227,3587,202,22
2020,6,12,227,3642,202,22
2020,6,13,227,3642,202,22
2020,6,14,227,3642,202,22
2020,6,15,227,3661,202,22
2020,6,16,227,3722,203,22
2020,6,17,227,3735,204,22
2020,6,18,227,3766,205,22
2020,6,19,227,3787,205,22
2020,6,20,227,3787,205,22
2020,6,21,227,3787,205,22
2020,6,22,227,3816,205,22
2020,6,23,227,3847,205,22
2020,6,24,227,3859,205,22
2020,6,25,227,3890,205,22
2020,6,26,227,3896,205,22
2020,6,27,227,3896,205,22
2020,6,28,227,3896,205,22
2020,6,29,227,3914,205,22
2020,6,30,227,3923,205,22
2020,7,1,227,3962,205,22
2020,7,2,228,3984,205,22
2020,7,3,228,4009,205,22
2020,7,4,228,4009,205,22
2020,7,5,228,4009,205,22
2020,7,6,228,4090,205,22
2020,7,7,228,4132,205,22
2020,7,8,229,4147,205,22
2020,7,9,230,4182,205,22
2020,7,10,230,4225,205,22
2020,7,11,230,4225,205,22
2020,7,12,230,4225,205,22
2020,7,13,230,4294,205,22
2020,7,14,230,4319,205,22
2020,7,15,230,4493,206,22
2020,7,16,230,4524,206,22
2020,7,17,230,4533,206,22
2020,7,18,231,4533,206,22
2020,7,19,231,4533,206,22
2020,7,20,231,4791,206,22
