year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,14,982,0,0
2020,3,12,14,996,0,0
2020,3,13,14,1008,0,0
2020,3,14,14,1008,0,0
2020,3,15,15,1008,0,0
2020,3,16,15,1040,0,0
2020,3,17,15,1076,0,0
2020,3,18,15,1090,8,1
2020,3,19,16,1102,8,1
2020,3,20,17,1110,8,1
2020,3,21,17,1112,9,1
2020,3,22,17,1118,9,1
2020,3,23,17,1305,9,1
2020,3,24,17,1316,9,1
2020,3,25,17,1374,9,1
2020,3,26,17,1405,10,1
2020,3,27,17,1419,10,1
2020,3,28,17,1431,13,1
2020,3,29,17,1433,13,1
2020,3,30,17,1452,13,1
2020,3,31,17,1479,13,1
2020,4,1,18,1479,13,1
2020,4,2,20,1531,14,1
2020,4,3,21,1571,15,1
2020,4,4,21,1579,15,1
2020,4,5,25,1580,15,1
2020,4,6,27,1642,15,1
2020,4,7,28,1702,15,1
2020,4,8,29,1756,15,1
2020,4,9,32,1756,15,1
2020,4,10,33,1877,15,1
2020,4,11,33,1989,17,1
2020,4,12,34,1989,17,1
2020,4,13,34,2092,17,1
2020,4,14,35,2119,17,1
2020,4,15,37,2197,19,1
2020,4,16,38,2239,19,1
2020,4,17,39,2263,19,1
2020,4,18,40,2274,19,1
2020,4,19,46,2312,20,1
2020,4,20,46,2339,20,1
2020,4,21,47,2381,20,1
2020,4,22,49,2422,22,1
2020,4,23,50,2454,23,1
2020,4,24,52,2526,23,1
2020,4,25,57,2528,24,1
2020,4,26,58,2563,27,1
2020,4,27,59,2837,27,1
2020,4,28,60,2904,27,2
2020,4,29,60,2906,28,2
2020,4,30,62,3033,28,2
2020,5,1,62,3077,28,2
2020,5,2,62,3077,31,2
2020,5,3,62,3077,35,2
2020,5,4,62,3077,35,2
2020,5,5,62,3077,38,2
2020,5,6,62,3077,43,2
2020,5,7,62,3283,44,2
2020,5,8,62,3310,46,2
2020,5,9,62,3339,48,2
2020,5,10,62,3364,48,2
2020,5,11,62,3369,49,3
2020,5,12,63,3392,49,3
2020,5,13,63,3424,50,3
2020,5,14,63,3450,52,3
2020,5,15,63,3477,52,3
2020,5,16,63,3504,52,3
2020,5,17,63,3529,52,3
2020,5,18,63,3540,52,3
2020,5,19,63,3554,52,3
2020,5,20,63,3573,52,3
2020,5,21,63,3586,53,3
2020,5,22,63,3602,54,3
2020,5,23,63,3612,54,3
2020,5,24,63,3624,54,3
2020,5,25,63,3630,54,3
2020,5,26,63,3633,55,3
2020,5,27,63,3651,56,3
2020,5,28,63,3657,56,3
2020,5,29,63,3669,57,3
2020,5,30,63,3684,57,3
2020,5,31,63,3701,57,3
2020,6,1,63,3708,57,3
2020,6,2,63,3713,57,3
2020,6,3,63,3733,60,3
2020,6,4,63,3743,60,3
2020,6,5,63,3759,60,3
2020,6,6,63,3768,60,3
2020,6,7,63,3787,60,3
2020,6,8,63,3790,60,3
2020,6,9,63,3797,60,3
2020,6,10,63,3815,60,3
2020,6,11,63,3824,60,3
2020,6,12,63,3831,60,3
2020,6,13,63,3840,60,3
2020,6,14,63,3853,60,3
2020,6,15,63,3856,60,3
2020,6,16,63,3859,60,3
2020,6,17,63,3868,60,3
2020,6,18,63,3874,60,3
2020,6,19,63,3883,60,3
2020,6,20,63,3891,60,3
2020,6,21,63,3897,60,3
2020,6,22,63,3901,60,3
2020,6,23,64,3904,60,3
2020,6,24,64,3918,60,3
2020,6,25,64,3938,60,3
2020,6,26,64,3955,60,3
2020,6,27,64,3962,60,3
2020,6,28,64,3978,60,3
2020,6,29,64,3979,60,3
2020,6,30,64,3987,60,3
2020,7,1,64,4005,60,3
2020,7,2,64,4029,61,3
2020,7,3,64,4042,61,3
2020,7,4,64,4054,61,3
2020,7,5,64,4066,61,3
2020,7,6,64,4070,61,3
2020,7,7,64,4077,61,3
2020,7,8,64,4095,61,3
2020,7,9,66,4106,61,3
2020,7,10,71,4318,61,3
2020,7,11,75,4413,61,3
2020,7,12,80,4515,61,3
2020,7,13,83,4556,61,3
2020,7,14,84,4578,61,3
2020,7,15,84,4703,61,3
2020,7,16,84,4826,66,3
2020,7,17,87,4864,70,3
2020,7,18,89,4929,70,3
2020,7,19,89,4984,73,3
2020,7,20,93,5067,73,3
