year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,96,0,0
2020,3,12,0,103,0,0
2020,3,13,0,110,0,0
2020,3,14,0,110,0,0
2020,3,15,0,110,0,0
2020,3,16,0,112,0,0
2020,3,17,0,120,0,0
2020,3,18,0,123,0,0
2020,3,19,0,133,0,0
2020,3,20,0,133,0,0
2020,3,21,0,133,0,0
2020,3,22,0,133,0,0
2020,3,23,0,145,0,0
2020,3,24,0,147,0,0
2020,3,25,0,156,0,0
2020,3,26,0,165,0,0
2020,3,27,0,170,0,0
2020,3,28,0,170,0,0
2020,3,29,0,170,0,0
2020,3,30,0,198,0,0
2020,3,31,1,222,0,0
2020,4,1,1,222,0,0
2020,4,2,1,275,0,0
2020,4,3,1,369,0,0
2020,4,4,6,369,0,0
2020,4,5,10,369,0,0
2020,4,6,13,434,0,0
2020,4,7,19,527,0,0
2020,4,8,22,663,0,0
2020,4,9,27,663,0,0
2020,4,10,27,782,0,0
2020,4,11,32,782,0,0
2020,4,12,34,782,0,0
2020,4,13,35,932,0,0
2020,4,14,39,1055,0,0
2020,4,15,45,1118,0,0
2020,4,16,50,1276,0,0
2020,4,17,58,1415,0,0
2020,4,18,60,1415,10,0
2020,4,19,61,1415,10,0
2020,4,20,64,1597,15,0
2020,4,21,64,1657,15,0
2020,4,22,65,1759,17,0
2020,4,23,65,1851,17,0
2020,4,24,66,1947,17,0
2020,4,25,66,1947,32,0
2020,4,26,66,1947,32,0
2020,4,27,66,2052,38,0
2020,4,28,66,2103,38,0
2020,4,29,68,2103,38,0
2020,4,30,68,2159,38,0
2020,5,1,68,2246,48,0
2020,5,2,68,2246,50,0
2020,5,3,68,2246,53,0
2020,5,4,68,2246,54,0
2020,5,5,69,2246,54,0
2020,5,6,69,2246,54,0
2020,5,7,69,2382,54,0
2020,5,8,69,2401,56,0
2020,5,9,69,2432,56,0
2020,5,10,69,2449,58,0
2020,5,11,69,2456,58,0
2020,5,12,69,2481,58,0
2020,5,13,69,2514,58,0
2020,5,14,69,2525,58,0
2020,5,15,69,2541,58,0
2020,5,16,69,2552,58,0
2020,5,17,69,2560,58,0
2020,5,18,69,2562,58,0
2020,5,19,69,2576,58,0
2020,5,20,69,2588,58,0
2020,5,21,69,2598,63,0
2020,5,22,69,2606,64,0
2020,5,23,69,2615,64,0
2020,5,24,69,2620,64,0
2020,5,25,69,2622,65,0
2020,5,26,69,2629,66,0
2020,5,27,69,2640,66,0
2020,5,28,69,2644,66,0
2020,5,29,69,2650,66,0
2020,5,30,69,2656,66,0
2020,5,31,69,2659,66,0
2020,6,1,69,2660,66,0
2020,6,2,69,2665,66,0
2020,6,3,69,2412,66,0
2020,6,4,69,2422,66,0
2020,6,5,69,2440,66,0
2020,6,6,69,2444,67,0
2020,6,7,69,2452,67,0
2020,6,8,69,2454,67,0
2020,6,9,69,2459,67,0
2020,6,10,69,2463,67,0
2020,6,11,69,2470,67,0
2020,6,12,69,2474,67,0
2020,6,13,69,2475,67,0
2020,6,14,69,2479,67,0
2020,6,15,69,2479,68,0
2020,6,16,69,2482,68,0
2020,6,17,69,2487,68,0
2020,6,18,69,2491,68,0
2020,6,19,69,2496,68,0
2020,6,20,69,2498,68,0
2020,6,21,69,2503,68,0
2020,6,22,69,2505,68,0
2020,6,23,69,2505,68,0
2020,6,24,69,2509,68,0
2020,6,25,69,2518,68,0
2020,6,26,69,2526,68,0
2020,6,27,69,2526,68,0
2020,6,28,69,2533,68,0
2020,6,29,69,2538,68,0
2020,6,30,69,2541,68,0
2020,7,1,69,2544,68,0
2020,7,2,69,2549,68,0
2020,7,3,69,2562,68,0
2020,7,4,69,2566,68,0
2020,7,5,70,2573,68,0
2020,7,6,71,2583,68,0
2020,7,7,71,2595,68,0
2020,7,8,71,2609,68,1
2020,7,9,71,2618,68,1
2020,7,10,71,2621,68,1
2020,7,11,71,2626,68,1
2020,7,12,71,2639,68,1
2020,7,13,72,2642,68,1
2020,7,14,73,2659,70,1
2020,7,15,74,2674,70,1
2020,7,16,74,2719,70,1
2020,7,17,75,2772,70,1
2020,7,18,75,2803,71,1
2020,7,19,75,2817,71,1
2020,7,20,75,2822,72,1
