year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,3,113,0,0
2020,3,12,3,122,0,0
2020,3,13,3,128,0,0
2020,3,14,3,128,0,0
2020,3,15,3,128,0,0
2020,3,16,3,138,0,0
2020,3,17,3,149,0,0
2020,3,18,3,157,0,0
2020,3,19,3,164,0,0
2020,3,20,3,164,0,0
2020,3,21,3,166,0,0
2020,3,22,4,170,0,0
2020,3,23,4,180,0,0
2020,3,24,4,192,0,0
2020,3,25,5,196,0,0
2020,3,26,6,210,0,0
2020,3,27,6,228,0,0
2020,3,28,6,228,2,0
2020,3,29,6,228,2,0
2020,3,30,6,257,2,0
2020,3,31,6,287,3,0
2020,4,1,6,287,3,0
2020,4,2,6,328,3,0
2020,4,3,7,354,3,0
2020,4,4,7,396,3,0
2020,4,5,8,409,3,0
2020,4,6,12,449,3,0
2020,4,7,13,455,3,0
2020,4,8,17,513,3,0
2020,4,9,17,528,3,0
2020,4,10,17,557,3,0
2020,4,11,19,557,3,0
2020,4,12,23,557,3,0
2020,4,13,24,657,5,0
2020,4,14,25,738,5,0
2020,4,15,28,773,5,0
2020,4,16,29,885,5,0
2020,4,17,30,977,5,0
2020,4,18,30,1027,5,0
2020,4,19,30,1049,11,0
2020,4,20,30,1119,15,0
2020,4,21,31,1130,15,0
2020,4,22,31,1144,15,0
2020,4,23,31,1156,15,0
2020,4,24,31,1217,16,0
2020,4,25,31,1217,18,0
2020,4,26,31,1217,18,0
2020,4,27,32,1225,18,0
2020,4,28,32,1239,23,0
2020,4,29,32,1265,24,0
2020,4,30,32,1285,24,0
2020,5,1,34,1290,24,0
2020,5,2,34,1290,24,0
2020,5,3,35,1290,24,0
2020,5,4,35,1290,24,0
2020,5,5,37,1290,24,0
2020,5,6,37,1290,24,0
2020,5,7,37,1455,24,0
2020,5,8,37,1498,33,0
2020,5,9,37,1521,33,0
2020,5,10,37,1528,33,0
2020,5,11,37,1528,33,0
2020,5,12,37,1557,33,0
2020,5,13,37,1557,33,0
2020,5,14,37,1585,33,0
2020,5,15,37,1598,33,0
2020,5,16,37,1598,33,0
2020,5,17,37,1598,33,0
2020,5,18,37,1621,34,0
2020,5,19,37,1628,34,0
2020,5,20,37,1640,34,0
2020,5,21,37,1647,34,0
2020,5,22,37,1653,34,0
2020,5,23,37,1656,34,0
2020,5,24,37,1656,34,0
2020,5,25,37,1657,35,0
2020,5,26,37,1667,35,0
2020,5,27,37,1669,35,0
2020,5,28,37,1674,35,0
2020,5,29,37,1679,35,0
2020,5,30,37,1696,35,0
2020,5,31,37,1701,35,0
2020,6,1,37,1758,35,0
2020,6,2,37,1771,36,0
2020,6,3,37,1782,36,0
2020,6,4,37,1794,36,0
2020,6,5,37,1818,36,0
2020,6,6,37,1837,36,0
2020,6,7,37,1845,36,0
2020,6,8,37,1858,36,0
2020,6,9,37,1873,36,0
2020,6,10,37,1886,36,0
2020,6,11,37,1898,36,0
2020,6,12,37,1914,36,0
2020,6,13,37,1921,36,0
2020,6,14,37,1929,36,0
2020,6,15,37,1938,36,0
2020,6,16,37,1965,36,0
2020,6,17,37,1992,36,0
2020,6,18,37,2021,36,0
2020,6,19,37,2045,36,0
2020,6,20,37,2051,36,0
2020,6,21,37,2055,36,0
2020,6,22,37,2088,37,0
2020,6,23,37,2129,37,0
2020,6,24,37,2160,37,0
2020,6,25,37,2187,37,0
2020,6,26,37,2202,37,0
2020,6,27,37,2240,37,0
2020,6,28,37,2243,37,0
2020,6,29,37,2267,37,0
2020,6,30,37,2306,37,0
2020,7,1,37,2342,37,0
2020,7,2,37,2372,37,0
2020,7,3,37,2425,37,0
2020,7,4,37,2435,37,0
2020,7,5,37,2450,37,0
2020,7,6,37,2485,37,0
2020,7,7,37,2533,37,0
2020,7,8,37,2542,37,0
2020,7,9,37,2592,37,0
2020,7,10,37,2616,37,0
2020,7,11,37,2659,37,0
2020,7,12,37,2662,37,0
2020,7,13,37,2675,37,0
2020,7,14,37,2739,37,0
2020,7,15,37,2788,37,0
2020,7,16,38,2828,37,0
2020,7,17,41,2913,37,0
2020,7,18,42,3133,37,0
2020,7,19,42,3230,37,0
2020,7,20,42,3260,37,0
