year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2,236,0,0
2020,3,12,2,251,0,0
2020,3,13,2,267,0,0
2020,3,14,2,267,0,0
2020,3,15,2,267,0,0
2020,3,16,2,294,0,0
2020,3,17,2,315,0,0
2020,3,18,2,325,0,0
2020,3,19,2,335,0,0
2020,3,20,2,337,0,0
2020,3,21,2,338,0,0
2020,3,22,2,338,1,0
2020,3,23,2,358,1,0
2020,3,24,4,370,1,0
2020,3,25,4,383,1,0
2020,3,26,4,401,2,0
2020,3,27,4,422,2,0
2020,3,28,4,426,2,0
2020,3,29,4,428,2,0
2020,3,30,5,454,2,0
2020,3,31,6,472,2,0
2020,4,1,8,472,2,0
2020,4,2,9,579,2,0
2020,4,3,9,625,2,0
2020,4,4,11,625,2,0
2020,4,5,13,625,2,0
2020,4,6,14,749,2,0
2020,4,7,19,828,2,0
2020,4,8,22,887,2,0
2020,4,9,24,946,2,0
2020,4,10,27,1013,2,0
2020,4,11,32,1013,2,0
2020,4,12,35,1013,2,0
2020,4,13,35,1157,2,0
2020,4,14,36,1205,2,0
2020,4,15,39,1295,2,0
2020,4,16,43,1367,9,0
2020,4,17,46,1435,9,0
2020,4,18,48,1435,9,0
2020,4,19,49,1435,9,0
2020,4,20,49,1653,9,0
2020,4,21,50,1703,9,0
2020,4,22,51,1813,22,0
2020,4,23,51,1862,22,0
2020,4,24,51,1922,22,0
2020,4,25,51,1922,22,0
2020,4,26,51,1922,22,0
2020,4,27,51,2072,22,0
2020,4,28,52,2117,23,0
2020,4,29,52,2117,24,0
2020,4,30,52,2292,24,0
2020,5,1,54,2358,29,0
2020,5,2,55,2358,29,0
2020,5,3,56,2358,29,0
2020,5,4,56,2358,29,0
2020,5,5,56,2358,29,0
2020,5,6,56,2358,29,0
2020,5,7,56,2738,29,0
2020,5,8,56,2806,48,0
2020,5,9,56,2806,48,0
2020,5,10,56,2806,48,0
2020,5,11,56,2981,49,0
2020,5,12,56,3027,49,0
2020,5,13,57,3108,51,0
2020,5,14,57,3162,51,0
2020,5,15,57,3205,51,0
2020,5,16,57,3205,51,0
2020,5,17,57,3205,51,0
2020,5,18,57,3337,51,0
2020,5,19,58,3395,51,0
2020,5,20,60,3483,52,0
2020,5,21,60,3550,55,0
2020,5,22,60,3602,56,0
2020,5,23,60,3602,56,0
2020,5,24,60,3602,56,0
2020,5,25,60,3720,57,1
2020,5,26,60,3752,57,1
2020,5,27,60,3801,57,1
2020,5,28,60,3842,57,1
2020,5,29,64,3877,59,1
2020,5,30,64,3877,59,1
2020,5,31,64,3877,59,1
2020,6,1,64,4038,59,1
2020,6,2,64,4088,59,1
2020,6,3,65,4146,60,1
2020,6,4,65,4202,60,1
2020,6,5,65,4259,62,1
2020,6,6,65,4259,62,1
2020,6,7,65,4259,62,1
2020,6,8,67,4434,63,1
2020,6,9,67,4487,63,1
2020,6,10,68,4577,64,1
2020,6,11,68,4648,64,1
2020,6,12,69,4728,67,1
2020,6,13,69,4728,67,1
2020,6,14,69,4728,67,1
2020,6,15,71,4911,68,1
2020,6,16,71,4968,68,1
2020,6,17,72,5050,69,1
2020,6,18,72,5122,69,1
2020,6,19,72,5175,69,1
2020,6,20,72,5175,69,1
2020,6,21,72,5175,69,1
2020,6,22,72,5317,69,1
2020,6,23,72,5351,70,1
2020,6,24,72,5401,71,1
2020,6,25,72,5447,71,1
2020,6,26,72,5495,71,1
2020,6,27,72,5495,71,1
2020,6,28,72,5495,71,1
2020,6,29,74,5606,71,1
2020,6,30,74,5655,71,1
2020,7,1,75,5711,72,1
2020,7,2,75,5756,72,1
2020,7,3,75,5815,72,1
2020,7,4,75,5815,72,1
2020,7,5,75,5815,72,1
2020,7,6,75,5966,73,1
2020,7,7,75,6012,74,1
2020,7,8,75,6061,74,1
2020,7,9,75,6095,74,1
2020,7,10,76,6139,74,1
2020,7,11,76,6139,74,1
2020,7,12,76,6139,74,1
2020,7,13,76,6249,74,1
2020,7,14,76,6289,74,1
2020,7,15,76,6341,74,1
2020,7,16,76,6387,74,1
2020,7,17,77,6427,74,1
2020,7,18,77,6427,74,1
2020,7,19,77,6427,74,1
2020,7,20,78,6569,75,1
