year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0.0,44.0,0.0,0.0
2020,3,12,0.0,47.0,0.0,0.0
2020,3,13,0.0,49.0,0.0,0.0
2020,3,14,0.0,49.0,0.0,0.0
2020,3,15,0.0,49.0,0.0,0.0
2020,3,16,0.0,49.0,0.0,0.0
2020,3,17,0.0,51.0,0.0,0.0
2020,3,18,0.0,54.0,0.0,0.0
2020,3,19,0.0,54.0,0.0,0.0
2020,3,20,0.0,54.0,0.0,0.0
2020,3,21,0.0,54.0,0.0,0.0
2020,3,22,0.0,55.0,0.0,0.0
2020,3,23,0.0,62.0,0.0,0.0
2020,3,24,0.0,67.0,0.0,0.0
2020,3,25,0.0,69.0,0.0,0.0
2020,3,26,0.0,69.0,0.0,0.0
2020,3,27,0.0,70.0,0.0,0.0
2020,3,28,0.0,71.0,0.0,0.0
2020,3,29,0.0,72.0,0.0,0.0
2020,3,30,1.0,79.0,0.0,0.0
2020,3,31,3.0,90.0,0.0,0.0
2020,4,1,5.0,90.0,0.0,0.0
2020,4,2,8.0,137.0,0.0,0.0
2020,4,3,8.0,198.0,0.0,0.0
2020,4,4,10.0,198.0,0.0,0.0
2020,4,5,10.0,198.0,0.0,0.0
2020,4,6,11.0,381.0,0.0,0.0
2020,4,7,12.0,435.0,0.0,0.0
2020,4,8,14.0,499.0,0.0,0.0
2020,4,9,16.0,602.0,0.0,0.0
2020,4,10,23.0,639.0,0.0,0.0
2020,4,11,23.0,646.0,0.0,0.0
2020,4,12,30.0,646.0,0.0,0.0
2020,4,13,49.0,910.0,1.0,0.0
2020,4,14,54.0,956.0,1.0,0.0
2020,4,15,54.0,1021.0,1.0,0.0
2020,4,16,65.0,1177.0,2.0,0.0
2020,4,17,69.0,1274.0,2.0,0.0
2020,4,18,79.0,1274.0,2.0,0.0
2020,4,19,92.0,1274.0,4.0,1.0
2020,4,20,114.0,1454.0,8.0,2.0
2020,4,21,115.0,1515.0,8.0,2.0
2020,4,22,115.0,1633.0,8.0,2.0
2020,4,23,150.0,1781.0,8.0,3.0
2020,4,24,163.0,1885.0,9.0,3.0
2020,4,25,175.0,1885.0,9.0,3.0
2020,4,26,177.0,1885.0,9.0,3.0
