year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,227,1377,0,0
2020,3,12,227,1377,0,0
2020,3,13,227,1377,0,0
2020,3,14,227,1377,0,0
2020,3,15,227,1377,0,0
2020,3,16,227,1377,0,0
2020,3,17,22,679,8,17
2020,3,18,22,679,8,17
2020,3,19,22,679,8,17
2020,3,20,22,679,8,17
2020,3,21,22,679,8,17
2020,3,22,22,679,8,17
2020,3,23,22,679,8,17
2020,3,24,25,678,34,2
2020,3,25,25,678,34,2
2020,3,26,25,678,34,2
2020,3,27,25,678,34,2
2020,3,28,25,678,34,2
2020,3,29,25,678,34,2
2020,3,30,25,678,34,2
2020,3,31,67,776,10,2
2020,4,1,67,776,10,2
2020,4,2,67,776,10,2
2020,4,3,67,776,10,2
2020,4,4,67,776,10,2
2020,4,5,67,776,10,2
2020,4,6,67,776,10,2
2020,4,7,91,965,11,2
2020,4,8,91,965,11,2
2020,4,9,91,965,11,2
2020,4,10,91,965,11,2
2020,4,11,91,965,11,2
2020,4,12,91,965,11,2
2020,4,13,91,965,11,2
2020,4,14,78,1334,3,4
2020,4,15,78,1334,3,4
2020,4,16,78,1334,3,4
2020,4,17,78,1334,3,4
2020,4,18,78,1334,3,4
2020,4,19,78,1334,3,4
2020,4,20,78,1334,3,4
2020,4,21,71,1355,0,3
2020,4,22,71,1355,0,3
2020,4,23,71,1355,0,3
2020,4,24,71,1355,0,3
2020,4,25,71,1355,0,3
2020,4,26,71,1355,0,3
2020,4,27,71,1355,0,3
2020,4,28,15,573,9,4
2020,4,29,15,573,9,4
2020,4,30,15,573,9,4
2020,5,1,15,573,9,4
2020,5,2,15,573,9,4
2020,5,3,15,573,9,4
2020,5,4,15,573,9,4
2020,5,5,2,974,277,0
2020,5,6,2,974,277,0
2020,5,7,2,974,277,0
2020,5,8,2,974,277,0
2020,5,9,2,974,277,0
2020,5,10,2,974,277,0
2020,5,11,2,974,277,0
2020,5,12,12,739,61,0
2020,5,13,12,739,61,0
2020,5,14,12,739,61,0
2020,5,15,12,739,61,0
2020,5,16,12,739,61,0
2020,5,17,12,739,61,0
2020,5,18,12,739,61,0
2020,5,19,1,550,29,0
2020,5,20,1,550,29,0
2020,5,21,1,550,29,0
2020,5,22,1,550,29,0
2020,5,23,1,550,29,0
2020,5,24,1,550,29,0
2020,5,25,1,550,29,0
2020,5,26,1,416,15,0
2020,5,27,1,416,15,0
2020,5,28,1,416,15,0
2020,5,29,1,416,15,0
2020,5,30,1,416,15,0
2020,5,31,1,416,15,0
2020,6,1,1,416,15,0
2020,6,2,3,559,6,0
2020,6,3,3,559,6,0
2020,6,4,3,559,6,0
2020,6,5,3,559,6,0
2020,6,6,3,559,6,0
2020,6,7,3,559,6,0
2020,6,8,3,559,6,0
2020,6,9,5,674,4,0
2020,6,10,5,674,4,0
2020,6,11,5,674,4,0
2020,6,12,5,674,4,0
2020,6,13,5,674,4,0
2020,6,14,5,674,4,0
2020,6,15,5,674,4,0
2020,6,16,7,565,3,0
2020,6,17,7,565,3,0
2020,6,18,7,565,3,0
2020,6,19,7,565,3,0
2020,6,20,7,565,3,0
2020,6,21,7,565,3,0
2020,6,22,7,565,3,0
2020,6,23,0,680,7,0
2020,6,24,0,680,7,0
2020,6,25,0,680,7,0
2020,6,26,0,680,7,0
2020,6,27,0,680,7,0
2020,6,28,0,680,7,0
2020,6,29,0,680,7,0
2020,6,30,2,793,3,0
2020,7,1,2,793,3,0
2020,7,2,2,793,3,0
2020,7,3,2,793,3,0
2020,7,4,2,793,3,0
2020,7,5,2,793,3,0
2020,7,6,2,793,3,0
2020,7,7,5,1037,3,0
2020,7,8,5,1037,3,0
2020,7,9,5,1037,3,0
2020,7,10,5,1037,3,0
2020,7,11,5,1037,3,0
2020,7,12,5,1037,3,0
2020,7,13,5,1037,3,0
2020,7,14,110,1591,6,0
2020,7,15,110,1591,6,0
2020,7,16,110,1591,6,0
2020,7,17,110,1591,6,0
2020,7,18,110,1591,6,0
2020,7,19,110,1591,6,0
2020,7,20,110,1591,6,0
