year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,4,143,0,0
2020,3,12,4,143,0,0
2020,3,13,4,143,0,0
2020,3,14,4,143,0,0
2020,3,15,4,143,0,0
2020,3,16,4,143,0,0
2020,3,17,0,18,1,0
2020,3,18,0,18,1,0
2020,3,19,0,18,1,0
2020,3,20,0,18,1,0
2020,3,21,0,18,1,0
2020,3,22,0,18,1,0
2020,3,23,0,18,1,0
2020,3,24,2,119,1,0
2020,3,25,2,119,1,0
2020,3,26,2,119,1,0
2020,3,27,2,119,1,0
2020,3,28,2,119,1,0
2020,3,29,2,119,1,0
2020,3,30,2,119,1,0
2020,3,31,7,179,0,0
2020,4,1,7,179,0,0
2020,4,2,7,179,0,0
2020,4,3,7,179,0,0
2020,4,4,7,179,0,0
2020,4,5,7,179,0,0
2020,4,6,7,179,0,0
2020,4,7,4,136,3,0
2020,4,8,4,136,3,0
2020,4,9,4,136,3,0
2020,4,10,4,136,3,0
2020,4,11,4,136,3,0
2020,4,12,4,136,3,0
2020,4,13,4,136,3,0
2020,4,14,1,181,0,0
2020,4,15,1,181,0,0
2020,4,16,1,181,0,0
2020,4,17,1,181,0,0
2020,4,18,1,181,0,0
2020,4,19,1,181,0,0
2020,4,20,1,181,0,0
2020,4,21,0,82,2,0
2020,4,22,0,82,2,0
2020,4,23,0,82,2,0
2020,4,24,0,82,2,0
2020,4,25,0,82,2,0
2020,4,26,0,82,2,0
2020,4,27,0,82,2,0
2020,4,28,0,34,6,0
2020,4,29,0,34,6,0
2020,4,30,0,34,6,0
2020,5,1,0,34,6,0
2020,5,2,0,34,6,0
2020,5,3,0,34,6,0
2020,5,4,0,34,6,0
2020,5,5,0,35,1,0
2020,5,6,0,35,1,0
2020,5,7,0,35,1,0
2020,5,8,0,35,1,0
2020,5,9,0,35,1,0
2020,5,10,0,35,1,0
2020,5,11,0,35,1,0
2020,5,12,0,23,1,0
2020,5,13,0,23,1,0
2020,5,14,0,23,1,0
2020,5,15,0,23,1,0
2020,5,16,0,23,1,0
2020,5,17,0,23,1,0
2020,5,18,0,23,1,0
2020,5,19,0,17,1,0
2020,5,20,0,17,1,0
2020,5,21,0,17,1,0
2020,5,22,0,17,1,0
2020,5,23,0,17,1,0
2020,5,24,0,17,1,0
2020,5,25,0,17,1,0
2020,5,26,0,6,0,0
2020,5,27,0,6,0,0
2020,5,28,0,6,0,0
2020,5,29,0,6,0,0
2020,5,30,0,6,0,0
2020,5,31,0,6,0,0
2020,6,1,0,6,0,0
2020,6,2,0,18,0,0
2020,6,3,0,18,0,0
2020,6,4,0,18,0,0
2020,6,5,0,18,0,0
2020,6,6,0,18,0,0
2020,6,7,0,18,0,0
2020,6,8,0,18,0,0
2020,6,9,0,16,0,0
2020,6,10,0,16,0,0
2020,6,11,0,16,0,0
2020,6,12,0,16,0,0
2020,6,13,0,16,0,0
2020,6,14,0,16,0,0
2020,6,15,0,16,0,0
2020,6,16,0,14,0,0
2020,6,17,0,14,0,0
2020,6,18,0,14,0,0
2020,6,19,0,14,0,0
2020,6,20,0,14,0,0
2020,6,21,0,14,0,0
2020,6,22,0,14,0,0
2020,6,23,0,11,0,0
2020,6,24,0,11,0,0
2020,6,25,0,11,0,0
2020,6,26,0,11,0,0
2020,6,27,0,11,0,0
2020,6,28,0,11,0,0
2020,6,29,0,11,0,0
2020,6,30,0,9,0,0
2020,7,1,0,9,0,0
2020,7,2,0,9,0,0
2020,7,3,0,9,0,0
2020,7,4,0,9,0,0
2020,7,5,0,9,0,0
2020,7,6,0,9,0,0
2020,7,7,0,17,0,0
2020,7,8,0,17,0,0
2020,7,9,0,17,0,0
2020,7,10,0,17,0,0
2020,7,11,0,17,0,0
2020,7,12,0,17,0,0
2020,7,13,0,17,0,0
2020,7,14,0,23,0,0
2020,7,15,0,23,0,0
2020,7,16,0,23,0,0
2020,7,17,0,23,0,0
2020,7,18,0,23,0,0
2020,7,19,0,23,0,0
2020,7,20,0,23,0,0
