year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,130,0,0
2020,3,12,0,130,0,0
2020,3,13,0,130,0,0
2020,3,14,0,130,0,0
2020,3,15,0,130,0,0
2020,3,16,0,130,0,0
2020,3,17,2,18,0,0
2020,3,18,2,18,0,0
2020,3,19,2,18,0,0
2020,3,20,2,18,0,0
2020,3,21,2,18,0,0
2020,3,22,2,18,0,0
2020,3,23,2,18,0,0
2020,3,24,5,42,0,0
2020,3,25,5,42,0,0
2020,3,26,5,42,0,0
2020,3,27,5,42,0,0
2020,3,28,5,42,0,0
2020,3,29,5,42,0,0
2020,3,30,5,42,0,0
2020,3,31,4,101,0,0
2020,4,1,4,101,0,0
2020,4,2,4,101,0,0
2020,4,3,4,101,0,0
2020,4,4,4,101,0,0
2020,4,5,4,101,0,0
2020,4,6,4,101,0,0
2020,4,7,11,158,4,0
2020,4,8,11,158,4,0
2020,4,9,11,158,4,0
2020,4,10,11,158,4,0
2020,4,11,11,158,4,0
2020,4,12,11,158,4,0
2020,4,13,11,158,4,0
2020,4,14,0,103,5,0
2020,4,15,0,103,5,0
2020,4,16,0,103,5,0
2020,4,17,0,103,5,0
2020,4,18,0,103,5,0
2020,4,19,0,103,5,0
2020,4,20,0,103,5,0
2020,4,21,1,86,5,0
2020,4,22,1,86,5,0
2020,4,23,1,86,5,0
2020,4,24,1,86,5,0
2020,4,25,1,86,5,0
2020,4,26,1,86,5,0
2020,4,27,1,86,5,0
2020,4,28,3,63,0,0
2020,4,29,3,63,0,0
2020,4,30,3,63,0,0
2020,5,1,3,63,0,0
2020,5,2,3,63,0,0
2020,5,3,3,63,0,0
2020,5,4,3,63,0,0
2020,5,5,1,117,7,0
2020,5,6,1,117,7,0
2020,5,7,1,117,7,0
2020,5,8,1,117,7,0
2020,5,9,1,117,7,0
2020,5,10,1,117,7,0
2020,5,11,1,117,7,0
2020,5,12,0,42,0,1
2020,5,13,0,42,0,1
2020,5,14,0,42,0,1
2020,5,15,0,42,0,1
2020,5,16,0,42,0,1
2020,5,17,0,42,0,1
2020,5,18,0,42,0,1
2020,5,19,0,22,3,0
2020,5,20,0,22,3,0
2020,5,21,0,22,3,0
2020,5,22,0,22,3,0
2020,5,23,0,22,3,0
2020,5,24,0,22,3,0
2020,5,25,0,22,3,0
2020,5,26,0,29,2,0
2020,5,27,0,29,2,0
2020,5,28,0,29,2,0
2020,5,29,0,29,2,0
2020,5,30,0,29,2,0
2020,5,31,0,29,2,0
2020,6,1,0,29,2,0
2020,6,2,0,35,0,0
2020,6,3,0,35,0,0
2020,6,4,0,35,0,0
2020,6,5,0,35,0,0
2020,6,6,0,35,0,0
2020,6,7,0,35,0,0
2020,6,8,0,35,0,0
2020,6,9,0,29,0,0
2020,6,10,0,29,0,0
2020,6,11,0,29,0,0
2020,6,12,0,29,0,0
2020,6,13,0,29,0,0
2020,6,14,0,29,0,0
2020,6,15,0,29,0,0
2020,6,16,0,24,0,0
2020,6,17,0,24,0,0
2020,6,18,0,24,0,0
2020,6,19,0,24,0,0
2020,6,20,0,24,0,0
2020,6,21,0,24,0,0
2020,6,22,0,24,0,0
2020,6,23,0,33,0,0
2020,6,24,0,33,0,0
2020,6,25,0,33,0,0
2020,6,26,0,33,0,0
2020,6,27,0,33,0,0
2020,6,28,0,33,0,0
2020,6,29,0,33,0,0
2020,6,30,0,41,0,0
2020,7,1,0,41,0,0
2020,7,2,0,41,0,0
2020,7,3,0,41,0,0
2020,7,4,0,41,0,0
2020,7,5,0,41,0,0
2020,7,6,0,41,0,0
2020,7,7,2,71,-1,0
2020,7,8,2,71,-1,0
2020,7,9,2,71,-1,0
2020,7,10,2,71,-1,0
2020,7,11,2,71,-1,0
2020,7,12,2,71,-1,0
2020,7,13,2,71,-1,0
2020,7,14,1,201,0,0
2020,7,15,1,201,0,0
2020,7,16,1,201,0,0
2020,7,17,1,201,0,0
2020,7,18,1,201,0,0
2020,7,19,1,201,0,0
2020,7,20,1,201,0,0
