year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,56,0,0,0
2020,3,12,56,0,0,0
2020,3,13,56,0,0,0
2020,3,14,56,0,0,0
2020,3,15,56,0,0,0
2020,3,16,56,0,0,0
2020,3,17,16,31,15,0
2020,3,18,16,31,15,0
2020,3,19,16,31,15,0
2020,3,20,16,31,15,0
2020,3,21,16,31,15,0
2020,3,22,16,31,15,0
2020,3,23,16,31,15,0
2020,3,24,113,331,4,1
2020,3,25,113,331,4,1
2020,3,26,113,331,4,1
2020,3,27,113,331,4,1
2020,3,28,113,331,4,1
2020,3,29,113,331,4,1
2020,3,30,113,331,4,1
2020,3,31,93,935,13,0
2020,4,1,93,935,13,0
2020,4,2,93,935,13,0
2020,4,3,93,935,13,0
2020,4,4,93,935,13,0
2020,4,5,93,935,13,0
2020,4,6,93,935,13,0
2020,4,7,221,1032,7,3
2020,4,8,221,1032,7,3
2020,4,9,221,1032,7,3
2020,4,10,221,1032,7,3
2020,4,11,221,1032,7,3
2020,4,12,221,1032,7,3
2020,4,13,221,1032,7,3
2020,4,14,209,1474,38,4
2020,4,15,209,1474,38,4
2020,4,16,209,1474,38,4
2020,4,17,209,1474,38,4
2020,4,18,209,1474,38,4
2020,4,19,209,1474,38,4
2020,4,20,209,1474,38,4
2020,4,21,110,1709,21,15
2020,4,22,110,1709,21,15
2020,4,23,110,1709,21,15
2020,4,24,110,1709,21,15
2020,4,25,110,1709,21,15
2020,4,26,110,1709,21,15
2020,4,27,110,1709,21,15
2020,4,28,35,862,13,3
2020,4,29,35,862,13,3
2020,4,30,35,862,13,3
2020,5,1,35,862,13,3
2020,5,2,35,862,13,3
2020,5,3,35,862,13,3
2020,5,4,35,862,13,3
2020,5,5,55,6419,392,14
2020,5,6,55,6419,392,14
2020,5,7,55,6419,392,14
2020,5,8,55,6419,392,14
2020,5,9,55,6419,392,14
2020,5,10,55,6419,392,14
2020,5,11,55,6419,392,14
2020,5,12,17,162,159,2
2020,5,13,17,162,159,2
2020,5,14,17,162,159,2
2020,5,15,17,162,159,2
2020,5,16,17,162,159,2
2020,5,17,17,162,159,2
2020,5,18,17,162,159,2
2020,5,19,4,1023,112,2
2020,5,20,4,1023,112,2
2020,5,21,4,1023,112,2
2020,5,22,4,1023,112,2
2020,5,23,4,1023,112,2
2020,5,24,4,1023,112,2
2020,5,25,4,1023,112,2
2020,5,26,5,836,41,1
2020,5,27,5,836,41,1
2020,5,28,5,836,41,1
2020,5,29,5,836,41,1
2020,5,30,5,836,41,1
2020,5,31,5,836,41,1
2020,6,1,5,836,41,1
2020,6,2,-2,844,26,0
2020,6,3,-2,844,26,0
2020,6,4,-2,844,26,0
2020,6,5,-2,844,26,0
2020,6,6,-2,844,26,0
2020,6,7,-2,844,26,0
2020,6,8,-2,844,26,0
2020,6,9,12,1058,5,0
2020,6,10,12,1058,5,0
2020,6,11,12,1058,5,0
2020,6,12,12,1058,5,0
2020,6,13,12,1058,5,0
2020,6,14,12,1058,5,0
2020,6,15,12,1058,5,0
2020,6,16,7,601,15,0
2020,6,17,7,601,15,0
2020,6,18,7,601,15,0
2020,6,19,7,601,15,0
2020,6,20,7,601,15,0
2020,6,21,7,601,15,0
2020,6,22,7,601,15,0
2020,6,23,23,730,7,0
2020,6,24,23,730,7,0
2020,6,25,23,730,7,0
2020,6,26,23,730,7,0
2020,6,27,23,730,7,0
2020,6,28,23,730,7,0
2020,6,29,23,730,7,0
2020,6,30,70,1229,27,0
2020,7,1,70,1229,27,0
2020,7,2,70,1229,27,0
2020,7,3,70,1229,27,0
2020,7,4,70,1229,27,0
2020,7,5,70,1229,27,0
2020,7,6,70,1229,27,0
2020,7,7,118,1648,35,1
2020,7,8,118,1648,35,1
2020,7,9,118,1648,35,1
2020,7,10,118,1648,35,1
2020,7,11,118,1648,35,1
2020,7,12,118,1648,35,1
2020,7,13,118,1648,35,1
2020,7,14,181,2969,84,0
2020,7,15,181,2969,84,0
2020,7,16,181,2969,84,0
2020,7,17,181,2969,84,0
2020,7,18,181,2969,84,0
2020,7,19,181,2969,84,0
2020,7,20,181,2969,84,0
