year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,4,315,0,0
2020,3,12,4,315,0,0
2020,3,13,4,315,0,0
2020,3,14,4,315,0,0
2020,3,15,4,315,0,0
2020,3,16,4,315,0,0
2020,3,17,1,42,1,0
2020,3,18,1,42,1,0
2020,3,19,1,42,1,0
2020,3,20,1,42,1,0
2020,3,21,1,42,1,0
2020,3,22,1,42,1,0
2020,3,23,1,42,1,0
2020,3,24,1,42,1,0
2020,3,25,1,42,1,0
2020,3,26,1,42,1,0
2020,3,27,1,42,1,0
2020,3,28,1,42,1,0
2020,3,29,1,42,1,0
2020,3,30,1,42,1,0
2020,3,31,10,157,2,1
2020,4,1,10,157,2,1
2020,4,2,10,157,2,1
2020,4,3,10,157,2,1
2020,4,4,10,157,2,1
2020,4,5,10,157,2,1
2020,4,6,10,157,2,1
2020,4,7,23,224,0,1
2020,4,8,23,224,0,1
2020,4,9,23,224,0,1
2020,4,10,23,224,0,1
2020,4,11,23,224,0,1
2020,4,12,23,224,0,1
2020,4,13,23,224,0,1
2020,4,14,9,213,5,1
2020,4,15,9,213,5,1
2020,4,16,9,213,5,1
2020,4,17,9,213,5,1
2020,4,18,9,213,5,1
2020,4,19,9,213,5,1
2020,4,20,9,213,5,1
2020,4,21,1,180,15,0
2020,4,22,1,180,15,0
2020,4,23,1,180,15,0
2020,4,24,1,180,15,0
2020,4,25,1,180,15,0
2020,4,26,1,180,15,0
2020,4,27,1,180,15,0
2020,4,28,1,92,7,0
2020,4,29,1,92,7,0
2020,4,30,1,92,7,0
2020,5,1,1,92,7,0
2020,5,2,1,92,7,0
2020,5,3,1,92,7,0
2020,5,4,1,92,7,0
2020,5,5,0,160,7,0
2020,5,6,0,160,7,0
2020,5,7,0,160,7,0
2020,5,8,0,160,7,0
2020,5,9,0,160,7,0
2020,5,10,0,160,7,0
2020,5,11,0,160,7,0
2020,5,12,25,419,5,0
2020,5,13,25,419,5,0
2020,5,14,25,419,5,0
2020,5,15,25,419,5,0
2020,5,16,25,419,5,0
2020,5,17,25,419,5,0
2020,5,18,25,419,5,0
2020,5,19,8,220,2,1
2020,5,20,8,220,2,1
2020,5,21,8,220,2,1
2020,5,22,8,220,2,1
2020,5,23,8,220,2,1
2020,5,24,8,220,2,1
2020,5,25,8,220,2,1
2020,5,26,1,293,7,0
2020,5,27,1,293,7,0
2020,5,28,1,293,7,0
2020,5,29,1,293,7,0
2020,5,30,1,293,7,0
2020,5,31,1,293,7,0
2020,6,1,1,293,7,0
2020,6,2,0,254,14,0
2020,6,3,0,254,14,0
2020,6,4,0,254,14,0
2020,6,5,0,254,14,0
2020,6,6,0,254,14,0
2020,6,7,0,254,14,0
2020,6,8,0,254,14,0
2020,6,9,0,65,6,0
2020,6,10,0,65,6,0
2020,6,11,0,65,6,0
2020,6,12,0,65,6,0
2020,6,13,0,65,6,0
2020,6,14,0,65,6,0
2020,6,15,0,65,6,0
2020,6,16,0,45,2,0
2020,6,17,0,45,2,0
2020,6,18,0,45,2,0
2020,6,19,0,45,2,0
2020,6,20,0,45,2,0
2020,6,21,0,45,2,0
2020,6,22,0,45,2,0
2020,6,23,0,33,3,0
2020,6,24,0,33,3,0
2020,6,25,0,33,3,0
2020,6,26,0,33,3,0
2020,6,27,0,33,3,0
2020,6,28,0,33,3,0
2020,6,29,0,33,3,0
2020,6,30,0,33,0,1
2020,7,1,0,33,0,1
2020,7,2,0,33,0,1
2020,7,3,0,33,0,1
2020,7,4,0,33,0,1
2020,7,5,0,33,0,1
2020,7,6,0,33,0,1
2020,7,7,0,40,0,0
2020,7,8,0,40,0,0
2020,7,9,0,40,0,0
2020,7,10,0,40,0,0
2020,7,11,0,40,0,0
2020,7,12,0,40,0,0
2020,7,13,0,40,0,0
2020,7,14,1,53,0,0
2020,7,15,1,53,0,0
2020,7,16,1,53,0,0
2020,7,17,1,53,0,0
2020,7,18,1,53,0,0
2020,7,19,1,53,0,0
2020,7,20,1,53,0,0
