year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,150,0,0
2020,3,12,0,150,0,0
2020,3,13,0,150,0,0
2020,3,14,0,150,0,0
2020,3,15,0,150,0,0
2020,3,16,0,150,0,0
2020,3,17,1,23,0,0
2020,3,18,1,23,0,0
2020,3,19,1,23,0,0
2020,3,20,1,23,0,0
2020,3,21,1,23,0,0
2020,3,22,1,23,0,0
2020,3,23,1,23,0,0
2020,3,24,14,58,0,0
2020,3,25,14,58,0,0
2020,3,26,14,58,0,0
2020,3,27,14,58,0,0
2020,3,28,14,58,0,0
2020,3,29,14,58,0,0
2020,3,30,14,58,0,0
2020,3,31,42,175,1,2
2020,4,1,42,175,1,2
2020,4,2,42,175,1,2
2020,4,3,42,175,1,2
2020,4,4,42,175,1,2
2020,4,5,42,175,1,2
2020,4,6,42,175,1,2
2020,4,7,35,375,6,0
2020,4,8,35,375,6,0
2020,4,9,35,375,6,0
2020,4,10,35,375,6,0
2020,4,11,35,375,6,0
2020,4,12,35,375,6,0
2020,4,13,35,375,6,0
2020,4,14,21,344,19,2
2020,4,15,21,344,19,2
2020,4,16,21,344,19,2
2020,4,17,21,344,19,2
2020,4,18,21,344,19,2
2020,4,19,21,344,19,2
2020,4,20,21,344,19,2
2020,4,21,8,408,37,2
2020,4,22,8,408,37,2
2020,4,23,8,408,37,2
2020,4,24,8,408,37,2
2020,4,25,8,408,37,2
2020,4,26,8,408,37,2
2020,4,27,8,408,37,2
2020,4,28,1,309,15,2
2020,4,29,1,309,15,2
2020,4,30,1,309,15,2
2020,5,1,1,309,15,2
2020,5,2,1,309,15,2
2020,5,3,1,309,15,2
2020,5,4,1,309,15,2
2020,5,5,0,326,17,0
2020,5,6,0,326,17,0
2020,5,7,0,326,17,0
2020,5,8,0,326,17,0
2020,5,9,0,326,17,0
2020,5,10,0,326,17,0
2020,5,11,0,326,17,0
2020,5,12,0,225,9,0
2020,5,13,0,225,9,0
2020,5,14,0,225,9,0
2020,5,15,0,225,9,0
2020,5,16,0,225,9,0
2020,5,17,0,225,9,0
2020,5,18,0,225,9,0
2020,5,19,0,154,5,0
2020,5,20,0,154,5,0
2020,5,21,0,154,5,0
2020,5,22,0,154,5,0
2020,5,23,0,154,5,0
2020,5,24,0,154,5,0
2020,5,25,0,154,5,0
2020,5,26,0,162,3,0
2020,5,27,0,162,3,0
2020,5,28,0,162,3,0
2020,5,29,0,162,3,0
2020,5,30,0,162,3,0
2020,5,31,0,162,3,0
2020,6,1,0,162,3,0
2020,6,2,0,201,1,0
2020,6,3,0,201,1,0
2020,6,4,0,201,1,0
2020,6,5,0,201,1,0
2020,6,6,0,201,1,0
2020,6,7,0,201,1,0
2020,6,8,0,201,1,0
2020,6,9,0,189,1,0
2020,6,10,0,189,1,0
2020,6,11,0,189,1,0
2020,6,12,0,189,1,0
2020,6,13,0,189,1,0
2020,6,14,0,189,1,0
2020,6,15,0,189,1,0
2020,6,16,0,184,0,0
2020,6,17,0,184,0,0
2020,6,18,0,184,0,0
2020,6,19,0,184,0,0
2020,6,20,0,184,0,0
2020,6,21,0,184,0,0
2020,6,22,0,184,0,0
2020,6,23,0,160,0,0
2020,6,24,0,160,0,0
2020,6,25,0,160,0,0
2020,6,26,0,160,0,0
2020,6,27,0,160,0,0
2020,6,28,0,160,0,0
2020,6,29,0,160,0,0
2020,6,30,0,156,0,0
2020,7,1,0,156,0,0
2020,7,2,0,156,0,0
2020,7,3,0,156,0,0
2020,7,4,0,156,0,0
2020,7,5,0,156,0,0
2020,7,6,0,156,0,0
2020,7,7,2,158,0,0
2020,7,8,2,158,0,0
2020,7,9,2,158,0,0
2020,7,10,2,158,0,0
2020,7,11,2,158,0,0
2020,7,12,2,158,0,0
2020,7,13,2,158,0,0
2020,7,14,2,319,0,0
2020,7,15,2,319,0,0
2020,7,16,2,319,0,0
2020,7,17,2,319,0,0
2020,7,18,2,319,0,0
2020,7,19,2,319,0,0
2020,7,20,2,319,0,0
