year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,6,1070,0,0
2020,3,12,6,1070,0,0
2020,3,13,6,1070,0,0
2020,3,14,6,1070,0,0
2020,3,15,6,1070,0,0
2020,3,16,6,1070,0,0
2020,3,17,3,111,2,0
2020,3,18,3,111,2,0
2020,3,19,3,111,2,0
2020,3,20,3,111,2,0
2020,3,21,3,111,2,0
2020,3,22,3,111,2,0
2020,3,23,3,111,2,0
2020,3,24,17,344,0,0
2020,3,25,17,344,0,0
2020,3,26,17,344,0,0
2020,3,27,17,344,0,0
2020,3,28,17,344,0,0
2020,3,29,17,344,0,0
2020,3,30,17,344,0,0
2020,3,31,90,1382,4,0
2020,4,1,90,1382,4,0
2020,4,2,90,1382,4,0
2020,4,3,90,1382,4,0
2020,4,4,90,1382,4,0
2020,4,5,90,1382,4,0
2020,4,6,90,1382,4,0
2020,4,7,260,2636,1,0
2020,4,8,260,2636,1,0
2020,4,9,260,2636,1,0
2020,4,10,260,2636,1,0
2020,4,11,260,2636,1,0
2020,4,12,260,2636,1,0
2020,4,13,260,2636,1,0
2020,4,14,151,2212,80,13
2020,4,15,151,2212,80,13
2020,4,16,151,2212,80,13
2020,4,17,151,2212,80,13
2020,4,18,151,2212,80,13
2020,4,19,151,2212,80,13
2020,4,20,151,2212,80,13
2020,4,21,91,1348,74,3
2020,4,22,91,1348,74,3
2020,4,23,91,1348,74,3
2020,4,24,91,1348,74,3
2020,4,25,91,1348,74,3
2020,4,26,91,1348,74,3
2020,4,27,91,1348,74,3
2020,4,28,33,789,12,6
2020,4,29,33,789,12,6
2020,4,30,33,789,12,6
2020,5,1,33,789,12,6
2020,5,2,33,789,12,6
2020,5,3,33,789,12,6
2020,5,4,33,789,12,6
2020,5,5,6,1135,295,2
2020,5,6,6,1135,295,2
2020,5,7,6,1135,295,2
2020,5,8,6,1135,295,2
2020,5,9,6,1135,295,2
2020,5,10,6,1135,295,2
2020,5,11,6,1135,295,2
2020,5,12,4,962,82,1
2020,5,13,4,962,82,1
2020,5,14,4,962,82,1
2020,5,15,4,962,82,1
2020,5,16,4,962,82,1
2020,5,17,4,962,82,1
2020,5,18,4,962,82,1
2020,5,19,8,352,46,0
2020,5,20,8,352,46,0
2020,5,21,8,352,46,0
2020,5,22,8,352,46,0
2020,5,23,8,352,46,0
2020,5,24,8,352,46,0
2020,5,25,8,352,46,0
2020,5,26,92,961,29,1
2020,5,27,92,961,29,1
2020,5,28,92,961,29,1
2020,5,29,92,961,29,1
2020,5,30,92,961,29,1
2020,5,31,92,961,29,1
2020,6,1,92,961,29,1
2020,6,2,44,1507,17,1
2020,6,3,44,1507,17,1
2020,6,4,44,1507,17,1
2020,6,5,44,1507,17,1
2020,6,6,44,1507,17,1
2020,6,7,44,1507,17,1
2020,6,8,44,1507,17,1
2020,6,9,23,674,100,1
2020,6,10,23,674,100,1
2020,6,11,23,674,100,1
2020,6,12,23,674,100,1
2020,6,13,23,674,100,1
2020,6,14,23,674,100,1
2020,6,15,23,674,100,1
2020,6,16,13,574,42,0
2020,6,17,13,574,42,0
2020,6,18,13,574,42,0
2020,6,19,13,574,42,0
2020,6,20,13,574,42,0
2020,6,21,13,574,42,0
2020,6,22,13,574,42,0
2020,6,23,7,818,15,5
2020,6,24,7,818,15,5
2020,6,25,7,818,15,5
2020,6,26,7,818,15,5
2020,6,27,7,818,15,5
2020,6,28,7,818,15,5
2020,6,29,7,818,15,5
2020,6,30,32,615,8,0
2020,7,1,32,615,8,0
2020,7,2,32,615,8,0
2020,7,3,32,615,8,0
2020,7,4,32,615,8,0
2020,7,5,32,615,8,0
2020,7,6,32,615,8,0
2020,7,7,45,1031,15,0
2020,7,8,45,1031,15,0
2020,7,9,45,1031,15,0
2020,7,10,45,1031,15,0
2020,7,11,45,1031,15,0
2020,7,12,45,1031,15,0
2020,7,13,45,1031,15,0
2020,7,14,106,1321,42,0
2020,7,15,106,1321,42,0
2020,7,16,106,1321,42,0
2020,7,17,106,1321,42,0
2020,7,18,106,1321,42,0
2020,7,19,106,1321,42,0
2020,7,20,106,1321,42,0
