year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,3,209,0,0
2020,3,12,3,209,0,0
2020,3,13,3,209,0,0
2020,3,14,3,209,0,0
2020,3,15,3,209,0,0
2020,3,16,3,209,0,0
2020,3,17,0,41,0,0
2020,3,18,0,41,0,0
2020,3,19,0,41,0,0
2020,3,20,0,41,0,0
2020,3,21,0,41,0,0
2020,3,22,0,41,0,0
2020,3,23,0,41,0,0
2020,3,24,0,46,0,0
2020,3,25,0,46,0,0
2020,3,26,0,46,0,0
2020,3,27,0,46,0,0
2020,3,28,0,46,0,0
2020,3,29,0,46,0,0
2020,3,30,0,46,0,0
2020,3,31,14,125,1,0
2020,4,1,14,125,1,0
2020,4,2,14,125,1,0
2020,4,3,14,125,1,0
2020,4,4,14,125,1,0
2020,4,5,14,125,1,0
2020,4,6,14,125,1,0
2020,4,7,22,373,2,0
2020,4,8,22,373,2,0
2020,4,9,22,373,2,0
2020,4,10,22,373,2,0
2020,4,11,22,373,2,0
2020,4,12,22,373,2,0
2020,4,13,22,373,2,0
2020,4,14,26,430,11,0
2020,4,15,26,430,11,0
2020,4,16,26,430,11,0
2020,4,17,26,430,11,0
2020,4,18,26,430,11,0
2020,4,19,26,430,11,0
2020,4,20,26,430,11,0
2020,4,21,5,503,5,0
2020,4,22,5,503,5,0
2020,4,23,5,503,5,0
2020,4,24,5,503,5,0
2020,4,25,5,503,5,0
2020,4,26,5,503,5,0
2020,4,27,5,503,5,0
2020,4,28,9,210,0,0
2020,4,29,9,210,0,0
2020,4,30,9,210,0,0
2020,5,1,9,210,0,0
2020,5,2,9,210,0,0
2020,5,3,9,210,0,0
2020,5,4,9,210,0,0
2020,5,5,3,610,31,0
2020,5,6,3,610,31,0
2020,5,7,3,610,31,0
2020,5,8,3,610,31,0
2020,5,9,3,610,31,0
2020,5,10,3,610,31,0
2020,5,11,3,610,31,0
2020,5,12,0,716,16,0
2020,5,13,0,716,16,0
2020,5,14,0,716,16,0
2020,5,15,0,716,16,0
2020,5,16,0,716,16,0
2020,5,17,0,716,16,0
2020,5,18,0,716,16,0
2020,5,19,0,713,5,0
2020,5,20,0,713,5,0
2020,5,21,0,713,5,0
2020,5,22,0,713,5,0
2020,5,23,0,713,5,0
2020,5,24,0,713,5,0
2020,5,25,0,713,5,0
2020,5,26,0,606,4,0
2020,5,27,0,606,4,0
2020,5,28,0,606,4,0
2020,5,29,0,606,4,0
2020,5,30,0,606,4,0
2020,5,31,0,606,4,0
2020,6,1,0,606,4,0
2020,6,2,0,544,3,0
2020,6,3,0,544,3,0
2020,6,4,0,544,3,0
2020,6,5,0,544,3,0
2020,6,6,0,544,3,0
2020,6,7,0,544,3,0
2020,6,8,0,544,3,0
2020,6,9,0,566,1,0
2020,6,10,0,566,1,0
2020,6,11,0,566,1,0
2020,6,12,0,566,1,0
2020,6,13,0,566,1,0
2020,6,14,0,566,1,0
2020,6,15,0,566,1,0
2020,6,16,1,554,1,0
2020,6,17,1,554,1,0
2020,6,18,1,554,1,0
2020,6,19,1,554,1,0
2020,6,20,1,554,1,0
2020,6,21,1,554,1,0
2020,6,22,1,554,1,0
2020,6,23,0,496,0,0
2020,6,24,0,496,0,0
2020,6,25,0,496,0,0
2020,6,26,0,496,0,0
2020,6,27,0,496,0,0
2020,6,28,0,496,0,0
2020,6,29,0,496,0,0
2020,6,30,0,626,1,0
2020,7,1,0,626,1,0
2020,7,2,0,626,1,0
2020,7,3,0,626,1,0
2020,7,4,0,626,1,0
2020,7,5,0,626,1,0
2020,7,6,0,626,1,0
2020,7,7,1,616,1,0
2020,7,8,1,616,1,0
2020,7,9,1,616,1,0
2020,7,10,1,616,1,0
2020,7,11,1,616,1,0
2020,7,12,1,616,1,0
2020,7,13,1,616,1,0
2020,7,14,1,644,0,0
2020,7,15,1,644,0,0
2020,7,16,1,644,0,0
2020,7,17,1,644,0,0
2020,7,18,1,644,0,0
2020,7,19,1,644,0,0
2020,7,20,1,644,0,0
