year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,4,450,0,0
2020,3,12,4,450,0,0
2020,3,13,4,450,0,0
2020,3,14,4,450,0,0
2020,3,15,4,450,0,0
2020,3,16,4,450,0,0
2020,3,17,6,55,1,0
2020,3,18,6,55,1,0
2020,3,19,6,55,1,0
2020,3,20,6,55,1,0
2020,3,21,6,55,1,0
2020,3,22,6,55,1,0
2020,3,23,6,55,1,0
2020,3,24,13,325,0,0
2020,3,25,13,325,0,0
2020,3,26,13,325,0,0
2020,3,27,13,325,0,0
2020,3,28,13,325,0,0
2020,3,29,13,325,0,0
2020,3,30,13,325,0,0
2020,3,31,30,337,1,1
2020,4,1,30,337,1,1
2020,4,2,30,337,1,1
2020,4,3,30,337,1,1
2020,4,4,30,337,1,1
2020,4,5,30,337,1,1
2020,4,6,30,337,1,1
2020,4,7,61,476,3,0
2020,4,8,61,476,3,0
2020,4,9,61,476,3,0
2020,4,10,61,476,3,0
2020,4,11,61,476,3,0
2020,4,12,61,476,3,0
2020,4,13,61,476,3,0
2020,4,14,27,677,19,2
2020,4,15,27,677,19,2
2020,4,16,27,677,19,2
2020,4,17,27,677,19,2
2020,4,18,27,677,19,2
2020,4,19,27,677,19,2
2020,4,20,27,677,19,2
2020,4,21,7,243,33,4
2020,4,22,7,243,33,4
2020,4,23,7,243,33,4
2020,4,24,7,243,33,4
2020,4,25,7,243,33,4
2020,4,26,7,243,33,4
2020,4,27,7,243,33,4
2020,4,28,4,42,24,-1
2020,4,29,4,42,24,-1
2020,4,30,4,42,24,-1
2020,5,1,4,42,24,-1
2020,5,2,4,42,24,-1
2020,5,3,4,42,24,-1
2020,5,4,4,42,24,-1
2020,5,5,0,1086,42,0
2020,5,6,0,1086,42,0
2020,5,7,0,1086,42,0
2020,5,8,0,1086,42,0
2020,5,9,0,1086,42,0
2020,5,10,0,1086,42,0
2020,5,11,0,1086,42,0
2020,5,12,0,-425,12,1
2020,5,13,0,-425,12,1
2020,5,14,0,-425,12,1
2020,5,15,0,-425,12,1
2020,5,16,0,-425,12,1
2020,5,17,0,-425,12,1
2020,5,18,0,-425,12,1
2020,5,19,0,322,4,0
2020,5,20,0,322,4,0
2020,5,21,0,322,4,0
2020,5,22,0,322,4,0
2020,5,23,0,322,4,0
2020,5,24,0,322,4,0
2020,5,25,0,322,4,0
2020,5,26,1,227,2,0
2020,5,27,1,227,2,0
2020,5,28,1,227,2,0
2020,5,29,1,227,2,0
2020,5,30,1,227,2,0
2020,5,31,1,227,2,0
2020,6,1,1,227,2,0
2020,6,2,1,277,1,0
2020,6,3,1,277,1,0
2020,6,4,1,277,1,0
2020,6,5,1,277,1,0
2020,6,6,1,277,1,0
2020,6,7,1,277,1,0
2020,6,8,1,277,1,0
2020,6,9,2,368,1,0
2020,6,10,2,368,1,0
2020,6,11,2,368,1,0
2020,6,12,2,368,1,0
2020,6,13,2,368,1,0
2020,6,14,2,368,1,0
2020,6,15,2,368,1,0
2020,6,16,2,508,1,0
2020,6,17,2,508,1,0
2020,6,18,2,508,1,0
2020,6,19,2,508,1,0
2020,6,20,2,508,1,0
2020,6,21,2,508,1,0
2020,6,22,2,508,1,0
2020,6,23,0,364,2,0
2020,6,24,0,364,2,0
2020,6,25,0,364,2,0
2020,6,26,0,364,2,0
2020,6,27,0,364,2,0
2020,6,28,0,364,2,0
2020,6,29,0,364,2,0
2020,6,30,4,294,1,0
2020,7,1,4,294,1,0
2020,7,2,4,294,1,0
2020,7,3,4,294,1,0
2020,7,4,4,294,1,0
2020,7,5,4,294,1,0
2020,7,6,4,294,1,0
2020,7,7,2,404,1,0
2020,7,8,2,404,1,0
2020,7,9,2,404,1,0
2020,7,10,2,404,1,0
2020,7,11,2,404,1,0
2020,7,12,2,404,1,0
2020,7,13,2,404,1,0
2020,7,14,18,1324,6,0
2020,7,15,18,1324,6,0
2020,7,16,18,1324,6,0
2020,7,17,18,1324,6,0
2020,7,18,18,1324,6,0
2020,7,19,18,1324,6,0
2020,7,20,18,1324,6,0
