year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,7,196,0,0
2020,3,12,7,196,0,0
2020,3,13,7,196,0,0
2020,3,14,7,196,0,0
2020,3,15,7,196,0,0
2020,3,16,7,196,0,0
2020,3,17,5,87,0,1
2020,3,18,5,87,0,1
2020,3,19,5,87,0,1
2020,3,20,5,87,0,1
2020,3,21,5,87,0,1
2020,3,22,5,87,0,1
2020,3,23,5,87,0,1
2020,3,24,7,51,0,0
2020,3,25,7,51,0,0
2020,3,26,7,51,0,0
2020,3,27,7,51,0,0
2020,3,28,7,51,0,0
2020,3,29,7,51,0,0
2020,3,30,7,51,0,0
2020,3,31,8,1108,1,0
2020,4,1,8,1108,1,0
2020,4,2,8,1108,1,0
2020,4,3,8,1108,1,0
2020,4,4,8,1108,1,0
2020,4,5,8,1108,1,0
2020,4,6,8,1108,1,0
2020,4,7,65,356,4,1
2020,4,8,65,356,4,1
2020,4,9,65,356,4,1
2020,4,10,65,356,4,1
2020,4,11,65,356,4,1
2020,4,12,65,356,4,1
2020,4,13,65,356,4,1
2020,4,14,33,386,9,3
2020,4,15,33,386,9,3
2020,4,16,33,386,9,3
2020,4,17,33,386,9,3
2020,4,18,33,386,9,3
2020,4,19,33,386,9,3
2020,4,20,33,386,9,3
2020,4,21,22,486,1,4
2020,4,22,22,486,1,4
2020,4,23,22,486,1,4
2020,4,24,22,486,1,4
2020,4,25,22,486,1,4
2020,4,26,22,486,1,4
2020,4,27,22,486,1,4
2020,4,28,0,7,21,7
2020,4,29,0,7,21,7
2020,4,30,0,7,21,7
2020,5,1,0,7,21,7
2020,5,2,0,7,21,7
2020,5,3,0,7,21,7
2020,5,4,0,7,21,7
2020,5,5,1,468,32,2
2020,5,6,1,468,32,2
2020,5,7,1,468,32,2
2020,5,8,1,468,32,2
2020,5,9,1,468,32,2
2020,5,10,1,468,32,2
2020,5,11,1,468,32,2
2020,5,12,0,244,28,0
2020,5,13,0,244,28,0
2020,5,14,0,244,28,0
2020,5,15,0,244,28,0
2020,5,16,0,244,28,0
2020,5,17,0,244,28,0
2020,5,18,0,244,28,0
2020,5,19,2,154,16,1
2020,5,20,2,154,16,1
2020,5,21,2,154,16,1
2020,5,22,2,154,16,1
2020,5,23,2,154,16,1
2020,5,24,2,154,16,1
2020,5,25,2,154,16,1
2020,5,26,0,200,9,0
2020,5,27,0,200,9,0
2020,5,28,0,200,9,0
2020,5,29,0,200,9,0
2020,5,30,0,200,9,0
2020,5,31,0,200,9,0
2020,6,1,0,200,9,0
2020,6,2,2,311,4,0
2020,6,3,2,311,4,0
2020,6,4,2,311,4,0
2020,6,5,2,311,4,0
2020,6,6,2,311,4,0
2020,6,7,2,311,4,0
2020,6,8,2,311,4,0
2020,6,9,0,380,3,0
2020,6,10,0,380,3,0
2020,6,11,0,380,3,0
2020,6,12,0,380,3,0
2020,6,13,0,380,3,0
2020,6,14,0,380,3,0
2020,6,15,0,380,3,0
2020,6,16,0,275,2,0
2020,6,17,0,275,2,0
2020,6,18,0,275,2,0
2020,6,19,0,275,2,0
2020,6,20,0,275,2,0
2020,6,21,0,275,2,0
2020,6,22,0,275,2,0
2020,6,23,1,306,1,0
2020,6,24,1,306,1,0
2020,6,25,1,306,1,0
2020,6,26,1,306,1,0
2020,6,27,1,306,1,0
2020,6,28,1,306,1,0
2020,6,29,1,306,1,0
2020,6,30,3,365,2,0
2020,7,1,3,365,2,0
2020,7,2,3,365,2,0
2020,7,3,3,365,2,0
2020,7,4,3,365,2,0
2020,7,5,3,365,2,0
2020,7,6,3,365,2,0
2020,7,7,1,503,1,0
2020,7,8,1,503,1,0
2020,7,9,1,503,1,0
2020,7,10,1,503,1,0
2020,7,11,1,503,1,0
2020,7,12,1,503,1,0
2020,7,13,1,503,1,0
2020,7,14,11,1130,2,0
2020,7,15,11,1130,2,0
2020,7,16,11,1130,2,0
2020,7,17,11,1130,2,0
2020,7,18,11,1130,2,0
2020,7,19,11,1130,2,0
2020,7,20,11,1130,2,0
