year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2,753,0,0
2020,3,12,2,753,0,0
2020,3,13,2,753,0,0
2020,3,14,2,753,0,0
2020,3,15,2,753,0,0
2020,3,16,2,753,0,0
2020,3,17,2,168,1,0
2020,3,18,2,168,1,0
2020,3,19,2,168,1,0
2020,3,20,2,168,1,0
2020,3,21,2,168,1,0
2020,3,22,2,168,1,0
2020,3,23,2,168,1,0
2020,3,24,3,270,0,0
2020,3,25,3,270,0,0
2020,3,26,3,270,0,0
2020,3,27,3,270,0,0
2020,3,28,3,270,0,0
2020,3,29,3,270,0,0
2020,3,30,3,270,0,0
2020,3,31,10,447,0,0
2020,4,1,10,447,0,0
2020,4,2,10,447,0,0
2020,4,3,10,447,0,0
2020,4,4,10,447,0,0
2020,4,5,10,447,0,0
2020,4,6,10,447,0,0
2020,4,7,41,743,2,0
2020,4,8,41,743,2,0
2020,4,9,41,743,2,0
2020,4,10,41,743,2,0
2020,4,11,41,743,2,0
2020,4,12,41,743,2,0
2020,4,13,41,743,2,0
2020,4,14,80,919,9,0
2020,4,15,80,919,9,0
2020,4,16,80,919,9,0
2020,4,17,80,919,9,0
2020,4,18,80,919,9,0
2020,4,19,80,919,9,0
2020,4,20,80,919,9,0
2020,4,21,8,1546,4,1
2020,4,22,8,1546,4,1
2020,4,23,8,1546,4,1
2020,4,24,8,1546,4,1
2020,4,25,8,1546,4,1
2020,4,26,8,1546,4,1
2020,4,27,8,1546,4,1
2020,4,28,17,506,19,1
2020,4,29,17,506,19,1
2020,4,30,17,506,19,1
2020,5,1,17,506,19,1
2020,5,2,17,506,19,1
2020,5,3,17,506,19,1
2020,5,4,17,506,19,1
2020,5,5,3,940,50,0
2020,5,6,3,940,50,0
2020,5,7,3,940,50,0
2020,5,8,3,940,50,0
2020,5,9,3,940,50,0
2020,5,10,3,940,50,0
2020,5,11,3,940,50,0
2020,5,12,1,455,29,0
2020,5,13,1,455,29,0
2020,5,14,1,455,29,0
2020,5,15,1,455,29,0
2020,5,16,1,455,29,0
2020,5,17,1,455,29,0
2020,5,18,1,455,29,0
2020,5,19,1,322,31,1
2020,5,20,1,322,31,1
2020,5,21,1,322,31,1
2020,5,22,1,322,31,1
2020,5,23,1,322,31,1
2020,5,24,1,322,31,1
2020,5,25,1,322,31,1
2020,5,26,1,200,13,0
2020,5,27,1,200,13,0
2020,5,28,1,200,13,0
2020,5,29,1,200,13,0
2020,5,30,1,200,13,0
2020,5,31,1,200,13,0
2020,6,1,1,200,13,0
2020,6,2,0,285,5,0
2020,6,3,0,285,5,0
2020,6,4,0,285,5,0
2020,6,5,0,285,5,0
2020,6,6,0,285,5,0
2020,6,7,0,285,5,0
2020,6,8,0,285,5,0
2020,6,9,0,196,2,0
2020,6,10,0,196,2,0
2020,6,11,0,196,2,0
2020,6,12,0,196,2,0
2020,6,13,0,196,2,0
2020,6,14,0,196,2,0
2020,6,15,0,196,2,0
2020,6,16,0,178,0,0
2020,6,17,0,178,0,0
2020,6,18,0,178,0,0
2020,6,19,0,178,0,0
2020,6,20,0,178,0,0
2020,6,21,0,178,0,0
2020,6,22,0,178,0,0
2020,6,23,0,164,0,0
2020,6,24,0,164,0,0
2020,6,25,0,164,0,0
2020,6,26,0,164,0,0
2020,6,27,0,164,0,0
2020,6,28,0,164,0,0
2020,6,29,0,164,0,0
2020,6,30,1,170,1,0
2020,7,1,1,170,1,0
2020,7,2,1,170,1,0
2020,7,3,1,170,1,0
2020,7,4,1,170,1,0
2020,7,5,1,170,1,0
2020,7,6,1,170,1,0
2020,7,7,10,421,0,0
2020,7,8,10,421,0,0
2020,7,9,10,421,0,0
2020,7,10,10,421,0,0
2020,7,11,10,421,0,0
2020,7,12,10,421,0,0
2020,7,13,10,421,0,0
2020,7,14,30,891,9,0
2020,7,15,30,891,9,0
2020,7,16,30,891,9,0
2020,7,17,30,891,9,0
2020,7,18,30,891,9,0
2020,7,19,30,891,9,0
2020,7,20,30,891,9,0
