year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,270,2531,0,0
2020,3,12,270,2531,0,0
2020,3,13,270,2531,0,0
2020,3,14,270,2531,0,0
2020,3,15,270,2531,0,0
2020,3,16,270,2531,0,0
2020,3,17,10,313,90,6
2020,3,18,10,313,90,6
2020,3,19,10,313,90,6
2020,3,20,10,313,90,6
2020,3,21,10,313,90,6
2020,3,22,10,313,90,6
2020,3,23,10,313,90,6
2020,3,24,15,301,31,1
2020,3,25,15,301,31,1
2020,3,26,15,301,31,1
2020,3,27,15,301,31,1
2020,3,28,15,301,31,1
2020,3,29,15,301,31,1
2020,3,30,15,301,31,1
2020,3,31,17,369,20,2
2020,4,1,17,369,20,2
2020,4,2,17,369,20,2
2020,4,3,17,369,20,2
2020,4,4,17,369,20,2
2020,4,5,17,369,20,2
2020,4,6,17,369,20,2
2020,4,7,78,812,20,2
2020,4,8,78,812,20,2
2020,4,9,78,812,20,2
2020,4,10,78,812,20,2
2020,4,11,78,812,20,2
2020,4,12,78,812,20,2
2020,4,13,78,812,20,2
2020,4,14,179,988,10,7
2020,4,15,179,988,10,7
2020,4,16,179,988,10,7
2020,4,17,179,988,10,7
2020,4,18,179,988,10,7
2020,4,19,179,988,10,7
2020,4,20,179,988,10,7
2020,4,21,199,1904,31,8
2020,4,22,199,1904,31,8
2020,4,23,199,1904,31,8
2020,4,24,199,1904,31,8
2020,4,25,199,1904,31,8
2020,4,26,199,1904,31,8
2020,4,27,199,1904,31,8
2020,4,28,197,905,52,10
2020,4,29,197,905,52,10
2020,4,30,197,905,52,10
2020,5,1,197,905,52,10
2020,5,2,197,905,52,10
2020,5,3,197,905,52,10
2020,5,4,197,905,52,10
2020,5,5,107,1891,205,20
2020,5,6,107,1891,205,20
2020,5,7,107,1891,205,20
2020,5,8,107,1891,205,20
2020,5,9,107,1891,205,20
2020,5,10,107,1891,205,20
2020,5,11,107,1891,205,20
2020,5,12,60,1825,142,19
2020,5,13,60,1825,142,19
2020,5,14,60,1825,142,19
2020,5,15,60,1825,142,19
2020,5,16,60,1825,142,19
2020,5,17,60,1825,142,19
2020,5,18,60,1825,142,19
2020,5,19,40,1515,133,6
2020,5,20,40,1515,133,6
2020,5,21,40,1515,133,6
2020,5,22,40,1515,133,6
2020,5,23,40,1515,133,6
2020,5,24,40,1515,133,6
2020,5,25,40,1515,133,6
2020,5,26,37,2136,76,5
2020,5,27,37,2136,76,5
2020,5,28,37,2136,76,5
2020,5,29,37,2136,76,5
2020,5,30,37,2136,76,5
2020,5,31,37,2136,76,5
2020,6,1,37,2136,76,5
2020,6,2,30,1603,71,4
2020,6,3,30,1603,71,4
2020,6,4,30,1603,71,4
2020,6,5,30,1603,71,4
2020,6,6,30,1603,71,4
2020,6,7,30,1603,71,4
2020,6,8,30,1603,71,4
2020,6,9,49,1682,75,1
2020,6,10,49,1682,75,1
2020,6,11,49,1682,75,1
2020,6,12,49,1682,75,1
2020,6,13,49,1682,75,1
2020,6,14,49,1682,75,1
2020,6,15,49,1682,75,1
2020,6,16,27,1497,54,4
2020,6,17,27,1497,54,4
2020,6,18,27,1497,54,4
2020,6,19,27,1497,54,4
2020,6,20,27,1497,54,4
2020,6,21,27,1497,54,4
2020,6,22,27,1497,54,4
2020,6,23,42,1320,44,4
2020,6,24,42,1320,44,4
2020,6,25,42,1320,44,4
2020,6,26,42,1320,44,4
2020,6,27,42,1320,44,4
2020,6,28,42,1320,44,4
2020,6,29,42,1320,44,4
2020,6,30,38,1595,39,2
2020,7,1,38,1595,39,2
2020,7,2,38,1595,39,2
2020,7,3,38,1595,39,2
2020,7,4,38,1595,39,2
2020,7,5,38,1595,39,2
2020,7,6,38,1595,39,2
2020,7,7,17,1299,39,0
2020,7,8,17,1299,39,0
2020,7,9,17,1299,39,0
2020,7,10,17,1299,39,0
2020,7,11,17,1299,39,0
2020,7,12,17,1299,39,0
2020,7,13,17,1299,39,0
2020,7,14,54,1872,26,1
2020,7,15,54,1872,26,1
2020,7,16,54,1872,26,1
2020,7,17,54,1872,26,1
2020,7,18,54,1872,26,1
2020,7,19,54,1872,26,1
2020,7,20,54,1872,26,1
