year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,116,1317,0,0
2020,3,12,116,1317,0,0
2020,3,13,116,1317,0,0
2020,3,14,116,1317,0,0
2020,3,15,116,1317,0,0
2020,3,16,116,1317,0,0
2020,3,17,31,644,2,5
2020,3,18,31,644,2,5
2020,3,19,31,644,2,5
2020,3,20,31,644,2,5
2020,3,21,31,644,2,5
2020,3,22,31,644,2,5
2020,3,23,31,644,2,5
2020,3,24,24,881,16,5
2020,3,25,24,881,16,5
2020,3,26,24,881,16,5
2020,3,27,24,881,16,5
2020,3,28,24,881,16,5
2020,3,29,24,881,16,5
2020,3,30,24,881,16,5
2020,3,31,65,655,35,2
2020,4,1,65,655,35,2
2020,4,2,65,655,35,2
2020,4,3,65,655,35,2
2020,4,4,65,655,35,2
2020,4,5,65,655,35,2
2020,4,6,65,655,35,2
2020,4,7,183,1196,6,2
2020,4,8,183,1196,6,2
2020,4,9,183,1196,6,2
2020,4,10,183,1196,6,2
2020,4,11,183,1196,6,2
2020,4,12,183,1196,6,2
2020,4,13,183,1196,6,2
2020,4,14,140,1360,6,3
2020,4,15,140,1360,6,3
2020,4,16,140,1360,6,3
2020,4,17,140,1360,6,3
2020,4,18,140,1360,6,3
2020,4,19,140,1360,6,3
2020,4,20,140,1360,6,3
2020,4,21,105,1312,15,0
2020,4,22,105,1312,15,0
2020,4,23,105,1312,15,0
2020,4,24,105,1312,15,0
2020,4,25,105,1312,15,0
2020,4,26,105,1312,15,0
2020,4,27,105,1312,15,0
2020,4,28,38,1130,10,1
2020,4,29,38,1130,10,1
2020,4,30,38,1130,10,1
2020,5,1,38,1130,10,1
2020,5,2,38,1130,10,1
2020,5,3,38,1130,10,1
2020,5,4,38,1130,10,1
2020,5,5,26,1127,410,16
2020,5,6,26,1127,410,16
2020,5,7,26,1127,410,16
2020,5,8,26,1127,410,16
2020,5,9,26,1127,410,16
2020,5,10,26,1127,410,16
2020,5,11,26,1127,410,16
2020,5,12,7,948,71,4
2020,5,13,7,948,71,4
2020,5,14,7,948,71,4
2020,5,15,7,948,71,4
2020,5,16,7,948,71,4
2020,5,17,7,948,71,4
2020,5,18,7,948,71,4
2020,5,19,-1,593,42,2
2020,5,20,-1,593,42,2
2020,5,21,-1,593,42,2
2020,5,22,-1,593,42,2
2020,5,23,-1,593,42,2
2020,5,24,-1,593,42,2
2020,5,25,-1,593,42,2
2020,5,26,0,433,17,2
2020,5,27,0,433,17,2
2020,5,28,0,433,17,2
2020,5,29,0,433,17,2
2020,5,30,0,433,17,2
2020,5,31,0,433,17,2
2020,6,1,0,433,17,2
2020,6,2,0,435,22,0
2020,6,3,0,435,22,0
2020,6,4,0,435,22,0
2020,6,5,0,435,22,0
2020,6,6,0,435,22,0
2020,6,7,0,435,22,0
2020,6,8,0,435,22,0
2020,6,9,0,362,1,1
2020,6,10,0,362,1,1
2020,6,11,0,362,1,1
2020,6,12,0,362,1,1
2020,6,13,0,362,1,1
2020,6,14,0,362,1,1
2020,6,15,0,362,1,1
2020,6,16,3,1980,0,0
2020,6,17,3,1980,0,0
2020,6,18,3,1980,0,0
2020,6,19,3,1980,0,0
2020,6,20,3,1980,0,0
2020,6,21,3,1980,0,0
2020,6,22,3,1980,0,0
2020,6,23,3,765,1,0
2020,6,24,3,765,1,0
2020,6,25,3,765,1,0
2020,6,26,3,765,1,0
2020,6,27,3,765,1,0
2020,6,28,3,765,1,0
2020,6,29,3,765,1,0
2020,6,30,7,898,2,2
2020,7,1,7,898,2,2
2020,7,2,7,898,2,2
2020,7,3,7,898,2,2
2020,7,4,7,898,2,2
2020,7,5,7,898,2,2
2020,7,6,7,898,2,2
2020,7,7,26,1253,7,0
2020,7,8,26,1253,7,0
2020,7,9,26,1253,7,0
2020,7,10,26,1253,7,0
2020,7,11,26,1253,7,0
2020,7,12,26,1253,7,0
2020,7,13,26,1253,7,0
2020,7,14,96,2243,40,0
2020,7,15,96,2243,40,0
2020,7,16,96,2243,40,0
2020,7,17,96,2243,40,0
2020,7,18,96,2243,40,0
2020,7,19,96,2243,40,0
2020,7,20,96,2243,40,0
