year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,721,0,0
2020,3,12,0,721,0,0
2020,3,13,0,721,0,0
2020,3,14,0,721,0,0
2020,3,15,0,721,0,0
2020,3,16,0,721,0,0
2020,3,17,5,157,0,0
2020,3,18,5,157,0,0
2020,3,19,5,157,0,0
2020,3,20,5,157,0,0
2020,3,21,5,157,0,0
2020,3,22,5,157,0,0
2020,3,23,5,157,0,0
2020,3,24,15,345,0,0
2020,3,25,15,345,0,0
2020,3,26,15,345,0,0
2020,3,27,15,345,0,0
2020,3,28,15,345,0,0
2020,3,29,15,345,0,0
2020,3,30,15,345,0,0
2020,3,31,51,885,1,2
2020,4,1,51,885,1,2
2020,4,2,51,885,1,2
2020,4,3,51,885,1,2
2020,4,4,51,885,1,2
2020,4,5,51,885,1,2
2020,4,6,51,885,1,2
2020,4,7,39,695,9,1
2020,4,8,39,695,9,1
2020,4,9,39,695,9,1
2020,4,10,39,695,9,1
2020,4,11,39,695,9,1
2020,4,12,39,695,9,1
2020,4,13,39,695,9,1
2020,4,14,33,842,6,3
2020,4,15,33,842,6,3
2020,4,16,33,842,6,3
2020,4,17,33,842,6,3
2020,4,18,33,842,6,3
2020,4,19,33,842,6,3
2020,4,20,33,842,6,3
2020,4,21,18,930,15,0
2020,4,22,18,930,15,0
2020,4,23,18,930,15,0
2020,4,24,18,930,15,0
2020,4,25,18,930,15,0
2020,4,26,18,930,15,0
2020,4,27,18,930,15,0
2020,4,28,4,562,30,2
2020,4,29,4,562,30,2
2020,4,30,4,562,30,2
2020,5,1,4,562,30,2
2020,5,2,4,562,30,2
2020,5,3,4,562,30,2
2020,5,4,4,562,30,2
2020,5,5,3,-878,31,1
2020,5,6,3,-878,31,1
2020,5,7,3,-878,31,1
2020,5,8,3,-878,31,1
2020,5,9,3,-878,31,1
2020,5,10,3,-878,31,1
2020,5,11,3,-878,31,1
2020,5,12,0,295,41,0
2020,5,13,0,295,41,0
2020,5,14,0,295,41,0
2020,5,15,0,295,41,0
2020,5,16,0,295,41,0
2020,5,17,0,295,41,0
2020,5,18,0,295,41,0
2020,5,19,0,282,12,0
2020,5,20,0,282,12,0
2020,5,21,0,282,12,0
2020,5,22,0,282,12,0
2020,5,23,0,282,12,0
2020,5,24,0,282,12,0
2020,5,25,0,282,12,0
2020,5,26,0,150,7,1
2020,5,27,0,150,7,1
2020,5,28,0,150,7,1
2020,5,29,0,150,7,1
2020,5,30,0,150,7,1
2020,5,31,0,150,7,1
2020,6,1,0,150,7,1
2020,6,2,0,182,3,0
2020,6,3,0,182,3,0
2020,6,4,0,182,3,0
2020,6,5,0,182,3,0
2020,6,6,0,182,3,0
2020,6,7,0,182,3,0
2020,6,8,0,182,3,0
2020,6,9,0,184,0,0
2020,6,10,0,184,0,0
2020,6,11,0,184,0,0
2020,6,12,0,184,0,0
2020,6,13,0,184,0,0
2020,6,14,0,184,0,0
2020,6,15,0,184,0,0
2020,6,16,2,113,0,0
2020,6,17,2,113,0,0
2020,6,18,2,113,0,0
2020,6,19,2,113,0,0
2020,6,20,2,113,0,0
2020,6,21,2,113,0,0
2020,6,22,2,113,0,0
2020,6,23,4,115,4,0
2020,6,24,4,115,4,0
2020,6,25,4,115,4,0
2020,6,26,4,115,4,0
2020,6,27,4,115,4,0
2020,6,28,4,115,4,0
2020,6,29,4,115,4,0
2020,6,30,12,253,1,0
2020,7,1,12,253,1,0
2020,7,2,12,253,1,0
2020,7,3,12,253,1,0
2020,7,4,12,253,1,0
2020,7,5,12,253,1,0
2020,7,6,12,253,1,0
2020,7,7,16,315,11,0
2020,7,8,16,315,11,0
2020,7,9,16,315,11,0
2020,7,10,16,315,11,0
2020,7,11,16,315,11,0
2020,7,12,16,315,11,0
2020,7,13,16,315,11,0
2020,7,14,24,465,23,0
2020,7,15,24,465,23,0
2020,7,16,24,465,23,0
2020,7,17,24,465,23,0
2020,7,18,24,465,23,0
2020,7,19,24,465,23,0
2020,7,20,24,465,23,0
