year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,14,290,0,0
2020,3,12,14,290,0,0
2020,3,13,14,290,0,0
2020,3,14,14,290,0,0
2020,3,15,14,290,0,0
2020,3,16,14,290,0,0
2020,3,17,1,25,3,0
2020,3,18,1,25,3,0
2020,3,19,1,25,3,0
2020,3,20,1,25,3,0
2020,3,21,1,25,3,0
2020,3,22,1,25,3,0
2020,3,23,1,25,3,0
2020,3,24,3,30,2,0
2020,3,25,3,30,2,0
2020,3,26,3,30,2,0
2020,3,27,3,30,2,0
2020,3,28,3,30,2,0
2020,3,29,3,30,2,0
2020,3,30,3,30,2,0
2020,3,31,34,173,0,0
2020,4,1,34,173,0,0
2020,4,2,34,173,0,0
2020,4,3,34,173,0,0
2020,4,4,34,173,0,0
2020,4,5,34,173,0,0
2020,4,6,34,173,0,0
2020,4,7,76,334,0,0
2020,4,8,76,334,0,0
2020,4,9,76,334,0,0
2020,4,10,76,334,0,0
2020,4,11,76,334,0,0
2020,4,12,76,334,0,0
2020,4,13,76,334,0,0
2020,4,14,59,397,9,4
2020,4,15,59,397,9,4
2020,4,16,59,397,9,4
2020,4,17,59,397,9,4
2020,4,18,59,397,9,4
2020,4,19,59,397,9,4
2020,4,20,59,397,9,4
2020,4,21,56,588,2,1
2020,4,22,56,588,2,1
2020,4,23,56,588,2,1
2020,4,24,56,588,2,1
2020,4,25,56,588,2,1
2020,4,26,56,588,2,1
2020,4,27,56,588,2,1
2020,4,28,28,274,7,8
2020,4,29,28,274,7,8
2020,4,30,28,274,7,8
2020,5,1,28,274,7,8
2020,5,2,28,274,7,8
2020,5,3,28,274,7,8
2020,5,4,28,274,7,8
2020,5,5,16,299,113,4
2020,5,6,16,299,113,4
2020,5,7,16,299,113,4
2020,5,8,16,299,113,4
2020,5,9,16,299,113,4
2020,5,10,16,299,113,4
2020,5,11,16,299,113,4
2020,5,12,7,225,46,5
2020,5,13,7,225,46,5
2020,5,14,7,225,46,5
2020,5,15,7,225,46,5
2020,5,16,7,225,46,5
2020,5,17,7,225,46,5
2020,5,18,7,225,46,5
2020,5,19,8,123,29,2
2020,5,20,8,123,29,2
2020,5,21,8,123,29,2
2020,5,22,8,123,29,2
2020,5,23,8,123,29,2
2020,5,24,8,123,29,2
2020,5,25,8,123,29,2
2020,5,26,3,103,10,1
2020,5,27,3,103,10,1
2020,5,28,3,103,10,1
2020,5,29,3,103,10,1
2020,5,30,3,103,10,1
2020,5,31,3,103,10,1
2020,6,1,3,103,10,1
2020,6,2,1,71,17,2
2020,6,3,1,71,17,2
2020,6,4,1,71,17,2
2020,6,5,1,71,17,2
2020,6,6,1,71,17,2
2020,6,7,1,71,17,2
2020,6,8,1,71,17,2
2020,6,9,0,47,3,0
2020,6,10,0,47,3,0
2020,6,11,0,47,3,0
2020,6,12,0,47,3,0
2020,6,13,0,47,3,0
2020,6,14,0,47,3,0
2020,6,15,0,47,3,0
2020,6,16,1,26,7,0
2020,6,17,1,26,7,0
2020,6,18,1,26,7,0
2020,6,19,1,26,7,0
2020,6,20,1,26,7,0
2020,6,21,1,26,7,0
2020,6,22,1,26,7,0
2020,6,23,0,33,8,0
2020,6,24,0,33,8,0
2020,6,25,0,33,8,0
2020,6,26,0,33,8,0
2020,6,27,0,33,8,0
2020,6,28,0,33,8,0
2020,6,29,0,33,8,0
2020,6,30,0,30,5,0
2020,7,1,0,30,5,0
2020,7,2,0,30,5,0
2020,7,3,0,30,5,0
2020,7,4,0,30,5,0
2020,7,5,0,30,5,0
2020,7,6,0,30,5,0
2020,7,7,0,30,6,0
2020,7,8,0,30,6,0
2020,7,9,0,30,6,0
2020,7,10,0,30,6,0
2020,7,11,0,30,6,0
2020,7,12,0,30,6,0
2020,7,13,0,30,6,0
2020,7,14,3,53,3,0
2020,7,15,3,53,3,0
2020,7,16,3,53,3,0
2020,7,17,3,53,3,0
2020,7,18,3,53,3,0
2020,7,19,3,53,3,0
2020,7,20,3,53,3,0
