year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,44,0,0
2020,3,12,0,44,0,0
2020,3,13,0,44,0,0
2020,3,14,0,44,0,0
2020,3,15,0,44,0,0
2020,3,16,0,44,0,0
2020,3,17,0,12,0,0
2020,3,18,0,12,0,0
2020,3,19,0,12,0,0
2020,3,20,0,12,0,0
2020,3,21,0,12,0,0
2020,3,22,0,12,0,0
2020,3,23,0,12,0,0
2020,3,24,0,18,0,0
2020,3,25,0,18,0,0
2020,3,26,0,18,0,0
2020,3,27,0,18,0,0
2020,3,28,0,18,0,0
2020,3,29,0,18,0,0
2020,3,30,0,18,0,0
2020,3,31,0,32,0,0
2020,4,1,0,32,0,0
2020,4,2,0,32,0,0
2020,4,3,0,32,0,0
2020,4,4,0,32,0,0
2020,4,5,0,32,0,0
2020,4,6,0,32,0,0
2020,4,7,0,69,0,0
2020,4,8,0,69,0,0
2020,4,9,0,69,0,0
2020,4,10,0,69,0,0
2020,4,11,0,69,0,0
2020,4,12,0,69,0,0
2020,4,13,0,69,0,0
2020,4,14,0,81,0,0
2020,4,15,0,81,0,0
2020,4,16,0,81,0,0
2020,4,17,0,81,0,0
2020,4,18,0,81,0,0
2020,4,19,0,81,0,0
2020,4,20,0,81,0,0
2020,4,21,0,66,0,0
2020,4,22,0,66,0,0
2020,4,23,0,66,0,0
2020,4,24,0,66,0,0
2020,4,25,0,66,0,0
2020,4,26,0,66,0,0
2020,4,27,0,66,0,0
2020,4,28,0,61,0,0
2020,4,29,0,61,0,0
2020,4,30,0,61,0,0
2020,5,1,0,61,0,0
2020,5,2,0,61,0,0
2020,5,3,0,61,0,0
2020,5,4,0,61,0,0
2020,5,5,0,55,0,0
2020,5,6,0,55,0,0
2020,5,7,0,55,0,0
2020,5,8,0,55,0,0
2020,5,9,0,55,0,0
2020,5,10,0,55,0,0
2020,5,11,0,55,0,0
2020,5,12,0,96,0,0
2020,5,13,0,96,0,0
2020,5,14,0,96,0,0
2020,5,15,0,96,0,0
2020,5,16,0,96,0,0
2020,5,17,0,96,0,0
2020,5,18,0,96,0,0
2020,5,19,0,90,0,0
2020,5,20,0,90,0,0
2020,5,21,0,90,0,0
2020,5,22,0,90,0,0
2020,5,23,0,90,0,0
2020,5,24,0,90,0,0
2020,5,25,0,90,0,0
2020,5,26,0,68,0,0
2020,5,27,0,68,0,0
2020,5,28,0,68,0,0
2020,5,29,0,68,0,0
2020,5,30,0,68,0,0
2020,5,31,0,68,0,0
2020,6,1,0,68,0,0
2020,6,2,0,70,0,0
2020,6,3,0,70,0,0
2020,6,4,0,70,0,0
2020,6,5,0,70,0,0
2020,6,6,0,70,0,0
2020,6,7,0,70,0,0
2020,6,8,0,70,0,0
2020,6,9,0,46,0,0
2020,6,10,0,46,0,0
2020,6,11,0,46,0,0
2020,6,12,0,46,0,0
2020,6,13,0,46,0,0
2020,6,14,0,46,0,0
2020,6,15,0,46,0,0
2020,6,16,0,60,0,0
2020,6,17,0,60,0,0
2020,6,18,0,60,0,0
2020,6,19,0,60,0,0
2020,6,20,0,60,0,0
2020,6,21,0,60,0,0
2020,6,22,0,60,0,0
2020,6,23,0,81,0,0
2020,6,24,0,81,0,0
2020,6,25,0,81,0,0
2020,6,26,0,81,0,0
2020,6,27,0,81,0,0
2020,6,28,0,81,0,0
2020,6,29,0,81,0,0
2020,6,30,0,80,0,0
2020,7,1,0,80,0,0
2020,7,2,0,80,0,0
2020,7,3,0,80,0,0
2020,7,4,0,80,0,0
2020,7,5,0,80,0,0
2020,7,6,0,80,0,0
2020,7,7,0,140,0,0
2020,7,8,0,140,0,0
2020,7,9,0,140,0,0
2020,7,10,0,140,0,0
2020,7,11,0,140,0,0
2020,7,12,0,140,0,0
2020,7,13,0,140,0,0
2020,7,14,0,111,0,0
2020,7,15,0,111,0,0
2020,7,16,0,111,0,0
2020,7,17,0,111,0,0
2020,7,18,0,111,0,0
2020,7,19,0,111,0,0
2020,7,20,0,111,0,0
