year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,190,0,0
2020,3,12,0,190,0,0
2020,3,13,0,190,0,0
2020,3,14,0,190,0,0
2020,3,15,0,190,0,0
2020,3,16,0,190,0,0
2020,3,17,1,55,0,0
2020,3,18,1,55,0,0
2020,3,19,1,55,0,0
2020,3,20,1,55,0,0
2020,3,21,1,55,0,0
2020,3,22,1,55,0,0
2020,3,23,1,55,0,0
2020,3,24,0,86,0,0
2020,3,25,0,86,0,0
2020,3,26,0,86,0,0
2020,3,27,0,86,0,0
2020,3,28,0,86,0,0
2020,3,29,0,86,0,0
2020,3,30,0,86,0,0
2020,3,31,1,128,0,0
2020,4,1,1,128,0,0
2020,4,2,1,128,0,0
2020,4,3,1,128,0,0
2020,4,4,1,128,0,0
2020,4,5,1,128,0,0
2020,4,6,1,128,0,0
2020,4,7,14,175,1,0
2020,4,8,14,175,1,0
2020,4,9,14,175,1,0
2020,4,10,14,175,1,0
2020,4,11,14,175,1,0
2020,4,12,14,175,1,0
2020,4,13,14,175,1,0
2020,4,14,10,421,0,0
2020,4,15,10,421,0,0
2020,4,16,10,421,0,0
2020,4,17,10,421,0,0
2020,4,18,10,421,0,0
2020,4,19,10,421,0,0
2020,4,20,10,421,0,0
2020,4,21,2,545,4,0
2020,4,22,2,545,4,0
2020,4,23,2,545,4,0
2020,4,24,2,545,4,0
2020,4,25,2,545,4,0
2020,4,26,2,545,4,0
2020,4,27,2,545,4,0
2020,4,28,0,199,6,0
2020,4,29,0,199,6,0
2020,4,30,0,199,6,0
2020,5,1,0,199,6,0
2020,5,2,0,199,6,0
2020,5,3,0,199,6,0
2020,5,4,0,199,6,0
2020,5,5,0,141,10,0
2020,5,6,0,141,10,0
2020,5,7,0,141,10,0
2020,5,8,0,141,10,0
2020,5,9,0,141,10,0
2020,5,10,0,141,10,0
2020,5,11,0,141,10,0
2020,5,12,0,136,6,0
2020,5,13,0,136,6,0
2020,5,14,0,136,6,0
2020,5,15,0,136,6,0
2020,5,16,0,136,6,0
2020,5,17,0,136,6,0
2020,5,18,0,136,6,0
2020,5,19,0,111,1,0
2020,5,20,0,111,1,0
2020,5,21,0,111,1,0
2020,5,22,0,111,1,0
2020,5,23,0,111,1,0
2020,5,24,0,111,1,0
2020,5,25,0,111,1,0
2020,5,26,0,93,0,0
2020,5,27,0,93,0,0
2020,5,28,0,93,0,0
2020,5,29,0,93,0,0
2020,5,30,0,93,0,0
2020,5,31,0,93,0,0
2020,6,1,0,93,0,0
2020,6,2,0,96,0,0
2020,6,3,0,96,0,0
2020,6,4,0,96,0,0
2020,6,5,0,96,0,0
2020,6,6,0,96,0,0
2020,6,7,0,96,0,0
2020,6,8,0,96,0,0
2020,6,9,0,92,0,0
2020,6,10,0,92,0,0
2020,6,11,0,92,0,0
2020,6,12,0,92,0,0
2020,6,13,0,92,0,0
2020,6,14,0,92,0,0
2020,6,15,0,92,0,0
2020,6,16,0,133,0,0
2020,6,17,0,133,0,0
2020,6,18,0,133,0,0
2020,6,19,0,133,0,0
2020,6,20,0,133,0,0
2020,6,21,0,133,0,0
2020,6,22,0,133,0,0
2020,6,23,0,136,0,0
2020,6,24,0,136,0,0
2020,6,25,0,136,0,0
2020,6,26,0,136,0,0
2020,6,27,0,136,0,0
2020,6,28,0,136,0,0
2020,6,29,0,136,0,0
2020,6,30,0,173,0,0
2020,7,1,0,173,0,0
2020,7,2,0,173,0,0
2020,7,3,0,173,0,0
2020,7,4,0,173,0,0
2020,7,5,0,173,0,0
2020,7,6,0,173,0,0
2020,7,7,1,169,0,0
2020,7,8,1,169,0,0
2020,7,9,1,169,0,0
2020,7,10,1,169,0,0
2020,7,11,1,169,0,0
2020,7,12,1,169,0,0
2020,7,13,1,169,0,0
2020,7,14,15,845,0,0
2020,7,15,15,845,0,0
2020,7,16,15,845,0,0
2020,7,17,15,845,0,0
2020,7,18,15,845,0,0
2020,7,19,15,845,0,0
2020,7,20,15,845,0,0
