year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,0,0,0
2020,3,12,0,0,0,0
2020,3,13,0,0,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,0,0,0
2020,3,17,0,193,0,0
2020,3,18,0,193,0,0
2020,3,19,0,193,0,0
2020,3,20,0,193,0,0
2020,3,21,0,193,0,0
2020,3,22,0,193,0,0
2020,3,23,0,193,0,0
2020,3,24,1,70,0,0
2020,3,25,1,70,0,0
2020,3,26,1,70,0,0
2020,3,27,1,70,0,0
2020,3,28,1,70,0,0
2020,3,29,1,70,0,0
2020,3,30,1,70,0,0
2020,3,31,2,151,0,0
2020,4,1,2,151,0,0
2020,4,2,2,151,0,0
2020,4,3,2,151,0,0
2020,4,4,2,151,0,0
2020,4,5,2,151,0,0
2020,4,6,2,151,0,0
2020,4,7,1,200,0,0
2020,4,8,1,200,0,0
2020,4,9,1,200,0,0
2020,4,10,1,200,0,0
2020,4,11,1,200,0,0
2020,4,12,1,200,0,0
2020,4,13,1,200,0,0
2020,4,14,6,227,1,0
2020,4,15,6,227,1,0
2020,4,16,6,227,1,0
2020,4,17,6,227,1,0
2020,4,18,6,227,1,0
2020,4,19,6,227,1,0
2020,4,20,6,227,1,0
2020,4,21,0,335,3,0
2020,4,22,0,335,3,0
2020,4,23,0,335,3,0
2020,4,24,0,335,3,0
2020,4,25,0,335,3,0
2020,4,26,0,335,3,0
2020,4,27,0,335,3,0
2020,4,28,0,111,0,0
2020,4,29,0,111,0,0
2020,4,30,0,111,0,0
2020,5,1,0,111,0,0
2020,5,2,0,111,0,0
2020,5,3,0,111,0,0
2020,5,4,0,111,0,0
2020,5,5,1,226,4,0
2020,5,6,1,226,4,0
2020,5,7,1,226,4,0
2020,5,8,1,226,4,0
2020,5,9,1,226,4,0
2020,5,10,1,226,4,0
2020,5,11,1,226,4,0
2020,5,12,-1,103,-1,0
2020,5,13,-1,103,-1,0
2020,5,14,-1,103,-1,0
2020,5,15,-1,103,-1,0
2020,5,16,-1,103,-1,0
2020,5,17,-1,103,-1,0
2020,5,18,-1,103,-1,0
2020,5,19,0,97,2,0
2020,5,20,0,97,2,0
2020,5,21,0,97,2,0
2020,5,22,0,97,2,0
2020,5,23,0,97,2,0
2020,5,24,0,97,2,0
2020,5,25,0,97,2,0
2020,5,26,0,158,1,0
2020,5,27,0,158,1,0
2020,5,28,0,158,1,0
2020,5,29,0,158,1,0
2020,5,30,0,158,1,0
2020,5,31,0,158,1,0
2020,6,1,0,158,1,0
2020,6,2,0,138,0,0
2020,6,3,0,138,0,0
2020,6,4,0,138,0,0
2020,6,5,0,138,0,0
2020,6,6,0,138,0,0
2020,6,7,0,138,0,0
2020,6,8,0,138,0,0
2020,6,9,1,296,0,0
2020,6,10,1,296,0,0
2020,6,11,1,296,0,0
2020,6,12,1,296,0,0
2020,6,13,1,296,0,0
2020,6,14,1,296,0,0
2020,6,15,1,296,0,0
2020,6,16,0,160,0,0
2020,6,17,0,160,0,0
2020,6,18,0,160,0,0
2020,6,19,0,160,0,0
2020,6,20,0,160,0,0
2020,6,21,0,160,0,0
2020,6,22,0,160,0,0
2020,6,23,0,98,0,0
2020,6,24,0,98,0,0
2020,6,25,0,98,0,0
2020,6,26,0,98,0,0
2020,6,27,0,98,0,0
2020,6,28,0,98,0,0
2020,6,29,0,98,0,0
2020,6,30,96,1163,1,0
2020,7,1,96,1163,1,0
2020,7,2,96,1163,1,0
2020,7,3,96,1163,1,0
2020,7,4,96,1163,1,0
2020,7,5,96,1163,1,0
2020,7,6,96,1163,1,0
2020,7,7,43,3223,3,0
2020,7,8,43,3223,3,0
2020,7,9,43,3223,3,0
2020,7,10,43,3223,3,0
2020,7,11,43,3223,3,0
2020,7,12,43,3223,3,0
2020,7,13,43,3223,3,0
2020,7,14,20,1365,87,0
2020,7,15,20,1365,87,0
2020,7,16,20,1365,87,0
2020,7,17,20,1365,87,0
2020,7,18,20,1365,87,0
2020,7,19,20,1365,87,0
2020,7,20,20,1365,87,0
