year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,97,0,0,0
2020,3,12,97,0,0,0
2020,3,13,97,0,0,0
2020,3,14,97,0,0,0
2020,3,15,97,0,0,0
2020,3,16,97,0,0,0
2020,3,17,21,0,17,4
2020,3,18,21,0,17,4
2020,3,19,21,0,17,4
2020,3,20,21,0,17,4
2020,3,21,21,0,17,4
2020,3,22,21,0,17,4
2020,3,23,21,0,17,4
2020,3,24,40,476,3,2
2020,3,25,40,476,3,2
2020,3,26,40,476,3,2
2020,3,27,40,476,3,2
2020,3,28,40,476,3,2
2020,3,29,40,476,3,2
2020,3,30,40,476,3,2
2020,3,31,146,1323,12,0
2020,4,1,146,1323,12,0
2020,4,2,146,1323,12,0
2020,4,3,146,1323,12,0
2020,4,4,146,1323,12,0
2020,4,5,146,1323,12,0
2020,4,6,146,1323,12,0
2020,4,7,311,1317,23,6
2020,4,8,311,1317,23,6
2020,4,9,311,1317,23,6
2020,4,10,311,1317,23,6
2020,4,11,311,1317,23,6
2020,4,12,311,1317,23,6
2020,4,13,311,1317,23,6
2020,4,14,230,796,33,7
2020,4,15,230,796,33,7
2020,4,16,230,796,33,7
2020,4,17,230,796,33,7
2020,4,18,230,796,33,7
2020,4,19,230,796,33,7
2020,4,20,230,796,33,7
2020,4,21,163,1527,34,8
2020,4,22,163,1527,34,8
2020,4,23,163,1527,34,8
2020,4,24,163,1527,34,8
2020,4,25,163,1527,34,8
2020,4,26,163,1527,34,8
2020,4,27,163,1527,34,8
2020,4,28,136,563,63,13
2020,4,29,136,563,63,13
2020,4,30,136,563,63,13
2020,5,1,136,563,63,13
2020,5,2,136,563,63,13
2020,5,3,136,563,63,13
2020,5,4,136,563,63,13
2020,5,5,77,911,524,10
2020,5,6,77,911,524,10
2020,5,7,77,911,524,10
2020,5,8,77,911,524,10
2020,5,9,77,911,524,10
2020,5,10,77,911,524,10
2020,5,11,77,911,524,10
2020,5,12,98,1307,179,14
2020,5,13,98,1307,179,14
2020,5,14,98,1307,179,14
2020,5,15,98,1307,179,14
2020,5,16,98,1307,179,14
2020,5,17,98,1307,179,14
2020,5,18,98,1307,179,14
2020,5,19,57,764,103,9
2020,5,20,57,764,103,9
2020,5,21,57,764,103,9
2020,5,22,57,764,103,9
2020,5,23,57,764,103,9
2020,5,24,57,764,103,9
2020,5,25,57,764,103,9
2020,5,26,37,653,111,11
2020,5,27,37,653,111,11
2020,5,28,37,653,111,11
2020,5,29,37,653,111,11
2020,5,30,37,653,111,11
2020,5,31,37,653,111,11
2020,6,1,37,653,111,11
2020,6,2,27,964,79,3
2020,6,3,27,964,79,3
2020,6,4,27,964,79,3
2020,6,5,27,964,79,3
2020,6,6,27,964,79,3
2020,6,7,27,964,79,3
2020,6,8,27,964,79,3
2020,6,9,14,728,2,3
2020,6,10,14,728,2,3
2020,6,11,14,728,2,3
2020,6,12,14,728,2,3
2020,6,13,14,728,2,3
2020,6,14,14,728,2,3
2020,6,15,14,728,2,3
2020,6,16,22,704,93,3
2020,6,17,22,704,93,3
2020,6,18,22,704,93,3
2020,6,19,22,704,93,3
2020,6,20,22,704,93,3
2020,6,21,22,704,93,3
2020,6,22,22,704,93,3
2020,6,23,38,447,30,3
2020,6,24,38,447,30,3
2020,6,25,38,447,30,3
2020,6,26,38,447,30,3
2020,6,27,38,447,30,3
2020,6,28,38,447,30,3
2020,6,29,38,447,30,3
2020,6,30,125,777,58,0
2020,7,1,125,777,58,0
2020,7,2,125,777,58,0
2020,7,3,125,777,58,0
2020,7,4,125,777,58,0
2020,7,5,125,777,58,0
2020,7,6,125,777,58,0
2020,7,7,164,1154,120,1
2020,7,8,164,1154,120,1
2020,7,9,164,1154,120,1
2020,7,10,164,1154,120,1
2020,7,11,164,1154,120,1
2020,7,12,164,1154,120,1
2020,7,13,164,1154,120,1
2020,7,14,249,1244,130,1
2020,7,15,249,1244,130,1
2020,7,16,249,1244,130,1
2020,7,17,249,1244,130,1
2020,7,18,249,1244,130,1
2020,7,19,249,1244,130,1
2020,7,20,249,1244,130,1
