year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,24,403,0,0
2020,3,12,24,403,0,0
2020,3,13,24,403,0,0
2020,3,14,24,403,0,0
2020,3,15,24,403,0,0
2020,3,16,24,403,0,0
2020,3,17,0,35,11,0
2020,3,18,0,35,11,0
2020,3,19,0,35,11,0
2020,3,20,0,35,11,0
2020,3,21,0,35,11,0
2020,3,22,0,35,11,0
2020,3,23,0,35,11,0
2020,3,24,3,78,1,0
2020,3,25,3,78,1,0
2020,3,26,3,78,1,0
2020,3,27,3,78,1,0
2020,3,28,3,78,1,0
2020,3,29,3,78,1,0
2020,3,30,3,78,1,0
2020,3,31,19,206,0,0
2020,4,1,19,206,0,0
2020,4,2,19,206,0,0
2020,4,3,19,206,0,0
2020,4,4,19,206,0,0
2020,4,5,19,206,0,0
2020,4,6,19,206,0,0
2020,4,7,26,348,4,0
2020,4,8,26,348,4,0
2020,4,9,26,348,4,0
2020,4,10,26,348,4,0
2020,4,11,26,348,4,0
2020,4,12,26,348,4,0
2020,4,13,26,348,4,0
2020,4,14,9,254,6,2
2020,4,15,9,254,6,2
2020,4,16,9,254,6,2
2020,4,17,9,254,6,2
2020,4,18,9,254,6,2
2020,4,19,9,254,6,2
2020,4,20,9,254,6,2
2020,4,21,4,195,6,0
2020,4,22,4,195,6,0
2020,4,23,4,195,6,0
2020,4,24,4,195,6,0
2020,4,25,4,195,6,0
2020,4,26,4,195,6,0
2020,4,27,4,195,6,0
2020,4,28,1,134,21,1
2020,4,29,1,134,21,1
2020,4,30,1,134,21,1
2020,5,1,1,134,21,1
2020,5,2,1,134,21,1
2020,5,3,1,134,21,1
2020,5,4,1,134,21,1
2020,5,5,0,88,16,0
2020,5,6,0,88,16,0
2020,5,7,0,88,16,0
2020,5,8,0,88,16,0
2020,5,9,0,88,16,0
2020,5,10,0,88,16,0
2020,5,11,0,88,16,0
2020,5,12,0,100,2,0
2020,5,13,0,100,2,0
2020,5,14,0,100,2,0
2020,5,15,0,100,2,0
2020,5,16,0,100,2,0
2020,5,17,0,100,2,0
2020,5,18,0,100,2,0
2020,5,19,0,65,2,0
2020,5,20,0,65,2,0
2020,5,21,0,65,2,0
2020,5,22,0,65,2,0
2020,5,23,0,65,2,0
2020,5,24,0,65,2,0
2020,5,25,0,65,2,0
2020,5,26,0,49,2,0
2020,5,27,0,49,2,0
2020,5,28,0,49,2,0
2020,5,29,0,49,2,0
2020,5,30,0,49,2,0
2020,5,31,0,49,2,0
2020,6,1,0,49,2,0
2020,6,2,0,50,0,0
2020,6,3,0,50,0,0
2020,6,4,0,50,0,0
2020,6,5,0,50,0,0
2020,6,6,0,50,0,0
2020,6,7,0,50,0,0
2020,6,8,0,50,0,0
2020,6,9,0,45,0,0
2020,6,10,0,45,0,0
2020,6,11,0,45,0,0
2020,6,12,0,45,0,0
2020,6,13,0,45,0,0
2020,6,14,0,45,0,0
2020,6,15,0,45,0,0
2020,6,16,0,36,0,0
2020,6,17,0,36,0,0
2020,6,18,0,36,0,0
2020,6,19,0,36,0,0
2020,6,20,0,36,0,0
2020,6,21,0,36,0,0
2020,6,22,0,36,0,0
2020,6,23,0,42,0,0
2020,6,24,0,42,0,0
2020,6,25,0,42,0,0
2020,6,26,0,42,0,0
2020,6,27,0,42,0,0
2020,6,28,0,42,0,0
2020,6,29,0,42,0,0
2020,6,30,0,27,0,0
2020,7,1,0,27,0,0
2020,7,2,0,27,0,0
2020,7,3,0,27,0,0
2020,7,4,0,27,0,0
2020,7,5,0,27,0,0
2020,7,6,0,27,0,0
2020,7,7,1,30,0,0
2020,7,8,1,30,0,0
2020,7,9,1,30,0,0
2020,7,10,1,30,0,0
2020,7,11,1,30,0,0
2020,7,12,1,30,0,0
2020,7,13,1,30,0,0
2020,7,14,1,108,0,0
2020,7,15,1,108,0,0
2020,7,16,1,108,0,0
2020,7,17,1,108,0,0
2020,7,18,1,108,0,0
2020,7,19,1,108,0,0
2020,7,20,1,108,0,0
