year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,12,393,0,0
2020,3,12,12,393,0,0
2020,3,13,12,393,0,0
2020,3,14,12,393,0,0
2020,3,15,12,393,0,0
2020,3,16,12,393,0,0
2020,3,17,1,128,1,0
2020,3,18,1,128,1,0
2020,3,19,1,128,1,0
2020,3,20,1,128,1,0
2020,3,21,1,128,1,0
2020,3,22,1,128,1,0
2020,3,23,1,128,1,0
2020,3,24,4,335,2,0
2020,3,25,4,335,2,0
2020,3,26,4,335,2,0
2020,3,27,4,335,2,0
2020,3,28,4,335,2,0
2020,3,29,4,335,2,0
2020,3,30,4,335,2,0
2020,3,31,9,564,0,0
2020,4,1,9,564,0,0
2020,4,2,9,564,0,0
2020,4,3,9,564,0,0
2020,4,4,9,564,0,0
2020,4,5,9,564,0,0
2020,4,6,9,564,0,0
2020,4,7,8,457,2,1
2020,4,8,8,457,2,1
2020,4,9,8,457,2,1
2020,4,10,8,457,2,1
2020,4,11,8,457,2,1
2020,4,12,8,457,2,1
2020,4,13,8,457,2,1
2020,4,14,12,473,2,0
2020,4,15,12,473,2,0
2020,4,16,12,473,2,0
2020,4,17,12,473,2,0
2020,4,18,12,473,2,0
2020,4,19,12,473,2,0
2020,4,20,12,473,2,0
2020,4,21,5,562,5,0
2020,4,22,5,562,5,0
2020,4,23,5,562,5,0
2020,4,24,5,562,5,0
2020,4,25,5,562,5,0
2020,4,26,5,562,5,0
2020,4,27,5,562,5,0
2020,4,28,2,266,1,1
2020,4,29,2,266,1,1
2020,4,30,2,266,1,1
2020,5,1,2,266,1,1
2020,5,2,2,266,1,1
2020,5,3,2,266,1,1
2020,5,4,2,266,1,1
2020,5,5,1,314,10,1
2020,5,6,1,314,10,1
2020,5,7,1,314,10,1
2020,5,8,1,314,10,1
2020,5,9,1,314,10,1
2020,5,10,1,314,10,1
2020,5,11,1,314,10,1
2020,5,12,0,249,12,0
2020,5,13,0,249,12,0
2020,5,14,0,249,12,0
2020,5,15,0,249,12,0
2020,5,16,0,249,12,0
2020,5,17,0,249,12,0
2020,5,18,0,249,12,0
2020,5,19,0,110,2,0
2020,5,20,0,110,2,0
2020,5,21,0,110,2,0
2020,5,22,0,110,2,0
2020,5,23,0,110,2,0
2020,5,24,0,110,2,0
2020,5,25,0,110,2,0
2020,5,26,0,79,6,0
2020,5,27,0,79,6,0
2020,5,28,0,79,6,0
2020,5,29,0,79,6,0
2020,5,30,0,79,6,0
2020,5,31,0,79,6,0
2020,6,1,0,79,6,0
2020,6,2,0,103,1,0
2020,6,3,0,103,1,0
2020,6,4,0,103,1,0
2020,6,5,0,103,1,0
2020,6,6,0,103,1,0
2020,6,7,0,103,1,0
2020,6,8,0,103,1,0
2020,6,9,0,59,1,0
2020,6,10,0,59,1,0
2020,6,11,0,59,1,0
2020,6,12,0,59,1,0
2020,6,13,0,59,1,0
2020,6,14,0,59,1,0
2020,6,15,0,59,1,0
2020,6,16,0,86,0,0
2020,6,17,0,86,0,0
2020,6,18,0,86,0,0
2020,6,19,0,86,0,0
2020,6,20,0,86,0,0
2020,6,21,0,86,0,0
2020,6,22,0,86,0,0
2020,6,23,1,95,0,0
2020,6,24,1,95,0,0
2020,6,25,1,95,0,0
2020,6,26,1,95,0,0
2020,6,27,1,95,0,0
2020,6,28,1,95,0,0
2020,6,29,1,95,0,0
2020,6,30,0,93,1,0
2020,7,1,0,93,1,0
2020,7,2,0,93,1,0
2020,7,3,0,93,1,0
2020,7,4,0,93,1,0
2020,7,5,0,93,1,0
2020,7,6,0,93,1,0
2020,7,7,0,90,0,0
2020,7,8,0,90,0,0
2020,7,9,0,90,0,0
2020,7,10,0,90,0,0
2020,7,11,0,90,0,0
2020,7,12,0,90,0,0
2020,7,13,0,90,0,0
2020,7,14,1,98,0,0
2020,7,15,1,98,0,0
2020,7,16,1,98,0,0
2020,7,17,1,98,0,0
2020,7,18,1,98,0,0
2020,7,19,1,98,0,0
2020,7,20,1,98,0,0
