year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,32,1181,0,0
2020,3,12,32,1181,0,0
2020,3,13,32,1181,0,0
2020,3,14,32,1181,0,0
2020,3,15,32,1181,0,0
2020,3,16,32,1181,0,0
2020,3,17,7,116,7,0
2020,3,18,7,116,7,0
2020,3,19,7,116,7,0
2020,3,20,7,116,7,0
2020,3,21,7,116,7,0
2020,3,22,7,116,7,0
2020,3,23,7,116,7,0
2020,3,24,30,223,6,0
2020,3,25,30,223,6,0
2020,3,26,30,223,6,0
2020,3,27,30,223,6,0
2020,3,28,30,223,6,0
2020,3,29,30,223,6,0
2020,3,30,30,223,6,0
2020,3,31,65,392,5,0
2020,4,1,65,392,5,0
2020,4,2,65,392,5,0
2020,4,3,65,392,5,0
2020,4,4,65,392,5,0
2020,4,5,65,392,5,0
2020,4,6,65,392,5,0
2020,4,7,86,753,15,3
2020,4,8,86,753,15,3
2020,4,9,86,753,15,3
2020,4,10,86,753,15,3
2020,4,11,86,753,15,3
2020,4,12,86,753,15,3
2020,4,13,86,753,15,3
2020,4,14,54,586,44,2
2020,4,15,54,586,44,2
2020,4,16,54,586,44,2
2020,4,17,54,586,44,2
2020,4,18,54,586,44,2
2020,4,19,54,586,44,2
2020,4,20,54,586,44,2
2020,4,21,50,1083,63,3
2020,4,22,50,1083,63,3
2020,4,23,50,1083,63,3
2020,4,24,50,1083,63,3
2020,4,25,50,1083,63,3
2020,4,26,50,1083,63,3
2020,4,27,50,1083,63,3
2020,4,28,22,449,36,3
2020,4,29,22,449,36,3
2020,4,30,22,449,36,3
2020,5,1,22,449,36,3
2020,5,2,22,449,36,3
2020,5,3,22,449,36,3
2020,5,4,22,449,36,3
2020,5,5,21,1270,71,2
2020,5,6,21,1270,71,2
2020,5,7,21,1270,71,2
2020,5,8,21,1270,71,2
2020,5,9,21,1270,71,2
2020,5,10,21,1270,71,2
2020,5,11,21,1270,71,2
2020,5,12,6,1479,44,1
2020,5,13,6,1479,44,1
2020,5,14,6,1479,44,1
2020,5,15,6,1479,44,1
2020,5,16,6,1479,44,1
2020,5,17,6,1479,44,1
2020,5,18,6,1479,44,1
2020,5,19,0,548,21,1
2020,5,20,0,548,21,1
2020,5,21,0,548,21,1
2020,5,22,0,548,21,1
2020,5,23,0,548,21,1
2020,5,24,0,548,21,1
2020,5,25,0,548,21,1
2020,5,26,0,445,13,2
2020,5,27,0,445,13,2
2020,5,28,0,445,13,2
2020,5,29,0,445,13,2
2020,5,30,0,445,13,2
2020,5,31,0,445,13,2
2020,6,1,0,445,13,2
2020,6,2,1,523,7,1
2020,6,3,1,523,7,1
2020,6,4,1,523,7,1
2020,6,5,1,523,7,1
2020,6,6,1,523,7,1
2020,6,7,1,523,7,1
2020,6,8,1,523,7,1
2020,6,9,1,521,6,0
2020,6,10,1,521,6,0
2020,6,11,1,521,6,0
2020,6,12,1,521,6,0
2020,6,13,1,521,6,0
2020,6,14,1,521,6,0
2020,6,15,1,521,6,0
2020,6,16,5,436,4,0
2020,6,17,5,436,4,0
2020,6,18,5,436,4,0
2020,6,19,5,436,4,0
2020,6,20,5,436,4,0
2020,6,21,5,436,4,0
2020,6,22,5,436,4,0
2020,6,23,10,509,3,0
2020,6,24,10,509,3,0
2020,6,25,10,509,3,0
2020,6,26,10,509,3,0
2020,6,27,10,509,3,0
2020,6,28,10,509,3,0
2020,6,29,10,509,3,0
2020,6,30,26,987,3,0
2020,7,1,26,987,3,0
2020,7,2,26,987,3,0
2020,7,3,26,987,3,0
2020,7,4,26,987,3,0
2020,7,5,26,987,3,0
2020,7,6,26,987,3,0
2020,7,7,46,983,18,0
2020,7,8,46,983,18,0
2020,7,9,46,983,18,0
2020,7,10,46,983,18,0
2020,7,11,46,983,18,0
2020,7,12,46,983,18,0
2020,7,13,46,983,18,0
2020,7,14,92,2161,37,0
2020,7,15,92,2161,37,0
2020,7,16,92,2161,37,0
2020,7,17,92,2161,37,0
2020,7,18,92,2161,37,0
2020,7,19,92,2161,37,0
2020,7,20,92,2161,37,0
