year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,10,412,0,0
2020,3,12,10,412,0,0
2020,3,13,10,412,0,0
2020,3,14,10,412,0,0
2020,3,15,10,412,0,0
2020,3,16,10,412,0,0
2020,3,17,1,87,2,0
2020,3,18,1,87,2,0
2020,3,19,1,87,2,0
2020,3,20,1,87,2,0
2020,3,21,1,87,2,0
2020,3,22,1,87,2,0
2020,3,23,1,87,2,0
2020,3,24,2,93,0,0
2020,3,25,2,93,0,0
2020,3,26,2,93,0,0
2020,3,27,2,93,0,0
2020,3,28,2,93,0,0
2020,3,29,2,93,0,0
2020,3,30,2,93,0,0
2020,3,31,2,322,2,0
2020,4,1,2,322,2,0
2020,4,2,2,322,2,0
2020,4,3,2,322,2,0
2020,4,4,2,322,2,0
2020,4,5,2,322,2,0
2020,4,6,2,322,2,0
2020,4,7,4,236,7,0
2020,4,8,4,236,7,0
2020,4,9,4,236,7,0
2020,4,10,4,236,7,0
2020,4,11,4,236,7,0
2020,4,12,4,236,7,0
2020,4,13,4,236,7,0
2020,4,14,22,402,0,1
2020,4,15,22,402,0,1
2020,4,16,22,402,0,1
2020,4,17,22,402,0,1
2020,4,18,22,402,0,1
2020,4,19,22,402,0,1
2020,4,20,22,402,0,1
2020,4,21,6,402,5,0
2020,4,22,6,402,5,0
2020,4,23,6,402,5,0
2020,4,24,6,402,5,0
2020,4,25,6,402,5,0
2020,4,26,6,402,5,0
2020,4,27,6,402,5,0
2020,4,28,0,139,3,0
2020,4,29,0,139,3,0
2020,4,30,0,139,3,0
2020,5,1,0,139,3,0
2020,5,2,0,139,3,0
2020,5,3,0,139,3,0
2020,5,4,0,139,3,0
2020,5,5,0,215,15,0
2020,5,6,0,215,15,0
2020,5,7,0,215,15,0
2020,5,8,0,215,15,0
2020,5,9,0,215,15,0
2020,5,10,0,215,15,0
2020,5,11,0,215,15,0
2020,5,12,0,207,5,0
2020,5,13,0,207,5,0
2020,5,14,0,207,5,0
2020,5,15,0,207,5,0
2020,5,16,0,207,5,0
2020,5,17,0,207,5,0
2020,5,18,0,207,5,0
2020,5,19,0,100,1,0
2020,5,20,0,100,1,0
2020,5,21,0,100,1,0
2020,5,22,0,100,1,0
2020,5,23,0,100,1,0
2020,5,24,0,100,1,0
2020,5,25,0,100,1,0
2020,5,26,0,48,4,0
2020,5,27,0,48,4,0
2020,5,28,0,48,4,0
2020,5,29,0,48,4,0
2020,5,30,0,48,4,0
2020,5,31,0,48,4,0
2020,6,1,0,48,4,0
2020,6,2,0,71,0,0
2020,6,3,0,71,0,0
2020,6,4,0,71,0,0
2020,6,5,0,71,0,0
2020,6,6,0,71,0,0
2020,6,7,0,71,0,0
2020,6,8,0,71,0,0
2020,6,9,0,66,0,0
2020,6,10,0,66,0,0
2020,6,11,0,66,0,0
2020,6,12,0,66,0,0
2020,6,13,0,66,0,0
2020,6,14,0,66,0,0
2020,6,15,0,66,0,0
2020,6,16,1,134,0,0
2020,6,17,1,134,0,0
2020,6,18,1,134,0,0
2020,6,19,1,134,0,0
2020,6,20,1,134,0,0
2020,6,21,1,134,0,0
2020,6,22,1,134,0,0
2020,6,23,0,77,0,0
2020,6,24,0,77,0,0
2020,6,25,0,77,0,0
2020,6,26,0,77,0,0
2020,6,27,0,77,0,0
2020,6,28,0,77,0,0
2020,6,29,0,77,0,0
2020,6,30,0,99,1,0
2020,7,1,0,99,1,0
2020,7,2,0,99,1,0
2020,7,3,0,99,1,0
2020,7,4,0,99,1,0
2020,7,5,0,99,1,0
2020,7,6,0,99,1,0
2020,7,7,4,129,0,0
2020,7,8,4,129,0,0
2020,7,9,4,129,0,0
2020,7,10,4,129,0,0
2020,7,11,4,129,0,0
2020,7,12,4,129,0,0
2020,7,13,4,129,0,0
2020,7,14,7,223,1,0
2020,7,15,7,223,1,0
2020,7,16,7,223,1,0
2020,7,17,7,223,1,0
2020,7,18,7,223,1,0
2020,7,19,7,223,1,0
2020,7,20,7,223,1,0
