year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2,223,0,0
2020,3,12,2,223,0,0
2020,3,13,2,223,0,0
2020,3,14,2,223,0,0
2020,3,15,2,223,0,0
2020,3,16,2,223,0,0
2020,3,17,0,32,1,0
2020,3,18,0,32,1,0
2020,3,19,0,32,1,0
2020,3,20,0,32,1,0
2020,3,21,0,32,1,0
2020,3,22,0,32,1,0
2020,3,23,0,32,1,0
2020,3,24,5,47,0,0
2020,3,25,5,47,0,0
2020,3,26,5,47,0,0
2020,3,27,5,47,0,0
2020,3,28,5,47,0,0
2020,3,29,5,47,0,0
2020,3,30,5,47,0,0
2020,3,31,20,306,0,0
2020,4,1,20,306,0,0
2020,4,2,20,306,0,0
2020,4,3,20,306,0,0
2020,4,4,20,306,0,0
2020,4,5,20,306,0,0
2020,4,6,20,306,0,0
2020,4,7,28,302,4,0
2020,4,8,28,302,4,0
2020,4,9,28,302,4,0
2020,4,10,28,302,4,0
2020,4,11,28,302,4,0
2020,4,12,28,302,4,0
2020,4,13,28,302,4,0
2020,4,14,30,553,3,0
2020,4,15,30,553,3,0
2020,4,16,30,553,3,0
2020,4,17,30,553,3,0
2020,4,18,30,553,3,0
2020,4,19,30,553,3,0
2020,4,20,30,553,3,0
2020,4,21,2,345,24,0
2020,4,22,2,345,24,0
2020,4,23,2,345,24,0
2020,4,24,2,345,24,0
2020,4,25,2,345,24,0
2020,4,26,2,345,24,0
2020,4,27,2,345,24,0
2020,4,28,2,196,29,0
2020,4,29,2,196,29,0
2020,4,30,2,196,29,0
2020,5,1,2,196,29,0
2020,5,2,2,196,29,0
2020,5,3,2,196,29,0
2020,5,4,2,196,29,0
2020,5,5,0,387,19,1
2020,5,6,0,387,19,1
2020,5,7,0,387,19,1
2020,5,8,0,387,19,1
2020,5,9,0,387,19,1
2020,5,10,0,387,19,1
2020,5,11,0,387,19,1
2020,5,12,0,278,5,0
2020,5,13,0,278,5,0
2020,5,14,0,278,5,0
2020,5,15,0,278,5,0
2020,5,16,0,278,5,0
2020,5,17,0,278,5,0
2020,5,18,0,278,5,0
2020,5,19,0,268,1,0
2020,5,20,0,268,1,0
2020,5,21,0,268,1,0
2020,5,22,0,268,1,0
2020,5,23,0,268,1,0
2020,5,24,0,268,1,0
2020,5,25,0,268,1,0
2020,5,26,0,107,1,0
2020,5,27,0,107,1,0
2020,5,28,0,107,1,0
2020,5,29,0,107,1,0
2020,5,30,0,107,1,0
2020,5,31,0,107,1,0
2020,6,1,0,107,1,0
2020,6,2,0,158,0,0
2020,6,3,0,158,0,0
2020,6,4,0,158,0,0
2020,6,5,0,158,0,0
2020,6,6,0,158,0,0
2020,6,7,0,158,0,0
2020,6,8,0,158,0,0
2020,6,9,0,206,0,0
2020,6,10,0,206,0,0
2020,6,11,0,206,0,0
2020,6,12,0,206,0,0
2020,6,13,0,206,0,0
2020,6,14,0,206,0,0
2020,6,15,0,206,0,0
2020,6,16,1,172,0,0
2020,6,17,1,172,0,0
2020,6,18,1,172,0,0
2020,6,19,1,172,0,0
2020,6,20,1,172,0,0
2020,6,21,1,172,0,0
2020,6,22,1,172,0,0
2020,6,23,5,212,1,0
2020,6,24,5,212,1,0
2020,6,25,5,212,1,0
2020,6,26,5,212,1,0
2020,6,27,5,212,1,0
2020,6,28,5,212,1,0
2020,6,29,5,212,1,0
2020,6,30,4,320,2,0
2020,7,1,4,320,2,0
2020,7,2,4,320,2,0
2020,7,3,4,320,2,0
2020,7,4,4,320,2,0
2020,7,5,4,320,2,0
2020,7,6,4,320,2,0
2020,7,7,8,591,4,0
2020,7,8,8,591,4,0
2020,7,9,8,591,4,0
2020,7,10,8,591,4,0
2020,7,11,8,591,4,0
2020,7,12,8,591,4,0
2020,7,13,8,591,4,0
2020,7,14,26,523,10,0
2020,7,15,26,523,10,0
2020,7,16,26,523,10,0
2020,7,17,26,523,10,0
2020,7,18,26,523,10,0
2020,7,19,26,523,10,0
2020,7,20,26,523,10,0
