year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2,192,0,0
2020,3,12,2,192,0,0
2020,3,13,2,192,0,0
2020,3,14,2,192,0,0
2020,3,15,2,192,0,0
2020,3,16,2,192,0,0
2020,3,17,2,83,0,0
2020,3,18,2,83,0,0
2020,3,19,2,83,0,0
2020,3,20,2,83,0,0
2020,3,21,2,83,0,0
2020,3,22,2,83,0,0
2020,3,23,2,83,0,0
2020,3,24,0,75,1,0
2020,3,25,0,75,1,0
2020,3,26,0,75,1,0
2020,3,27,0,75,1,0
2020,3,28,0,75,1,0
2020,3,29,0,75,1,0
2020,3,30,0,75,1,0
2020,3,31,4,153,2,0
2020,4,1,4,153,2,0
2020,4,2,4,153,2,0
2020,4,3,4,153,2,0
2020,4,4,4,153,2,0
2020,4,5,4,153,2,0
2020,4,6,4,153,2,0
2020,4,7,10,278,0,0
2020,4,8,10,278,0,0
2020,4,9,10,278,0,0
2020,4,10,10,278,0,0
2020,4,11,10,278,0,0
2020,4,12,10,278,0,0
2020,4,13,10,278,0,0
2020,4,14,0,222,1,0
2020,4,15,0,222,1,0
2020,4,16,0,222,1,0
2020,4,17,0,222,1,0
2020,4,18,0,222,1,0
2020,4,19,0,222,1,0
2020,4,20,0,222,1,0
2020,4,21,0,128,5,0
2020,4,22,0,128,5,0
2020,4,23,0,128,5,0
2020,4,24,0,128,5,0
2020,4,25,0,128,5,0
2020,4,26,0,128,5,0
2020,4,27,0,128,5,0
2020,4,28,0,69,2,0
2020,4,29,0,69,2,0
2020,4,30,0,69,2,0
2020,5,1,0,69,2,0
2020,5,2,0,69,2,0
2020,5,3,0,69,2,0
2020,5,4,0,69,2,0
2020,5,5,0,121,1,0
2020,5,6,0,121,1,0
2020,5,7,0,121,1,0
2020,5,8,0,121,1,0
2020,5,9,0,121,1,0
2020,5,10,0,121,1,0
2020,5,11,0,121,1,0
2020,5,12,0,65,2,0
2020,5,13,0,65,2,0
2020,5,14,0,65,2,0
2020,5,15,0,65,2,0
2020,5,16,0,65,2,0
2020,5,17,0,65,2,0
2020,5,18,0,65,2,0
2020,5,19,0,43,2,0
2020,5,20,0,43,2,0
2020,5,21,0,43,2,0
2020,5,22,0,43,2,0
2020,5,23,0,43,2,0
2020,5,24,0,43,2,0
2020,5,25,0,43,2,0
2020,5,26,0,35,1,0
2020,5,27,0,35,1,0
2020,5,28,0,35,1,0
2020,5,29,0,35,1,0
2020,5,30,0,35,1,0
2020,5,31,0,35,1,0
2020,6,1,0,35,1,0
2020,6,2,0,48,0,0
2020,6,3,0,48,0,0
2020,6,4,0,48,0,0
2020,6,5,0,48,0,0
2020,6,6,0,48,0,0
2020,6,7,0,48,0,0
2020,6,8,0,48,0,0
2020,6,9,0,46,0,0
2020,6,10,0,46,0,0
2020,6,11,0,46,0,0
2020,6,12,0,46,0,0
2020,6,13,0,46,0,0
2020,6,14,0,46,0,0
2020,6,15,0,46,0,0
2020,6,16,0,40,0,0
2020,6,17,0,40,0,0
2020,6,18,0,40,0,0
2020,6,19,0,40,0,0
2020,6,20,0,40,0,0
2020,6,21,0,40,0,0
2020,6,22,0,40,0,0
2020,6,23,0,42,0,0
2020,6,24,0,42,0,0
2020,6,25,0,42,0,0
2020,6,26,0,42,0,0
2020,6,27,0,42,0,0
2020,6,28,0,42,0,0
2020,6,29,0,42,0,0
2020,6,30,1,47,0,0
2020,7,1,1,47,0,0
2020,7,2,1,47,0,0
2020,7,3,1,47,0,0
2020,7,4,1,47,0,0
2020,7,5,1,47,0,0
2020,7,6,1,47,0,0
2020,7,7,2,92,0,0
2020,7,8,2,92,0,0
2020,7,9,2,92,0,0
2020,7,10,2,92,0,0
2020,7,11,2,92,0,0
2020,7,12,2,92,0,0
2020,7,13,2,92,0,0
2020,7,14,0,122,1,0
2020,7,15,0,122,1,0
2020,7,16,0,122,1,0
2020,7,17,0,122,1,0
2020,7,18,0,122,1,0
2020,7,19,0,122,1,0
2020,7,20,0,122,1,0
