year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,7,511,0,0
2020,3,12,7,511,0,0
2020,3,13,7,511,0,0
2020,3,14,7,511,0,0
2020,3,15,7,511,0,0
2020,3,16,7,511,0,0
2020,3,17,0,56,1,0
2020,3,18,0,56,1,0
2020,3,19,0,56,1,0
2020,3,20,0,56,1,0
2020,3,21,0,56,1,0
2020,3,22,0,56,1,0
2020,3,23,0,56,1,0
2020,3,24,4,139,2,0
2020,3,25,4,139,2,0
2020,3,26,4,139,2,0
2020,3,27,4,139,2,0
2020,3,28,4,139,2,0
2020,3,29,4,139,2,0
2020,3,30,4,139,2,0
2020,3,31,6,261,0,0
2020,4,1,6,261,0,0
2020,4,2,6,261,0,0
2020,4,3,6,261,0,0
2020,4,4,6,261,0,0
2020,4,5,6,261,0,0
2020,4,6,6,261,0,0
2020,4,7,20,332,1,0
2020,4,8,20,332,1,0
2020,4,9,20,332,1,0
2020,4,10,20,332,1,0
2020,4,11,20,332,1,0
2020,4,12,20,332,1,0
2020,4,13,20,332,1,0
2020,4,14,18,333,2,0
2020,4,15,18,333,2,0
2020,4,16,18,333,2,0
2020,4,17,18,333,2,0
2020,4,18,18,333,2,0
2020,4,19,18,333,2,0
2020,4,20,18,333,2,0
2020,4,21,14,279,11,0
2020,4,22,14,279,11,0
2020,4,23,14,279,11,0
2020,4,24,14,279,11,0
2020,4,25,14,279,11,0
2020,4,26,14,279,11,0
2020,4,27,14,279,11,0
2020,4,28,4,138,11,0
2020,4,29,4,138,11,0
2020,4,30,4,138,11,0
2020,5,1,4,138,11,0
2020,5,2,4,138,11,0
2020,5,3,4,138,11,0
2020,5,4,4,138,11,0
2020,5,5,5,381,20,0
2020,5,6,5,381,20,0
2020,5,7,5,381,20,0
2020,5,8,5,381,20,0
2020,5,9,5,381,20,0
2020,5,10,5,381,20,0
2020,5,11,5,381,20,0
2020,5,12,1,234,6,0
2020,5,13,1,234,6,0
2020,5,14,1,234,6,0
2020,5,15,1,234,6,0
2020,5,16,1,234,6,0
2020,5,17,1,234,6,0
2020,5,18,1,234,6,0
2020,5,19,0,172,10,0
2020,5,20,0,172,10,0
2020,5,21,0,172,10,0
2020,5,22,0,172,10,0
2020,5,23,0,172,10,0
2020,5,24,0,172,10,0
2020,5,25,0,172,10,0
2020,5,26,0,122,5,0
2020,5,27,0,122,5,0
2020,5,28,0,122,5,0
2020,5,29,0,122,5,0
2020,5,30,0,122,5,0
2020,5,31,0,122,5,0
2020,6,1,0,122,5,0
2020,6,2,0,162,2,0
2020,6,3,0,162,2,0
2020,6,4,0,162,2,0
2020,6,5,0,162,2,0
2020,6,6,0,162,2,0
2020,6,7,0,162,2,0
2020,6,8,0,162,2,0
2020,6,9,0,132,4,0
2020,6,10,0,132,4,0
2020,6,11,0,132,4,0
2020,6,12,0,132,4,0
2020,6,13,0,132,4,0
2020,6,14,0,132,4,0
2020,6,15,0,132,4,0
2020,6,16,1,118,0,0
2020,6,17,1,118,0,0
2020,6,18,1,118,0,0
2020,6,19,1,118,0,0
2020,6,20,1,118,0,0
2020,6,21,1,118,0,0
2020,6,22,1,118,0,0
2020,6,23,0,125,1,0
2020,6,24,0,125,1,0
2020,6,25,0,125,1,0
2020,6,26,0,125,1,0
2020,6,27,0,125,1,0
2020,6,28,0,125,1,0
2020,6,29,0,125,1,0
2020,6,30,0,116,0,0
2020,7,1,0,116,0,0
2020,7,2,0,116,0,0
2020,7,3,0,116,0,0
2020,7,4,0,116,0,0
2020,7,5,0,116,0,0
2020,7,6,0,116,0,0
2020,7,7,2,1184,0,0
2020,7,8,2,1184,0,0
2020,7,9,2,1184,0,0
2020,7,10,2,1184,0,0
2020,7,11,2,1184,0,0
2020,7,12,2,1184,0,0
2020,7,13,2,1184,0,0
2020,7,14,5,642,1,0
2020,7,15,5,642,1,0
2020,7,16,5,642,1,0
2020,7,17,5,642,1,0
2020,7,18,5,642,1,0
2020,7,19,5,642,1,0
2020,7,20,5,642,1,0
