year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,1,306,0,0
2020,3,12,1,306,0,0
2020,3,13,1,306,0,0
2020,3,14,1,306,0,0
2020,3,15,1,306,0,0
2020,3,16,1,306,0,0
2020,3,17,0,73,0,0
2020,3,18,0,73,0,0
2020,3,19,0,73,0,0
2020,3,20,0,73,0,0
2020,3,21,0,73,0,0
2020,3,22,0,73,0,0
2020,3,23,0,73,0,0
2020,3,24,1,85,0,0
2020,3,25,1,85,0,0
2020,3,26,1,85,0,0
2020,3,27,1,85,0,0
2020,3,28,1,85,0,0
2020,3,29,1,85,0,0
2020,3,30,1,85,0,0
2020,3,31,7,334,2,0
2020,4,1,7,334,2,0
2020,4,2,7,334,2,0
2020,4,3,7,334,2,0
2020,4,4,7,334,2,0
2020,4,5,7,334,2,0
2020,4,6,7,334,2,0
2020,4,7,5,441,0,0
2020,4,8,5,441,0,0
2020,4,9,5,441,0,0
2020,4,10,5,441,0,0
2020,4,11,5,441,0,0
2020,4,12,5,441,0,0
2020,4,13,5,441,0,0
2020,4,14,2,355,2,0
2020,4,15,2,355,2,0
2020,4,16,2,355,2,0
2020,4,17,2,355,2,0
2020,4,18,2,355,2,0
2020,4,19,2,355,2,0
2020,4,20,2,355,2,0
2020,4,21,0,390,4,1
2020,4,22,0,390,4,1
2020,4,23,0,390,4,1
2020,4,24,0,390,4,1
2020,4,25,0,390,4,1
2020,4,26,0,390,4,1
2020,4,27,0,390,4,1
2020,4,28,1,199,2,0
2020,4,29,1,199,2,0
2020,4,30,1,199,2,0
2020,5,1,1,199,2,0
2020,5,2,1,199,2,0
2020,5,3,1,199,2,0
2020,5,4,1,199,2,0
2020,5,5,0,311,4,0
2020,5,6,0,311,4,0
2020,5,7,0,311,4,0
2020,5,8,0,311,4,0
2020,5,9,0,311,4,0
2020,5,10,0,311,4,0
2020,5,11,0,311,4,0
2020,5,12,0,195,2,0
2020,5,13,0,195,2,0
2020,5,14,0,195,2,0
2020,5,15,0,195,2,0
2020,5,16,0,195,2,0
2020,5,17,0,195,2,0
2020,5,18,0,195,2,0
2020,5,19,0,119,0,0
2020,5,20,0,119,0,0
2020,5,21,0,119,0,0
2020,5,22,0,119,0,0
2020,5,23,0,119,0,0
2020,5,24,0,119,0,0
2020,5,25,0,119,0,0
2020,5,26,0,95,0,0
2020,5,27,0,95,0,0
2020,5,28,0,95,0,0
2020,5,29,0,95,0,0
2020,5,30,0,95,0,0
2020,5,31,0,95,0,0
2020,6,1,0,95,0,0
2020,6,2,0,155,0,0
2020,6,3,0,155,0,0
2020,6,4,0,155,0,0
2020,6,5,0,155,0,0
2020,6,6,0,155,0,0
2020,6,7,0,155,0,0
2020,6,8,0,155,0,0
2020,6,9,0,109,0,0
2020,6,10,0,109,0,0
2020,6,11,0,109,0,0
2020,6,12,0,109,0,0
2020,6,13,0,109,0,0
2020,6,14,0,109,0,0
2020,6,15,0,109,0,0
2020,6,16,0,76,0,0
2020,6,17,0,76,0,0
2020,6,18,0,76,0,0
2020,6,19,0,76,0,0
2020,6,20,0,76,0,0
2020,6,21,0,76,0,0
2020,6,22,0,76,0,0
2020,6,23,0,89,0,0
2020,6,24,0,89,0,0
2020,6,25,0,89,0,0
2020,6,26,0,89,0,0
2020,6,27,0,89,0,0
2020,6,28,0,89,0,0
2020,6,29,0,89,0,0
2020,6,30,1,168,0,0
2020,7,1,1,168,0,0
2020,7,2,1,168,0,0
2020,7,3,1,168,0,0
2020,7,4,1,168,0,0
2020,7,5,1,168,0,0
2020,7,6,1,168,0,0
2020,7,7,8,704,0,0
2020,7,8,8,704,0,0
2020,7,9,8,704,0,0
2020,7,10,8,704,0,0
2020,7,11,8,704,0,0
2020,7,12,8,704,0,0
2020,7,13,8,704,0,0
2020,7,14,14,718,0,0
2020,7,15,14,718,0,0
2020,7,16,14,718,0,0
2020,7,17,14,718,0,0
2020,7,18,14,718,0,0
2020,7,19,14,718,0,0
2020,7,20,14,718,0,0
