year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,16,245,0,0
2020,3,12,16,245,0,0
2020,3,13,16,245,0,0
2020,3,14,16,245,0,0
2020,3,15,16,245,0,0
2020,3,16,16,245,0,0
2020,3,17,1,62,3,0
2020,3,18,1,62,3,0
2020,3,19,1,62,3,0
2020,3,20,1,62,3,0
2020,3,21,1,62,3,0
2020,3,22,1,62,3,0
2020,3,23,1,62,3,0
2020,3,24,2,87,5,0
2020,3,25,2,87,5,0
2020,3,26,2,87,5,0
2020,3,27,2,87,5,0
2020,3,28,2,87,5,0
2020,3,29,2,87,5,0
2020,3,30,2,87,5,0
2020,3,31,15,82,0,0
2020,4,1,15,82,0,0
2020,4,2,15,82,0,0
2020,4,3,15,82,0,0
2020,4,4,15,82,0,0
2020,4,5,15,82,0,0
2020,4,6,15,82,0,0
2020,4,7,18,244,0,0
2020,4,8,18,244,0,0
2020,4,9,18,244,0,0
2020,4,10,18,244,0,0
2020,4,11,18,244,0,0
2020,4,12,18,244,0,0
2020,4,13,18,244,0,0
2020,4,14,20,301,6,1
2020,4,15,20,301,6,1
2020,4,16,20,301,6,1
2020,4,17,20,301,6,1
2020,4,18,20,301,6,1
2020,4,19,20,301,6,1
2020,4,20,20,301,6,1
2020,4,21,14,410,0,0
2020,4,22,14,410,0,0
2020,4,23,14,410,0,0
2020,4,24,14,410,0,0
2020,4,25,14,410,0,0
2020,4,26,14,410,0,0
2020,4,27,14,410,0,0
2020,4,28,9,276,24,1
2020,4,29,9,276,24,1
2020,4,30,9,276,24,1
2020,5,1,9,276,24,1
2020,5,2,9,276,24,1
2020,5,3,9,276,24,1
2020,5,4,9,276,24,1
2020,5,5,3,430,29,0
2020,5,6,3,430,29,0
2020,5,7,3,430,29,0
2020,5,8,3,430,29,0
2020,5,9,3,430,29,0
2020,5,10,3,430,29,0
2020,5,11,3,430,29,0
2020,5,12,0,348,12,0
2020,5,13,0,348,12,0
2020,5,14,0,348,12,0
2020,5,15,0,348,12,0
2020,5,16,0,348,12,0
2020,5,17,0,348,12,0
2020,5,18,0,348,12,0
2020,5,19,1,371,3,0
2020,5,20,1,371,3,0
2020,5,21,1,371,3,0
2020,5,22,1,371,3,0
2020,5,23,1,371,3,0
2020,5,24,1,371,3,0
2020,5,25,1,371,3,0
2020,5,26,1,-209,6,0
2020,5,27,1,-209,6,0
2020,5,28,1,-209,6,0
2020,5,29,1,-209,6,0
2020,5,30,1,-209,6,0
2020,5,31,1,-209,6,0
2020,6,1,1,-209,6,0
2020,6,2,0,353,1,0
2020,6,3,0,353,1,0
2020,6,4,0,353,1,0
2020,6,5,0,353,1,0
2020,6,6,0,353,1,0
2020,6,7,0,353,1,0
2020,6,8,0,353,1,0
2020,6,9,0,342,1,0
2020,6,10,0,342,1,0
2020,6,11,0,342,1,0
2020,6,12,0,342,1,0
2020,6,13,0,342,1,0
2020,6,14,0,342,1,0
2020,6,15,0,342,1,0
2020,6,16,0,251,0,0
2020,6,17,0,251,0,0
2020,6,18,0,251,0,0
2020,6,19,0,251,0,0
2020,6,20,0,251,0,0
2020,6,21,0,251,0,0
2020,6,22,0,251,0,0
2020,6,23,0,269,0,0
2020,6,24,0,269,0,0
2020,6,25,0,269,0,0
2020,6,26,0,269,0,0
2020,6,27,0,269,0,0
2020,6,28,0,269,0,0
2020,6,29,0,269,0,0
2020,6,30,4,183,0,0
2020,7,1,4,183,0,0
2020,7,2,4,183,0,0
2020,7,3,4,183,0,0
2020,7,4,4,183,0,0
2020,7,5,4,183,0,0
2020,7,6,4,183,0,0
2020,7,7,27,440,1,0
2020,7,8,27,440,1,0
2020,7,9,27,440,1,0
2020,7,10,27,440,1,0
2020,7,11,27,440,1,0
2020,7,12,27,440,1,0
2020,7,13,27,440,1,0
2020,7,14,33,662,14,0
2020,7,15,33,662,14,0
2020,7,16,33,662,14,0
2020,7,17,33,662,14,0
2020,7,18,33,662,14,0
2020,7,19,33,662,14,0
2020,7,20,33,662,14,0
